Type,ID,charting tool,chart source,Link
Area Chart,1,Vega ,,https://vega.github.io/vega/examples/area-chart/
Area Chart,2,D3.js,Observable.com,https://observablehq.com/@elishaterada/simple-area-chart-with-tooltip
Area Chart,3,ApexCharts,,https://apexcharts.com/docs/chart-types/area-chart/
Area Chart,4,Mascot.js,,https://mascot-vis.github.io/gallery.html#AreaChart
Area Chart,5,D3.js,Observable.com,https://observablehq.com/@valentinachaconbuitrago/area-chart-with-focus-context
Area Chart,6,D3.js,Observable.com,https://observablehq.com/@bartok32/real-time-area-chart
Area Chart,7,D3.js,Observable.com,https://observablehq.com/@d3/zoomable-area-chart
Area Chart,8,Mascot.js,,https://mascot-vis.github.io/gallery.html#AreaChart2
Area Chart,9,D3.js,Observable.com,https://observablehq.com/@xianwu/area-chart-basic
Area Chart,10,Evidence ,,https://docs.evidence.dev/components/area-chart
Area Chart,11,ApexCharts,,https://apexcharts.com/docs/chart-types/area-chart/
Bar Chart,1,AnyChart,,https://playground.anychart.com/docs/v8/samples/BCT_Bar_Chart_03
Bar Chart,2,ApexCharts,,https://apexcharts.com/javascript-chart-demos/bar-charts/
Bar Chart,3,Vega Lite,,https://vega.github.io/vega-lite/examples/bar.html
Bar Chart,4,,poetrybetweenpain.deb.is,https://poetrybetweenpain.deb.is/images/charts/chrt-LiveDie.svg
Bar Chart,5,D3.js,Observable.com,https://observablehq.com/@d3/diverging-bar-chart
Bar Chart,6,Datylon,,https://insights.datylon.com/stories/nIWdVHXAxLrae7nECdRFFQ
Bar Chart,7,Diagrammm,,https://www.diagrammm.com/bar_chart
Bar Chart,8,,xari.dev,https://xari.dev/horizontal-bar-plot/
Bar Chart,9,Observable,,https://observablehq.com/@observablehq/plot-bar
Bar Chart,10,D3.js,gist.github.com,https://gist.github.com/tlfrd/187e45e0629711c4560cf6bcd0767b27
Bar Chart in Radial Layout,1,Matplotlib,agill.xyz,https://agill.xyz/research/haiku/analysis/colors
Bar Chart in Radial Layout,2,D3.js,,https://observablehq.com/@d3/radial-stacked-bar-chart
Bar Chart in Radial Layout,3,D3.js,,https://observablehq.com/@s0rta/radial-bar-chart-proof-of-conecpt
Bar Chart in Radial Layout,4,,www.predicthq.com,https://www.predicthq.com/blog/ldi-july22
Bar Chart in Radial Layout,5,,www.commerce.ai,https://www.commerce.ai/2022-report-register
Bar Chart in Radial Layout,6,D3.js,,https://observablehq.com/@instancia/radial-stacked-bar-chart
Bar Chart in Radial Layout,7,D3.js,,https://observablehq.com/@kclosu/radial-stacked-bar-chart
Bar Chart in Radial Layout,8,,datavizcatalogue.com,https://datavizcatalogue.com/methods/radial_column_chart.html
Bar Chart in Radial Layout,9,D3.js,,https://observablehq.com/@paulyiu/radial-stacked-bar-chart/2
Bar Chart in Radial Layout,10,,datavizcatalogue.com,https://datavizcatalogue.com/methods/radial_column_chart.html
Box-and-whisker plot,1,nagwa,nagwa.com,https://www.nagwa.com/en/explainers/812192146073/
Box-and-whisker plot,2,ApexCharts,,https://apexcharts.com/wp-content/uploads/2021/02/basic-boxplot.svg
Box-and-whisker plot,3,,www.khanacademy.org,https://www.khanacademy.org/math/statistics-probability/summarizing-quantitative-data/box-whisker-plots/a/box-plot-review
Box-and-whisker plot,4,,https://www.codecademy.com/,https://www.codecademy.com/learn/stats-associations-between-variables/modules/stats-associations-between-variables/cheatsheet
Box-and-whisker plot,5,ApexCharts,,https://apexcharts.com/wp-content/uploads/2021/02/horizontal-boxplot.svg
Box-and-whisker plot,6,Racket Plot,alex-hhh.github.io,https://alex-hhh.github.io/2021/04/box-and-whiskers-plot.html
Box-and-whisker plot,7,D3.js,,https://observablehq.com/@d3/box-plot
Box-and-whisker plot,8,D3.js,,https://observablehq.com/@mukhtyar/box-plot
Box-and-whisker plot,9,Vega Lite,,https://vega.github.io/vega-lite/examples/boxplot_minmax_2D_vertical.html
Box-and-whisker plot,10,Data Illustrator,,https://data-illustrator.cs.umd.edu/app/index.html?project=few_box_plot
Box-and-whisker plot,11,R,bookdown.org,https://bookdown.org/max/FES/stroke-exploration.html
Bubble Chart,1,Datylon,,https://insights.datylon.com/stories/qS11V4CyLM1etV1Q925FOg
Bubble Chart,2,Datylon,,https://insights.datylon.com/stories/jVPwg1Q_CeguvLAxY4VJKw
Bubble Chart,3,ApexCharts,,https://apexcharts.com/javascript-chart-demos/bubble-charts/simple/
Bubble Chart,4,HighCharts,,https://www.highcharts.com/demo/highcharts/bubble
Bubble Chart,5,Datylon,,https://insights.datylon.com/stories/jZ9edVDAp0wT6rQzn5FDng
Bubble Chart,6,Mascot.js,,https://mascot-vis.github.io/gallery#BubblePlot
Bubble Chart,7,Datylon,,https://insights.datylon.com/stories/n3Bf_ByGdHpYCHoEQw5EUw
Bubble Chart,8,Vega Lite,,https://vega.github.io/vega-lite/examples/point_bubble.html
Bubble Chart,9,Vega Lite,,https://vega.github.io/vega-lite/examples/circle_bubble_health_income.html
Bubble Chart,10,Vega Lite,,https://vega.github.io/vega-lite/examples/circle_natural_disasters.html
Bubble Chart,11,ZingChart,,https://www.zingchart.com/gallery/world-countries-by-adjusted-net-national-income-and-fertility-rate
Bubble Chart,12,GoogleChart,,https://developers.google.com/chart/interactive/docs/gallery/bubblechart
Bullet Chart,1,Mascot.js,,https://mascot-vis.github.io/gallery.html#BulletChart
Bullet Chart,2,OKVIZ,,https://okviz.com/bullet-chart/
Bullet Chart,3,,www.ibm.com,https://www.ibm.com/design/language/data-visualization/charts/
Bullet Chart,4,,vis.zone,https://vis.zone/graph/bullet-graph/
Bullet Chart,5,,datavizcatalogue.com,https://datavizcatalogue.com/methods/bullet_graph.html
Bullet Chart,6,FusionCharts,,https://www.fusioncharts.com/charts
Bullet Chart,7,FusionCharts,,https://www.fusioncharts.com/charts/bullet-graphs/horizontal-bullet-graph?framework=javascript
Bullet Chart,8,Datylon,,https://insights.datylon.com/stories/pdRiJv2a9qTzq2esUDJPDQ
Bullet Chart,9,Datylon,,https://insights.datylon.com/stories/sUH1REVrdrPZhjXbIOJABA
Bullet Chart,10,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Labelled_Bullet_Graph_Example.svg
Bump Chart,1,Data Illustrator,,https://data-illustrator.cs.umd.edu/app/index.html?project=new_car_colors
Bump Chart,2,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Canada_Historical_Population_Bump_Chart_no_signature.svg
Bump Chart,3,Rawgraphs,placeless.net,https://placeless.net/blog/rawgraphs-intro
Bump Chart,4,D3.js,,https://observablehq.com/@analyzer2004/bump-chart
Bump Chart,5,ObservablePlot,,https://observablehq.com/@fil/bump-chart
Bump Chart,6,Vega Lite,,https://vega.github.io/vega-lite/examples/line_bump.html
Bump Chart,7,Datylon,,https://insights.datylon.com/stories/s6O9Mt4Za_2Per9-911JKQ
Bump Chart,8,,www.digitalmethods.net,https://www.digitalmethods.net/Dmi/WinterSchool2017BeyondTheBubbleEmotions
Bump Chart,9,NIVO,,https://nivo.rocks/bump/
Bump Chart,10,JSCharting,,https://jscharting.com/examples/chart-types/line/bump/
Bump Chart,11,,lilljegren.com,https://lilljegren.com/
Calendar,1,Vega ,,https://vega.github.io/vega/examples/calendar-view/
Calendar,2,ZingChart,,https://www.zingchart.com/docs/chart-types/calendar
Calendar,3,ObservablePlot,,https://observablehq.com/@ee2dev/plot-exploration-how-to-customize-the-calendar-visualizat
Calendar,4,ObservablePlot,,https://observablehq.com/@ee2dev/plot-exploration-how-to-customize-the-calendar-visualizat
Calendar,5,Mascot.js,,https://mascot-vis.github.io/gallery.html#MultipleCalendarHeatMaps
Calendar,6,AnyChart,,https://www.anychart.com/products/anychart/gallery/Calendar_Chart/GitHub_Contributions.php
Calendar,7,AnyChart,,https://www.anychart.com/products/anychart/gallery/Calendar_Chart/Mike_Bostock_GitHub_Contributions.php?theme=lightGlamour
Calendar,8,D3.js,,https://observablehq.com/@stvkas/streaking-calendar
Calendar,9,Cal-Heatmap,,https://cal-heatmap.com/docs/showcase
Calendar,10,D3.js,,https://observablehq.com/@nyem69/calendar
Candlestick Chart,1,,https://codepen.io/,https://codepen.io/frederickallen/pen/MZXNVY
Candlestick Chart,2,D3.js,garys-io.github.io,https://garys-io.github.io/garys-io-candlestick-chart-d3/
Candlestick Chart,3,FusionCharts,,https://www.fusioncharts.com/dev/chart-guide/standard-charts/candlestick-chart
Candlestick Chart,4,,https://www.spotfire.com/,https://www.spotfire.com/content/dam/spotfire/images/graphics/inforgraphics/candlestick-chart-example.svg
Candlestick Chart,5,TimeSeries.jl,https://juliastats.org/,https://juliastats.org/TimeSeries.jl/latest/plotting/
Candlestick Chart,6,Diagrammm,,https://diagrammm.com/candlestick_chart
Candlestick Chart,7,,en.wikipedia.org,https://en.wikipedia.org/wiki/File:Candlestick_chart_scheme_02-en.svg
Candlestick Chart,8,D3.js,,https://observablehq.com/@d3/candlestick-chart
Candlestick Chart,9,,https://www.forex.com/,https://www.forex.com/en-us/trading-academy/courses/technical-analysis/key-candlestick-patterns/
Candlestick Chart,10,,https://enrichmoney.in/,https://enrichmoney.in/blog-article/top-5-candlestick-patterns-traders-must-know
Circle Packing,1,D3.js,,https://observablehq.com/@danyyyy89/force-simulation-to-visualize-word-cloud
Circle Packing,2,AMCharts,,https://www.amcharts.com/demos-v4/packed-circle-chart-v4/
Circle Packing,3,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Bubble_chart_of_programming_paradigms_en.svg
Circle Packing,4,R,,https://r-graph-gallery.com/circle-packing.html
Circle Packing,5,Vega,,https://vega.github.io/vega/examples/circle-packing/
Circle Packing,6,ZingChart,,https://www.zingchart.com/docs/chart-types/bubble-pack
Circle Packing,7,D3.js,,https://observablehq.com/@d3/pack
Circle Packing,8,D3.js,,https://observablehq.com/@d3/bubble-chart
Circle Packing,9,D3.js,,https://observablehq.com/@didoesdigital/d3-circle-packing
Circle Packing,10,D3.js,,https://observablehq.com/@danielefadda/force-simulation-to-visualize-word-cloud-with-split-versio 
Connected Dot Plot,1,D3.js,https://gist.github.com/,https://bl.ocks.org/maartenzam/6235b42b9f9ec3851c492082957180d8
Connected Dot Plot,2,Datylon,,https://insights.datylon.com/stories/n6UJjXcgFI-zC-k7vF1H1g
Connected Dot Plot,3,PlotDB,,https://plotdb.com/chart/980/#
Connected Dot Plot,4,Vega Lite,,https://vega.github.io/vega-lite/examples/layer_ranged_dot.html
Connected Dot Plot,5,D3.js,,https://observablehq.com/@d3/dot-plot
Connected Dot Plot,6,D3.js,,https://observablehq.com/@lorenries/political-science-rankings-connected-dot-plot
Connected Dot Plot,7,R,dataviz.unhcr.org,https://dataviz.unhcr.org/tools/r/r_dotplot.html
Connected Dot Plot,8,Mascot.js,,https://mascot-vis.github.io/gallery#LollipopChart
Connected Dot Plot,9,Mascot.js,,https://mascot-vis.github.io/gallery#DumbbellChart
Connected Dot Plot,10,Datylon,,https://www.datylon.com/resources/chart-library/dot-plot
Connected Scatterplot,1,Datylon,,https://insights.datylon.com/stories/oqOJDl0RCVUMdGl2dJ1Kuw
Connected Scatterplot,2,Mascot.js,,https://mascot-vis.github.io/gallery.html#ConnectedScatterplot
Connected Scatterplot,3,D3.js,,https://observablehq.com/@d3/connected-scatterplot
Connected Scatterplot,4,Vega Lite,,https://vega.github.io/vega-lite/examples/connected_scatterplot.html
Connected Scatterplot,5,Tableau,medium.com,https://medium.com/mlearning-ai/tableau-tutorial-how-to-create-a-connected-scatterplot-12a67f4a6855
Connected Scatterplot,6,D3.js,d3-graph-gallery.com,https://d3-graph-gallery.com/graph/connectedscatter_multi.html
Connected Scatterplot,7,R,dataviz.unhcr.org,https://dataviz.unhcr.org/tools/r/r_scatterplot_connected.html
Connected Scatterplot,8,R,finnstats.com,https://finnstats.com/index.php/2022/11/16/how-to-make-a-connected-scatter-plot-in-r/
Connected Scatterplot,9,,http://steveharoz.com/,http://steveharoz.com/research/connected_scatterplot/
Connected Scatterplot,10,,http://steveharoz.com/,http://steveharoz.com/research/connected_scatterplot/
Density plot,1,,en.wikipedia.org,https://en.wikipedia.org/wiki/File:Rating_count_density_by_project_quality_assessment.svg
Density plot,2,,datavizcatalogue.com,https://datavizcatalogue.com/methods/density_plot.html
Density plot,3,D3.js,,https://d3-graph-gallery.com/graph/density_basic.html
Density plot,4,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Reaction_time_density_plot.svg
Density plot,5,Vega Lite,,https://vega.github.io/vega-lite/examples/area_density.html
Density plot,6,Mascot.js,,https://mascot-vis.github.io/gallery#DensityPlot
Density plot,7,Datylon,,https://insights.datylon.com/stories/r5Suw19BKP9CwiaV_xBLqA
Density plot,8,Mascot.js,,https://mascot-vis.github.io/gallery.html#ridgelinePlot
Density plot,9,R,https://wilkelab.org/,https://wilkelab.org/SDS375/slides/visualizing-distributions-2_files/figure-html/temps_densities_overlapping-1.svg
