Type,ID,charting tool
Area Chart,1,Vega
Area Chart,2,D3.js
Area Chart,3,ApexCharts
Area Chart,4,Mascot.js
Area Chart,5,D3.js
Area Chart,6,D3.js
Area Chart,7,D3.js
Area Chart,8,Mascot.js
Area Chart,9,D3.js
Area Chart,10,Evidence
Area Chart,11,ApexCharts
Area Chart,12,
Area Chart,13,D3.js
Area Chart,14,
Area Chart,15,VictoryChartf
Area Chart,16,GoogleChart
Area Chart,17,SvelteKit
Area Chart,18,HighCharts
Area Chart,19,
Area Chart,20,HighCharts
Area Chart,21,WowChart
Area Chart,22,
Area Chart,23,
Area Chart,24,Lets-Plot
Area Chart,25,Lets-Plot
Area Chart,26,FlexChart
Area Chart,27,
Area Chart,28,AngularChart
Bar Chart,1,AnyChart
Bar Chart,2,ApexCharts
Bar Chart,3,VegaLite
Bar Chart,4,
Bar Chart,5,D3.js
Bar Chart,6,Datylon
Bar Chart,7,Diagrammm
Bar Chart,8,
Bar Chart,9,ObservablePlot
Bar Chart,10,D3.js
Bar Chart,11,R
Bar Chart,12,R
Bar Chart,13,
Bar Chart,14,Evidence
Bar Chart,15,R
Bar Chart,16,Evidence
Bar Chart,17,
Bar Chart,18,
Bar Chart,19,Plotly
Bar Chart,20,
Bar Chart,21,R
Bar Chart,22,
Bar Chart,23,WowChart
Bar Chart,24,Lets-Plot
Bar Chart,25,
Bar Chart,26,
Bar Chart,27,
Bar Chart in Radial Layout,1,Matplotlib
Bar Chart in Radial Layout,2,D3.js
Bar Chart in Radial Layout,3,D3.js
Bar Chart in Radial Layout,4,
Bar Chart in Radial Layout,5,
Bar Chart in Radial Layout,6,D3.js
Bar Chart in Radial Layout,7,D3.js
Bar Chart in Radial Layout,8,
Bar Chart in Radial Layout,9,D3.js
Bar Chart in Radial Layout,10,
Bar Chart in Radial Layout,11,
Bar Chart in Radial Layout,12,D3.js
Bar Chart in Radial Layout,13,D3.js
Bar Chart in Radial Layout,14,D3.js
Bar Chart in Radial Layout,15,D3.js
Bar Chart in Radial Layout,16,D3.js
Bar Chart in Radial Layout,17,D3.js
Bar Chart in Radial Layout,18,D3.js
Bar Chart in Radial Layout,19,D3.js
Bar Chart in Radial Layout,20,D3.js
Box-and-whisker plot,1,nagwa
Box-and-whisker plot,2,ApexCharts
Box-and-whisker plot,3,
Box-and-whisker plot,4,
Box-and-whisker plot,5,ApexCharts
Box-and-whisker plot,6,Racket Plot
Box-and-whisker plot,7,D3.js
Box-and-whisker plot,8,D3.js
Box-and-whisker plot,9,VegaLite
Box-and-whisker plot,10,Data Illustrator
Box-and-whisker plot,11,R
Box-and-whisker plot,12,
Box-and-whisker plot,13,
Box-and-whisker plot,14,
Box-and-whisker plot,15,
Box-and-whisker plot,16,Jamovi
Box-and-whisker plot,17,ApexCharts
Box-and-whisker plot,18,
Box-and-whisker plot,19,
Box-and-whisker plot,20,
Box-and-whisker plot,21,NIVO
Box-and-whisker plot,22,NIVO
Box-and-whisker plot,23,FlexChart
Box-and-whisker plot,24,R
Box-and-whisker plot,25,Semiotic
Bubble Chart,1,Datylon
Bubble Chart,2,Datylon
Bubble Chart,3,ApexCharts
Bubble Chart,4,HighCharts
Bubble Chart,5,Datylon
Bubble Chart,6,Mascot.js
Bubble Chart,7,Datylon
Bubble Chart,8,VegaLite
Bubble Chart,9,VegaLite
Bubble Chart,10,VegaLite
Bubble Chart,11,ZingChart
Bubble Chart,12,GoogleChart
Bubble Chart,13,
Bubble Chart,14,Diagrammm
Bubble Chart,15,
Bubble Chart,16,Diagrammm
