chart_name,chart_type,main_chart_marks_precision,main_chart_marks_recall,main_chart_marks_f1,main_chart_marks_jaccard,main_chart_marks_accuracy,main_chart_marks_tp,main_chart_marks_fp,main_chart_marks_fn,main_chart_marks_predicted_count,main_chart_marks_ground_truth_count,main_chart_marks_is_empty_match,axis_labels_precision,axis_labels_recall,axis_labels_f1,axis_labels_jaccard,axis_labels_accuracy,axis_labels_tp,axis_labels_fp,axis_labels_fn,axis_labels_predicted_count,axis_labels_ground_truth_count,axis_labels_is_empty_match,axis_titles_precision,axis_titles_recall,axis_titles_f1,axis_titles_jaccard,axis_titles_accuracy,axis_titles_tp,axis_titles_fp,axis_titles_fn,axis_titles_predicted_count,axis_titles_ground_truth_count,axis_titles_is_empty_match,legend_labels_precision,legend_labels_recall,legend_labels_f1,legend_labels_jaccard,legend_labels_accuracy,legend_labels_tp,legend_labels_fp,legend_labels_fn,legend_labels_predicted_count,legend_labels_ground_truth_count,legend_labels_is_empty_match,legend_marks_precision,legend_marks_recall,legend_marks_f1,legend_marks_jaccard,legend_marks_accuracy,legend_marks_tp,legend_marks_fp,legend_marks_fn,legend_marks_predicted_count,legend_marks_ground_truth_count,legend_marks_is_empty_match,legend_titles_precision,legend_titles_recall,legend_titles_f1,legend_titles_jaccard,legend_titles_accuracy,legend_titles_tp,legend_titles_fp,legend_titles_fn,legend_titles_predicted_count,legend_titles_ground_truth_count,legend_titles_is_empty_match,overall_f1,evaluated_at,status
RangeChart18,RangeChart,1.0,0.9945652173913043,0.9972752043596731,0.9945652173913043,0.9945652173913043,366,0,2,366,368,False,1.0,1.0,1.0,1.0,1.0,27,0,0,27,27,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.9995458673932789,2025-06-23T00:05:53.822595,success
PolarAreaChart2,PolarAreaChart,1.0,1.0,1.0,1.0,1.0,112,0,0,112,112,False,1.0,1.0,1.0,1.0,1.0,19,0,0,19,19,False,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,False,1.0,1.0,1.0,1.0,1.0,7,0,0,7,7,False,1.0,1.0,1.0,1.0,1.0,7,0,0,7,7,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,2025-06-23T00:05:53.824029,success
DivergingStackedBarChart21,DivergingStackedBarChart,1.0,1.0,1.0,1.0,1.0,36,0,0,36,36,False,0.6896551724137931,1.0,0.8163265306122449,0.6896551724137931,1.0,20,9,0,29,20,False,1.0,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,2,0,1,2,3,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,False,0.7693877551020408,2025-06-23T00:05:53.825117,success
BumpChart7,BumpChart,0.875,1.0,0.9333333333333333,0.875,1.0,210,30,0,240,210,False,1.0,1.0,1.0,1.0,1.0,36,0,0,36,36,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.9888888888888889,2025-06-23T00:05:53.827483,success
WaterfallChart14,WaterfallChart,1.0,1.0,1.0,1.0,1.0,12,0,0,12,12,False,1.0,1.0,1.0,1.0,1.0,16,0,0,16,16,False,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.6666666666666666,2025-06-23T00:05:53.828372,success
GroupedBarChart14,GroupedBarChart,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,False,0.0,0.0,0.0,0.0,0.0,0,13,0,13,0,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.0,0.0,0.0,0.0,0.0,0,4,0,4,0,False,0.0,0.0,0.0,0.0,0.0,0,4,0,4,0,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.5,2025-06-23T00:05:53.829391,success
_bespoke15,Unknown,0.78125,0.3424657534246575,0.47619047619047616,0.3125,0.3424657534246575,25,7,48,32,73,False,1.0,1.0,1.0,1.0,1.0,22,0,0,22,22,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,0.0,0.0,0.0,0.0,0.0,0,3,0,3,0,False,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,False,0.5793650793650794,2025-06-23T00:05:53.830528,success
BubbleChart21,BubbleChart,0.9037037037037037,1.0,0.9494163424124513,0.9037037037037037,1.0,122,13,0,135,122,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.0,0.0,0.0,0.0,0.0,0,5,0,5,0,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.8249027237354086,2025-06-23T00:05:53.831791,success
RadarChart12,RadarChart,0.6428571428571429,1.0,0.782608695652174,0.6428571428571429,1.0,18,10,0,28,18,False,1.0,1.0,1.0,1.0,1.0,5,0,0,5,5,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.9637681159420289,2025-06-23T00:05:53.832534,success
Scatterplot14,Scatterplot,1.0,1.0,1.0,1.0,1.0,91,0,0,91,91,False,1.0,1.0,1.0,1.0,1.0,10,0,0,10,10,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,1.0,1.0,1.0,1.0,1.0,3,0,0,3,3,False,1.0,1.0,1.0,1.0,1.0,3,0,0,3,3,False,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,False,1.0,2025-06-23T00:05:53.833596,success
