charting tool,num_rows,main_chart_marks_precision_min,main_chart_marks_precision_max,main_chart_marks_precision_median,main_chart_marks_precision_mean,main_chart_marks_precision_iqr,main_chart_marks_recall_min,main_chart_marks_recall_max,main_chart_marks_recall_median,main_chart_marks_recall_mean,main_chart_marks_recall_iqr,main_chart_marks_f1_min,main_chart_marks_f1_max,main_chart_marks_f1_median,main_chart_marks_f1_mean,main_chart_marks_f1_iqr,axis_labels_precision_min,axis_labels_precision_max,axis_labels_precision_median,axis_labels_precision_mean,axis_labels_precision_iqr,axis_labels_recall_min,axis_labels_recall_max,axis_labels_recall_median,axis_labels_recall_mean,axis_labels_recall_iqr,axis_labels_f1_min,axis_labels_f1_max,axis_labels_f1_median,axis_labels_f1_mean,axis_labels_f1_iqr,axis_titles_precision_min,axis_titles_precision_max,axis_titles_precision_median,axis_titles_precision_mean,axis_titles_precision_iqr,axis_titles_recall_min,axis_titles_recall_max,axis_titles_recall_median,axis_titles_recall_mean,axis_titles_recall_iqr,axis_titles_f1_min,axis_titles_f1_max,axis_titles_f1_median,axis_titles_f1_mean,axis_titles_f1_iqr,legend_labels_precision_min,legend_labels_precision_max,legend_labels_precision_median,legend_labels_precision_mean,legend_labels_precision_iqr,legend_labels_recall_min,legend_labels_recall_max,legend_labels_recall_median,legend_labels_recall_mean,legend_labels_recall_iqr,legend_labels_f1_min,legend_labels_f1_max,legend_labels_f1_median,legend_labels_f1_mean,legend_labels_f1_iqr,legend_marks_precision_min,legend_marks_precision_max,legend_marks_precision_median,legend_marks_precision_mean,legend_marks_precision_iqr,legend_marks_recall_min,legend_marks_recall_max,legend_marks_recall_median,legend_marks_recall_mean,legend_marks_recall_iqr,legend_marks_f1_min,legend_marks_f1_max,legend_marks_f1_median,legend_marks_f1_mean,legend_marks_f1_iqr,legend_titles_precision_min,legend_titles_precision_max,legend_titles_precision_median,legend_titles_precision_mean,legend_titles_precision_iqr,legend_titles_recall_min,legend_titles_recall_max,legend_titles_recall_median,legend_titles_recall_mean,legend_titles_recall_iqr,legend_titles_f1_min,legend_titles_f1_max,legend_titles_f1_median,legend_titles_f1_mean,legend_titles_f1_iqr,overall_f1_min,overall_f1_max,overall_f1_median,overall_f1_mean,overall_f1_iqr
AMCharts,4,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.9090909090909092,1.0,1.0,0.9772727272727273,0.022727272727272707,0.4375,1.0,1.0,0.859375,0.140625,0.6086956521739131,1.0,0.9761904761904763,0.8902691511387164,0.13354037267080743,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.9634230503795721,0.8567115251897861,0.16796066252587982
AlgebraOfGraphics.jl,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.1666666666666666,0.6666666666666666,0.41666666666666663,0.41666666666666663,0.25
AngularChart,12,0.2222222222222222,1.0,1.0,0.9351851851851851,0.0,1.0,1.0,1.0,1.0,0.0,0.3636363636363636,1.0,1.0,0.9469696969696969,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.5833333333333334,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.8333333333333333,0.611111111111111,1.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.5606060606060606,1.0,0.8333333333333334,0.8291245791245793,0.02777777777777779
AnyChart,14,0.875,1.0,1.0,0.9910714285714286,0.0,0.99009900990099,1.0,1.0,0.9992927864214992,0.0,0.9333333333333332,1.0,1.0,0.9948827292110874,0.0,0.9,1.0,1.0,0.9928571428571429,0.0,0.1428571428571428,1.0,1.0,0.9387755102040816,0.0,0.25,1.0,1.0,0.9426691729323309,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.25,1.0,1.0,0.9464285714285714,0.0,0.25,1.0,1.0,0.9464285714285714,0.0,0.25,1.0,1.0,0.9464285714285714,0.0,0.0,1.0,1.0,0.5714285714285714,1.0,0.0,1.0,1.0,0.5714285714285714,1.0,0.0,1.0,1.0,0.5714285714285714,1.0,0.6666666666666666,1.0,0.8541666666666667,0.885425317023903,0.16447368421052633
ApexCharts,24,0.5,1.0,1.0,0.9583333333333334,0.0,0.3333333333333333,1.0,1.0,0.8955853174603176,0.011904761904761862,0.5,1.0,1.0,0.9004988913525498,0.10162601626016265,0.0,1.0,1.0,0.9583333333333334,0.0,0.0,1.0,1.0,0.9454022988505747,0.0,0.0,1.0,1.0,0.9506802721088435,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.7083333333333334,1.0,0.0,1.0,1.0,0.7083333333333334,1.0,0.0,1.0,1.0,0.7083333333333334,1.0,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.4166666666666667,1.0,0.9569160997732427,0.85714097168801,0.33333333333333337
BiochemPy,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
C3.js,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
CUBA Platform,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.0,1.0,1.0,1.0,1.0,0.0,0.96,0.96,0.96,0.96,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.0
Cal-Heatmap,1,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.611111111111111,0.611111111111111,0.611111111111111,0.611111111111111,0.0
ConX,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0
