charting tool,num_rows,main_chart_marks_precision_min,main_chart_marks_precision_max,main_chart_marks_precision_median,main_chart_marks_precision_mean,main_chart_marks_precision_iqr,main_chart_marks_recall_min,main_chart_marks_recall_max,main_chart_marks_recall_median,main_chart_marks_recall_mean,main_chart_marks_recall_iqr,main_chart_marks_f1_min,main_chart_marks_f1_max,main_chart_marks_f1_median,main_chart_marks_f1_mean,main_chart_marks_f1_iqr,axis_labels_precision_min,axis_labels_precision_max,axis_labels_precision_median,axis_labels_precision_mean,axis_labels_precision_iqr,axis_labels_recall_min,axis_labels_recall_max,axis_labels_recall_median,axis_labels_recall_mean,axis_labels_recall_iqr,axis_labels_f1_min,axis_labels_f1_max,axis_labels_f1_median,axis_labels_f1_mean,axis_labels_f1_iqr,axis_titles_precision_min,axis_titles_precision_max,axis_titles_precision_median,axis_titles_precision_mean,axis_titles_precision_iqr,axis_titles_recall_min,axis_titles_recall_max,axis_titles_recall_median,axis_titles_recall_mean,axis_titles_recall_iqr,axis_titles_f1_min,axis_titles_f1_max,axis_titles_f1_median,axis_titles_f1_mean,axis_titles_f1_iqr,legend_labels_precision_min,legend_labels_precision_max,legend_labels_precision_median,legend_labels_precision_mean,legend_labels_precision_iqr,legend_labels_recall_min,legend_labels_recall_max,legend_labels_recall_median,legend_labels_recall_mean,legend_labels_recall_iqr,legend_labels_f1_min,legend_labels_f1_max,legend_labels_f1_median,legend_labels_f1_mean,legend_labels_f1_iqr,legend_marks_precision_min,legend_marks_precision_max,legend_marks_precision_median,legend_marks_precision_mean,legend_marks_precision_iqr,legend_marks_recall_min,legend_marks_recall_max,legend_marks_recall_median,legend_marks_recall_mean,legend_marks_recall_iqr,legend_marks_f1_min,legend_marks_f1_max,legend_marks_f1_median,legend_marks_f1_mean,legend_marks_f1_iqr,legend_titles_precision_min,legend_titles_precision_max,legend_titles_precision_median,legend_titles_precision_mean,legend_titles_precision_iqr,legend_titles_recall_min,legend_titles_recall_max,legend_titles_recall_median,legend_titles_recall_mean,legend_titles_recall_iqr,legend_titles_f1_min,legend_titles_f1_max,legend_titles_f1_median,legend_titles_f1_mean,legend_titles_f1_iqr,overall_f1_min,overall_f1_max,overall_f1_median,overall_f1_mean,overall_f1_iqr
AMCharts,4,0.0,1.0,1.0,0.75,0.25,0.0,1.0,0.5833333333333333,0.5416666666666666,0.375,0.0,1.0,0.7333333333333334,0.6166666666666667,0.3500000000000001,0.9090909090909092,1.0,1.0,0.9772727272727273,0.022727272727272707,0.4375,1.0,1.0,0.859375,0.140625,0.6086956521739131,1.0,0.9761904761904763,0.8902691511387164,0.13354037267080743,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.9666666666666668,0.9356452726017943,0.9178226363008972,0.03462732919254652
AlgebraOfGraphics.jl,2,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.75,0.75,0.25,0.6666666666666666,1.0,0.8333333333333333,0.8333333333333333,0.16666666666666663,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.7777777777777777,0.5555555555555555,0.5555555555555555,0.2222222222222222
AngularChart,12,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.9722222222222222,0.0,0.8,1.0,1.0,0.9833333333333334,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.5,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.27777777777777773,0.6666666666666666,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.8333333333333334,0.8351851851851851,0.036111111111111205
AnyChart,14,1.0,1.0,1.0,1.0,0.0,0.99009900990099,1.0,1.0,0.9992927864214993,0.0,0.9950248756218906,1.0,1.0,0.9996446339729922,0.0,0.9,1.0,1.0,0.9928571428571429,0.0,0.1428571428571428,1.0,1.0,0.9387755102040816,0.0,0.25,1.0,1.0,0.9426691729323309,0.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.0,1.0,1.0,0.8571428571428571,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,0.9464285714285714,0.0,0.25,1.0,1.0,0.9464285714285714,0.0,0.25,1.0,1.0,0.9464285714285714,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.8333333333333334,1.0,0.9995854063018241,0.9457427773413635,0.125
ApexCharts,24,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.8122519841269842,0.21875,0.0,1.0,1.0,0.8434281842818429,0.13333333333333341,0.0,1.0,1.0,0.8498015873015873,0.0,0.0,1.0,1.0,0.8464912280701755,0.0,0.0,1.0,1.0,0.8477786337955829,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.6325757575757576,1.0,0.0,1.0,1.0,0.6458333333333334,1.0,0.0,1.0,1.0,0.6361111111111111,1.0,0.0,1.0,1.0,0.6284722222222222,1.0,0.0,1.0,1.0,0.6354166666666666,1.0,0.0,1.0,1.0,0.6302083333333334,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1666666666666666,1.0,0.8888888888888888,0.7984765993092008,0.3555555555555556
BiochemPy,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
C3.js,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
CUBA Platform,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
Cal-Heatmap,1,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.611111111111111,0.611111111111111,0.611111111111111,0.611111111111111,0.0
ConX,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0
