State,ENTREPOT1,ENTREPOT2,ENTREPOT3,ENTREPOT4,ENTREPOT5,ENTREPOT6,total
CARTE SON,5,7,9,8,5,0,34
SOURIS,220,199,221,194,199,8,1041
ACCESSOIRES,4,8,0,0,4,0,16
CPU,121,116,126,123,125,0,611
ORDINATEUR,341,338,346,342,351,33,1751
EDITIQUE,47,25,36,33,32,0,173
DISQUE DUR INTERNE,394,394,425,377,426,29,2045
SERVEURS,49,39,55,59,52,0,254
CARTE RESEAU SANS FIL,26,28,20,38,22,0,134
CASQUE,1,3,0,2,1,0,7
SOFTWARE,11,19,11,9,11,0,61
TELEPHONIE,11,9,8,7,7,0,42
MEMORY,1463,1667,1602,1618,1575,140,8065
OS,8,7,9,6,4,0,34
CLAVIER,169,167,158,169,158,6,827
WEBCAM,2,3,1,2,2,0,10
CARTE VIDEO,131,148,146,132,156,3,716
