bucket,total,<5,5-7,7-10,10-15,15_20,>20
1.0,6,4,2,0,0,0,0
2.0,4,3,1,0,0,0,0
3.0,4,1,3,0,0,0,0
4.0,5,4,1,0,0,0,0
5.0,9,4,5,0,0,0,0
6.0,4,3,1,0,0,0,0
7.0,2,1,1,0,0,0,0
8.0,3,3,0,0,0,0,0
9.0,5,4,1,0,0,0,0
10.0,6,2,2,2,0,0,0
11.0,13,7,6,0,0,0,0
12.0,12,4,6,2,0,0,0
13.0,17,5,8,3,1,0,0
14.0,14,8,4,2,0,0,0
15.0,5,5,0,0,0,0,0
16.0,22,10,6,6,0,0,0
17.0,17,7,7,3,0,0,0
18.0,14,10,3,0,1,0,0
19.0,10,5,4,1,0,0,0
20.0,5,3,1,1,0,0,0
21.0,5,3,2,0,0,0,0
22.0,5,3,2,0,0,0,0
23.0,9,6,3,0,0,0,0
24.0,10,7,3,0,0,0,0
25.0,12,7,4,1,0,0,0
26.0,13,8,3,2,0,0,0
27.0,8,6,1,1,0,0,0
28.0,2,2,0,0,0,0,0
29.0,6,5,1,0,0,0,0
30.0,3,0,2,1,0,0,0
31.0,2,1,1,0,0,0,0
32.0,6,5,1,0,0,0,0
33.0,3,3,0,0,0,0,0
34.0,3,3,0,0,0,0,0
35.0,6,6,0,0,0,0,0
36.0,4,3,1,0,0,0,0
