category,Bubble1,Bubble2,Bubble3,Bubble4
1,36,,,
118,,,,50
134,,51,,
148,,,54,
163,,,,27
167,,,,51
176,10,,,
183,,28,,
186,19,,,
193,15,,,
198,29,,,
200,,43,,
214,,,60,
225,,,18,
231,,27,,
236,,,41,
242,,,27,
253,,,22,
259,29,,,
264,42,,37,
286,,,,53
293,,,30,
294,,,13,
300,,32,,
301,,,16,
311,,,,58
322,,24,,
335,,38,,
336,,57,,
339,,,,42
341,26,,,
345,,,,47
349,34,,,
350,,32,,
351,,59,,
367,,,28,
370,,,,33
381,,36,,
40,36,,,
402,,,,12
405,16,,,
408,,,,18
419,,52,,
429,49,,,
455,,,,27
473,,,,44
479,,29,,
48,,34,,
488,,,,35
49,60,,,
497,,,36,
506,,,55,
511,,,,60
527,19,,,
545,,,40,
547,,,30,
550,,,,23
565,,,,17
596,,54,21,
602,,,,20
617,,,37,
634,47,,,
653,,,56,
67,60,,,
676,33,,,
686,,,,38
702,,10,,
732,36,,,
738,,27,,
739,,,27,
74,,11,,
746,56,,,
747,,19,,
78,51,,,
8,,45,,
96,,,28,
98,,,,28
