lang,langLabel
http://www.wikidata.org/entity/Q110885022,Phoenix Object Basic
http://www.wikidata.org/entity/Q7388255,S2
http://www.wikidata.org/entity/Q7248516,Prograph
http://www.wikidata.org/entity/Q7585520,urbiscript
http://www.wikidata.org/entity/Q7670997,TOM
http://www.wikidata.org/entity/Q17118377,Swift
http://www.wikidata.org/entity/Q7263936,Python for S60
http://www.wikidata.org/entity/Q18388455,Telescript
http://www.wikidata.org/entity/Q21577202,Gambas
http://www.wikidata.org/entity/Q21921428,Crystal
http://www.wikidata.org/entity/Q25212795,Dice
http://www.wikidata.org/entity/Q11765028,MetaQuotes Language MQL4/MQL5
http://www.wikidata.org/entity/Q25462748,Ring
http://www.wikidata.org/entity/Q16958879,Umple
http://www.wikidata.org/entity/Q7186942,Envelop
http://www.wikidata.org/entity/Q25345888,Qore
http://www.wikidata.org/entity/Q15241057,Wolfram Language
http://www.wikidata.org/entity/Q17072316,Topology and Orchestration Specification for Cloud Applications
http://www.wikidata.org/entity/Q22095795,eC
http://www.wikidata.org/entity/Q16875113,ObjVProlog
http://www.wikidata.org/entity/Q16616746,Pascal Script
http://www.wikidata.org/entity/Q120316074,Gnolang
http://www.wikidata.org/entity/Q7075040,Object Oberon
http://www.wikidata.org/entity/Q7248259,Profile Scripting Language
http://www.wikidata.org/entity/Q77184757,Motoko
http://www.wikidata.org/entity/Q94279981,Dragon
http://www.wikidata.org/entity/Q109315314,Apex
http://www.wikidata.org/entity/Q161053,Ruby
http://www.wikidata.org/entity/Q143419,Blitz BASIC
http://www.wikidata.org/entity/Q93482,Ceylon
http://www.wikidata.org/entity/Q188531,Objective-C
http://www.wikidata.org/entity/Q206040,Mercury
http://www.wikidata.org/entity/Q319268,D
http://www.wikidata.org/entity/Q154755,Ada
http://www.wikidata.org/entity/Q383994,J
http://www.wikidata.org/entity/Q406009,Dart
http://www.wikidata.org/entity/Q473201,Turbo Pascal
http://www.wikidata.org/entity/Q504453,Groovy
http://www.wikidata.org/entity/Q580448,Falcon
http://www.wikidata.org/entity/Q892948,Boo
http://www.wikidata.org/entity/Q910482,Oxygene
http://www.wikidata.org/entity/Q648124,Gambas
http://www.wikidata.org/entity/Q740158,Jasmin
http://www.wikidata.org/entity/Q207316,Lua
http://www.wikidata.org/entity/Q1268744,Dylan
http://www.wikidata.org/entity/Q1040272,Monkey X
http://www.wikidata.org/entity/Q608565,Cobra
http://www.wikidata.org/entity/Q1186348,Seed7
http://www.wikidata.org/entity/Q1572341,Pike
http://www.wikidata.org/entity/Q1254148,Racket
http://www.wikidata.org/entity/Q2658244,E
http://www.wikidata.org/entity/Q2613697,Julia
http://www.wikidata.org/entity/Q2357042,Strongtalk
http://www.wikidata.org/entity/Q2904782,Cool
http://www.wikidata.org/entity/Q2502073,Noop
http://www.wikidata.org/entity/Q2699404,Fantom
http://www.wikidata.org/entity/Q3816639,Kotlin
http://www.wikidata.org/entity/Q4036051,Chapel
http://www.wikidata.org/entity/Q5119098,Ciao
http://www.wikidata.org/entity/Q1138939,Vala
http://www.wikidata.org/entity/Q4830701,Axum
http://www.wikidata.org/entity/Q5370400,Emerald
http://www.wikidata.org/entity/Q460584,Scala
http://www.wikidata.org/entity/Q6294583,Joule
http://www.wikidata.org/entity/Q4047113,Pnuts
http://www.wikidata.org/entity/Q5125133,Claire
http://www.wikidata.org/entity/Q6398316,Keykit
http://www.wikidata.org/entity/Q7067717,Nu
http://www.wikidata.org/entity/Q6652643,Little b
http://www.wikidata.org/entity/Q830842,BETA
http://www.wikidata.org/entity/Q1106293,Genie
http://www.wikidata.org/entity/Q7074171,Oaklisp
http://www.wikidata.org/entity/Q2407,C++
http://www.wikidata.org/entity/Q1053535,Processing
http://www.wikidata.org/entity/Q849146,Common Lisp
http://www.wikidata.org/entity/Q131140,COBOL
http://www.wikidata.org/entity/Q1864529,Self
http://www.wikidata.org/entity/Q1549370,Aldor
http://www.wikidata.org/entity/Q4037189,Delphi
http://www.wikidata.org/entity/Q3218363,Lasso
http://www.wikidata.org/entity/Q732089,Eiffel
http://www.wikidata.org/entity/Q2868806,Ateji PX
http://www.wikidata.org/entity/Q3858763,Mirah
http://www.wikidata.org/entity/Q2904843,Bistro
http://www.wikidata.org/entity/Q4677478,ActiveVFP
http://www.wikidata.org/entity/Q5423621,F-Script
http://www.wikidata.org/entity/Q212569,Simula
http://www.wikidata.org/entity/Q6998311,NetRexx
http://www.wikidata.org/entity/Q235086,Smalltalk
http://www.wikidata.org/entity/Q537288,Wiring
http://www.wikidata.org/entity/Q2437099,Object REXX
http://www.wikidata.org/entity/Q2626413,Nemerle
http://www.wikidata.org/entity/Q3154072,Ioke
http://www.wikidata.org/entity/Q5166349,Converge
http://www.wikidata.org/entity/Q5587589,Gosu
http://www.wikidata.org/entity/Q165372,CLIPS
http://www.wikidata.org/entity/Q212587,OCaml
http://www.wikidata.org/entity/Q7019813,Newspeak
http://www.wikidata.org/entity/Q753868,Visual FoxPro
http://www.wikidata.org/entity/Q1494770,ILNumerics.Net
http://www.wikidata.org/entity/Q3258085,Logtalk
http://www.wikidata.org/entity/Q3408297,ProvideX
http://www.wikidata.org/entity/Q5127798,Clascal
http://www.wikidata.org/entity/Q6304189,Judoscript
http://www.wikidata.org/entity/Q7074992,ObjVlisp
http://www.wikidata.org/entity/Q1167341,Basic For Qt
http://www.wikidata.org/entity/Q1963461,OpenEdge Advanced Business Language
http://www.wikidata.org/entity/Q633894,Object Pascal
http://www.wikidata.org/entity/Q4692057,AgentSheets
http://www.wikidata.org/entity/Q83303,Fortran
http://www.wikidata.org/entity/Q195929,FreeBASIC
http://www.wikidata.org/entity/Q1443431,Objective-J
http://www.wikidata.org/entity/Q1928222,Modula-3
http://www.wikidata.org/entity/Q4053269,X++
http://www.wikidata.org/entity/Q2299598,SuperCollider
http://www.wikidata.org/entity/Q3337877,NekoVM
http://www.wikidata.org/entity/Q4033768,Allegro Common Lisp
http://www.wikidata.org/entity/Q4046509,PascalABC.NET
http://www.wikidata.org/entity/Q4051864,Turbo51
http://www.wikidata.org/entity/Q28865,Python
http://www.wikidata.org/entity/Q59,PHP
http://www.wikidata.org/entity/Q5288,Tcl
http://www.wikidata.org/entity/Q3251260,Oberon-2
http://www.wikidata.org/entity/Q3354460,OptimJ
http://www.wikidata.org/entity/Q3415803,RUR-PLE
http://www.wikidata.org/entity/Q6955411,NS Basic
http://www.wikidata.org/entity/Q2378,Visual Basic
