date,value
1/1/1998,12964
1/2/1998,14071
1/3/1998,13197
1/4/1998,14136
1/5/1998,14661
1/6/1998,14070
1/7/1998,14387
1/8/1998,13757
1/9/1998,14681
1/10/1998,12987
1/11/1998,13780
1/12/1998,14174
1/13/1998,14636
1/14/1998,14543
1/15/1998,14362
1/16/1998,14362
1/17/1998,12886
1/18/1998,13863
1/19/1998,14769
1/20/1998,14758
1/21/1998,14679
1/22/1998,14557
1/23/1998,14481
1/24/1998,12900
1/25/1998,13939
1/26/1998,14744
1/27/1998,14639
1/28/1998,14504
1/29/1998,14813
1/30/1998,14819
1/31/1998,13002
2/1/1998,14010
2/2/1998,14656
2/3/1998,14492
2/4/1998,14410
2/5/1998,14235
2/6/1998,14700
2/7/1998,12874
2/8/1998,14021
2/9/1998,14611
2/10/1998,14559
2/11/1998,14680
2/12/1998,14941
2/13/1998,15046
2/14/1998,13093
2/15/1998,14031
2/16/1998,14801
2/17/1998,14570
2/18/1998,14702
2/19/1998,14859
2/20/1998,14976
2/21/1998,13157
2/22/1998,14181
2/23/1998,14844
2/24/1998,14492
2/25/1998,14358
2/26/1998,14855
2/27/1998,14973
2/28/1998,13221
3/1/1998,14217
3/2/1998,14913
3/3/1998,14900
3/4/1998,14921
3/5/1998,15016
3/6/1998,15057
3/7/1998,13130
3/8/1998,13871
3/9/1998,13334
3/10/1998,14854
3/11/1998,14851
3/12/1998,14938
3/13/1998,14988
3/14/1998,13284
3/15/1998,14242
3/16/1998,14877
3/17/1998,14801
3/18/1998,14561
3/19/1998,14828
3/20/1998,14887
3/21/1998,13244
3/22/1998,14113
3/23/1998,14931
3/24/1998,14832
3/25/1998,14923
3/26/1998,14967
3/27/1998,15044
3/28/1998,13323
3/29/1998,14289
3/30/1998,14925
3/31/1998,14795
4/1/1998,14884
4/2/1998,14784
4/3/1998,14795
4/4/1998,13139
4/5/1998,14166
4/6/1998,14953
4/7/1998,14853
4/8/1998,14867
4/9/1998,14871
4/10/1998,14745
4/11/1998,12979
4/12/1998,14112
4/13/1998,14927
4/14/1998,14910
4/15/1998,14822
4/16/1998,14867
4/17/1998,14935
4/18/1998,13157
4/19/1998,14188
4/20/1998,14885
4/21/1998,14807
4/22/1998,14868
4/23/1998,14757
4/24/1998,14929
4/25/1998,13118
4/26/1998,14182
4/27/1998,14849
4/28/1998,14761
4/29/1998,14759
4/30/1998,14823
5/1/1998,14756
5/2/1998,12987
5/3/1998,14086
5/4/1998,14728
5/5/1998,14560
5/6/1998,14404
5/7/1998,14497
5/8/1998,14631
5/9/1998,12972
5/10/1998,13859
5/11/1998,14610
5/12/1998,14574
5/13/1998,14666
5/14/1998,14748
5/15/1998,14741
5/16/1998,12984
5/17/1998,14010
5/18/1998,14713
5/19/1998,14563
5/20/1998,14658
5/21/1998,14763
5/22/1998,14900
5/23/1998,12426
5/24/1998,12356
