State,Attribute,Value
CARTE SON,ENTREPOT1,5
CARTE SON,ENTREPOT2,7
CARTE SON,ENTREPOT3,9
CARTE SON,ENTREPOT4,8
CARTE SON,ENTREPOT5,5
CARTE SON,ENTREPOT6,0
SOURIS,ENTREPOT1,220
SOURIS,ENTREPOT2,199
SOURIS,ENTREPOT3,221
SOURIS,ENTREPOT4,194
SOURIS,ENTREPOT5,199
SOURIS,ENTREPOT6,8
ACCESSOIRES,ENTREPOT1,4
ACCESSOIRES,ENTREPOT2,8
ACCESSOIRES,ENTREPOT3,0
ACCESSOIRES,ENTREPOT4,0
ACCESSOIRES,ENTREPOT5,4
ACCESSOIRES,ENTREPOT6,0
CPU,ENTREPOT1,121
CPU,ENTREPOT2,116
CPU,ENTREPOT3,126
CPU,ENTREPOT4,123
CPU,ENTREPOT5,125
CPU,ENTREPOT6,0
ORDINATEUR,ENTREPOT1,341
ORDINATEUR,ENTREPOT2,338
ORDINATEUR,ENTREPOT3,346
ORDINATEUR,ENTREPOT4,342
ORDINATEUR,ENTREPOT5,351
ORDINATEUR,ENTREPOT6,33
EDITIQUE,ENTREPOT1,47
EDITIQUE,ENTREPOT2,25
EDITIQUE,ENTREPOT3,36
EDITIQUE,ENTREPOT4,33
EDITIQUE,ENTREPOT5,32
EDITIQUE,ENTREPOT6,0
DISQUE DUR INTERNE,ENTREPOT1,394
DISQUE DUR INTERNE,ENTREPOT2,394
DISQUE DUR INTERNE,ENTREPOT3,425
DISQUE DUR INTERNE,ENTREPOT4,377
DISQUE DUR INTERNE,ENTREPOT5,426
DISQUE DUR INTERNE,ENTREPOT6,29
SERVEURS,ENTREPOT1,49
SERVEURS,ENTREPOT2,39
SERVEURS,ENTREPOT3,55
SERVEURS,ENTREPOT4,59
SERVEURS,ENTREPOT5,52
SERVEURS,ENTREPOT6,0
CARTE RESEAU SANS FIL,ENTREPOT1,26
CARTE RESEAU SANS FIL,ENTREPOT2,28
CARTE RESEAU SANS FIL,ENTREPOT3,20
CARTE RESEAU SANS FIL,ENTREPOT4,38
CARTE RESEAU SANS FIL,ENTREPOT5,22
CARTE RESEAU SANS FIL,ENTREPOT6,0
CASQUE,ENTREPOT1,1
CASQUE,ENTREPOT2,3
CASQUE,ENTREPOT3,0
CASQUE,ENTREPOT4,2
CASQUE,ENTREPOT5,1
CASQUE,ENTREPOT6,0
SOFTWARE,ENTREPOT1,11
SOFTWARE,ENTREPOT2,19
SOFTWARE,ENTREPOT3,11
SOFTWARE,ENTREPOT4,9
SOFTWARE,ENTREPOT5,11
SOFTWARE,ENTREPOT6,0
TELEPHONIE,ENTREPOT1,11
TELEPHONIE,ENTREPOT2,9
TELEPHONIE,ENTREPOT3,8
TELEPHONIE,ENTREPOT4,7
TELEPHONIE,ENTREPOT5,7
TELEPHONIE,ENTREPOT6,0
MEMORY,ENTREPOT1,1463
MEMORY,ENTREPOT2,1667
MEMORY,ENTREPOT3,1602
MEMORY,ENTREPOT4,1618
MEMORY,ENTREPOT5,1575
MEMORY,ENTREPOT6,140
OS,ENTREPOT1,8
OS,ENTREPOT2,7
OS,ENTREPOT3,9
OS,ENTREPOT4,6
OS,ENTREPOT5,4
OS,ENTREPOT6,0
CLAVIER,ENTREPOT1,169
CLAVIER,ENTREPOT2,167
CLAVIER,ENTREPOT3,158
CLAVIER,ENTREPOT4,169
CLAVIER,ENTREPOT5,158
CLAVIER,ENTREPOT6,6
WEBCAM,ENTREPOT1,2
WEBCAM,ENTREPOT2,3
WEBCAM,ENTREPOT3,1
WEBCAM,ENTREPOT4,2
WEBCAM,ENTREPOT5,2
WEBCAM,ENTREPOT6,0
CARTE VIDEO,ENTREPOT1,131
CARTE VIDEO,ENTREPOT2,148
CARTE VIDEO,ENTREPOT3,146
CARTE VIDEO,ENTREPOT4,132
CARTE VIDEO,ENTREPOT5,156
CARTE VIDEO,ENTREPOT6,3
