bucket,Attribute,Value
1,<5,4
1,5-7,2
1,7-10,0
1,10-15,0
1,15-20,0
1,>20,0
2,<5,3
2,5-7,1
2,7-10,0
2,10-15,0
2,15-20,0
2,>20,0
3,<5,1
3,5-7,3
3,7-10,0
3,10-15,0
3,15-20,0
3,>20,0
4,<5,4
4,5-7,1
4,7-10,0
4,10-15,0
4,15-20,0
4,>20,0
5,<5,4
5,5-7,5
5,7-10,0
5,10-15,0
5,15-20,0
5,>20,0
6,<5,3
6,5-7,1
6,7-10,0
6,10-15,0
6,15-20,0
6,>20,0
7,<5,1
7,5-7,1
7,7-10,0
7,10-15,0
7,15-20,0
7,>20,0
8,<5,3
8,5-7,0
8,7-10,0
8,10-15,0
8,15-20,0
8,>20,0
9,<5,4
9,5-7,1
9,7-10,0
9,10-15,0
9,15-20,0
9,>20,0
10,<5,2
10,5-7,2
10,7-10,2
10,10-15,0
10,15-20,0
10,>20,0
11,<5,7
11,5-7,6
11,7-10,0
11,10-15,0
11,15-20,0
11,>20,0
12,<5,4
12,5-7,6
12,7-10,2
12,10-15,0
12,15-20,0
12,>20,0
13,<5,5
13,5-7,8
13,7-10,3
13,10-15,1
13,15-20,0
13,>20,0
14,<5,8
14,5-7,4
14,7-10,2
14,10-15,0
14,15-20,0
14,>20,0
15,<5,5
15,5-7,0
15,7-10,0
15,10-15,0
15,15-20,0
15,>20,0
16,<5,10
16,5-7,6
16,7-10,6
16,10-15,0
16,15-20,0
16,>20,0
17,<5,7
17,5-7,7
17,7-10,3
17,10-15,0
17,15-20,0
17,>20,0
18,<5,10
18,5-7,3
18,7-10,0
18,10-15,1
18,15-20,0
18,>20,0
19,<5,5
19,5-7,4
19,7-10,1
19,10-15,0
19,15-20,0
19,>20,0
20,<5,3
20,5-7,1
20,7-10,1
20,10-15,0
20,15-20,0
20,>20,0
21,<5,3
21,5-7,2
21,7-10,0
21,10-15,0
21,15-20,0
21,>20,0
22,<5,3
22,5-7,2
22,7-10,0
22,10-15,0
22,15-20,0
22,>20,0
23,<5,6
23,5-7,3
23,7-10,0
23,10-15,0
23,15-20,0
23,>20,0
24,<5,7
24,5-7,3
24,7-10,0
24,10-15,0
24,15-20,0
24,>20,0
25,<5,7
25,5-7,4
25,7-10,1
25,10-15,0
25,15-20,0
25,>20,0
26,<5,8
26,5-7,3
26,7-10,2
26,10-15,0
26,15-20,0
26,>20,0
27,<5,6
27,5-7,1
27,7-10,1
27,10-15,0
27,15-20,0
27,>20,0
28,<5,2
28,5-7,0
28,7-10,0
28,10-15,0
28,15-20,0
28,>20,0
29,<5,5
29,5-7,1
29,7-10,0
29,10-15,0
29,15-20,0
29,>20,0
30,<5,0
30,5-7,2
30,7-10,1
30,10-15,0
30,15-20,0
30,>20,0
31,<5,1
31,5-7,1
31,7-10,0
31,10-15,0
31,15-20,0
31,>20,0
32,<5,5
32,5-7,1
32,7-10,0
32,10-15,0
32,15-20,0
32,>20,0
33,<5,3
33,5-7,0
33,7-10,0
33,10-15,0
33,15-20,0
33,>20,0
34,<5,3
34,5-7,0
34,7-10,0
34,10-15,0
34,15-20,0
34,>20,0
35,<5,6
35,5-7,0
35,7-10,0
35,10-15,0
35,15-20,0
35,>20,0
36,<5,3
36,5-7,1
36,7-10,0
36,10-15,0
36,15-20,0
36,>20,0
