year,rank,male_name
2019,1,Liam
2019,2,Noah
2019,3,Oliver
2019,4,William
2019,5,Elijah
2019,6,James
2019,7,Benjamin
2019,8,Lucas
2019,9,Mason
2019,10,Ethan
2019,11,Alexander
2019,12,Henry
2019,13,Jacob
2019,14,Michael
2019,15,Daniel
2019,16,Logan
2019,17,Jackson
2019,18,Sebastian
2019,19,Jack
2019,20,Aiden
2018,1,Liam
2018,2,Noah
2018,3,William
2018,4,James
2018,5,Oliver
2018,6,Benjamin
2018,7,Elijah
2018,8,Lucas
2018,9,Mason
2018,10,Logan
2018,11,Alexander
2018,12,Ethan
2018,13,Jacob
2018,14,Michael
2018,15,Daniel
2018,16,Henry
2018,17,Jackson
2018,18,Sebastian
2018,19,Aiden
2018,20,Matthew
2017,1,Liam
2017,2,Noah
2017,3,William
2017,4,James
2017,5,Logan
2017,6,Benjamin
2017,7,Mason
2017,8,Elijah
2017,9,Oliver
2017,10,Jacob
2017,11,Lucas
2017,12,Michael
2017,13,Alexander
2017,14,Ethan
2017,15,Daniel
2017,16,Matthew
2017,17,Aiden
2017,18,Henry
2017,19,Joseph
2017,20,Jackson
2016,1,Noah
2016,2,Liam
2016,3,William
2016,4,Mason
2016,5,James
2016,6,Benjamin
2016,7,Jacob
2016,8,Michael
2016,9,Elijah
2016,10,Ethan
2016,11,Alexander
2016,12,Oliver
2016,13,Daniel
2016,14,Lucas
2016,15,Matthew
2016,16,Aiden
2016,17,Jackson
2016,18,Logan
2016,19,David
2016,20,Joseph
2015,1,Noah
2015,2,Liam
2015,3,Mason
2015,4,Jacob
2015,5,William
2015,6,Ethan
2015,7,James
2015,8,Alexander
2015,9,Michael
2015,10,Benjamin
2015,11,Elijah
2015,12,Daniel
2015,13,Aiden
2015,14,Logan
2015,15,Matthew
2015,16,Lucas
2015,17,Jackson
2015,18,David
2015,19,Oliver
2015,20,Jayden
2014,1,Noah
2014,2,Liam
2014,3,Mason
2014,4,Jacob
2014,5,William
2014,6,Ethan
2014,7,Michael
2014,8,Alexander
2014,9,James
2014,10,Daniel
2014,11,Elijah
2014,12,Benjamin
2014,13,Logan
2014,14,Aiden
2014,15,Jayden
2014,16,Matthew
2014,17,Jackson
2014,18,David
2014,19,Lucas
2014,20,Joseph
2013,1,Noah
2013,2,Jacob
2013,3,Liam
2013,4,Mason
2013,5,William
2013,6,Ethan
2013,7,Michael
2013,8,Alexander
2013,9,Jayden
2013,10,Daniel
2013,11,Elijah
2013,12,Aiden
2013,13,James
2013,14,Benjamin
2013,15,Matthew
2013,16,Jackson
2013,17,David
2013,18,Logan
2013,19,Anthony
2013,20,Joseph
