id,year,value
Serie 1,2000,4
Serie 1,2001,2
Serie 1,2002,1
Serie 1,2003,8
Serie 1,2004,10
Serie 2,2000,9
Serie 2,2001,6
Serie 2,2002,11
Serie 2,2003,11
Serie 2,2004,5
Serie 3,2000,7
Serie 3,2001,12
Serie 3,2002,9
Serie 3,2003,1
Serie 3,2004,6
Serie 4,2000,12
Serie 4,2001,5
Serie 4,2002,8
Serie 4,2003,5
Serie 4,2004,2
Serie 5,2000,1
Serie 5,2001,8
Serie 5,2002,12
Serie 5,2003,7
Serie 5,2004,1
Serie 6,2000,2
Serie 6,2001,11
Serie 6,2002,7
Serie 6,2003,10
Serie 6,2004,7
Serie 7,2000,10
Serie 7,2001,1
Serie 7,2002,5
Serie 7,2003,4
Serie 7,2004,3
Serie 8,2000,5
Serie 8,2001,4
Serie 8,2002,6
Serie 8,2003,2
Serie 8,2004,9
Serie 9,2000,8
Serie 9,2001,10
Serie 9,2002,10
Serie 9,2003,12
Serie 9,2004,8
Serie 10,2000,3
Serie 10,2001,9
Serie 10,2002,3
Serie 10,2003,6
Serie 10,2004,12
Serie 11,2000,11
Serie 11,2001,7
Serie 11,2002,2
Serie 11,2003,9
Serie 11,2004,4
Serie 12,2000,6
Serie 12,2001,3
Serie 12,2002,4
Serie 12,2003,3
Serie 12,2004,11
