"Category","Series 0","Series 1","Series 2","Series 3","Series 4","Series 5","Series 6"
W<br>1,false,false,false,false,false,3,[object Object]
W<br>2,[object Object],12,3,4,9,11,[object Object]
W<br>3,[object Object],5,5,9,9,9,[object Object]
W<br>4,[object Object],4,6,5,6,2,[object Object]
W<br>5,[object Object],5,9,6,6,7,[object Object]
W<br>6,[object Object],7,12,3,3,9,[object Object]
W<br>7,[object Object],9,9,4,5,8,[object Object]
W<br>8,[object Object],8,3,7,5,9,[object Object]
W<br>9,[object Object],6,5,8,10,4,[object Object]
W<br>10,[object Object],5,9,9,3,3,[object Object]
W<br>11,[object Object],4,2,10,9,7,[object Object]
W<br>12,[object Object],8,7,8,8,2,[object Object]
W<br>13,[object Object],3,4,5,6,7,[object Object]
W<br>14,[object Object],8,8,9,7,9,[object Object]
W<br>15,[object Object],7,5,6,9,4,[object Object]
W<br>16,[object Object],8,9,3,5,5,[object Object]
W<br>17,[object Object],8,8,9,3,6,[object Object]
W<br>18,[object Object],12,6,5,5,11,[object Object]
W<br>19,[object Object],9,3,5,4,9,[object Object]
W<br>20,[object Object],5,5,7,7,5,[object Object]
W<br>21,[object Object],3,2,7,5,3,[object Object]
W<br>22,[object Object],9,11,5,9,4,[object Object]
W<br>23,[object Object],5,7,9,5,5,[object Object]
W<br>24,[object Object],6,7,8,5,8,[object Object]
W<br>25,[object Object],6,6,2,7,5,[object Object]
W<br>26,[object Object],5,8,8,8,10,[object Object]
W<br>27,[object Object],7,12,7,6,false,false
