date,level
1/29/2019,1
2/25/2019,1
2/26/2019,3
3/25/2019,1
3/26/2019,1
3/28/2019,2
3/29/2019,1
4/17/2019,1
4/18/2019,4
4/19/2019,1
6/20/2019,1
8/1/2019,1
8/6/2019,3
8/7/2019,4
8/8/2019,3
8/9/2019,1
8/29/2019,1
9/20/2019,2
9/24/2019,1
9/25/2019,2
9/26/2019,2
9/27/2019,1
9/29/2019,1
10/8/2019,1
10/10/2019,1
10/11/2019,2
10/18/2019,1
11/1/2019,2
11/2/2019,1
11/8/2019,1
11/10/2019,1
11/12/2019,1
11/13/2019,2
11/14/2019,1
11/15/2019,1
11/18/2019,1
11/19/2019,1
11/20/2019,1
11/27/2019,1
12/5/2019,1
12/11/2019,2
12/12/2019,1
12/17/2019,3
12/18/2019,2
12/19/2019,2
12/30/2019,1
1/14/2020,1
1/23/2020,1
1/28/2020,1
2/4/2020,1
2/6/2020,1
2/14/2020,4
2/16/2020,3
2/17/2020,4
3/5/2020,1
3/10/2020,1
3/12/2020,3
3/23/2020,1
3/24/2020,1
3/26/2020,1
4/14/2020,1
4/21/2020,1
4/22/2020,1
4/23/2020,2
4/24/2020,1
4/28/2020,1
4/30/2020,1
5/6/2020,1
5/20/2020,1
5/21/2020,3
5/22/2020,3
5/23/2020,1
5/24/2020,2
5/25/2020,2
5/26/2020,2
5/27/2020,1
5/28/2020,3
5/29/2020,4
6/4/2020,1
6/5/2020,1
6/8/2020,1
6/9/2020,1
6/10/2020,1
6/11/2020,3
6/12/2020,1
6/19/2020,1
6/20/2020,1
6/23/2020,1
6/24/2020,4
6/25/2020,2
6/26/2020,1
6/28/2020,4
7/4/2020,1
7/6/2020,2
7/7/2020,3
7/8/2020,2
7/9/2020,3
7/13/2020,1
7/21/2020,1
7/22/2020,1
7/23/2020,1
7/25/2020,1
7/26/2020,1
7/27/2020,2
7/30/2020,1
8/3/2020,1
8/5/2020,1
8/6/2020,1
8/12/2020,1
8/20/2020,1
8/21/2020,1
8/23/2020,1
8/24/2020,1
8/25/2020,2
8/26/2020,1
8/27/2020,1
8/28/2020,1
9/2/2020,1
9/4/2020,1
9/7/2020,1
9/8/2020,1
9/9/2020,1
9/10/2020,1
9/11/2020,1
9/16/2020,3
9/17/2020,1
9/18/2020,2
9/21/2020,1
9/22/2020,2
9/23/2020,1
9/24/2020,1
9/26/2020,1
9/27/2020,2
9/29/2020,4
9/30/2020,2
10/1/2020,1
10/2/2020,1
10/14/2020,1
10/15/2020,2
10/19/2020,1
10/20/2020,1
10/21/2020,2
10/27/2020,2
10/28/2020,2
10/29/2020,3
11/1/2020,1
11/2/2020,1
11/3/2020,2
11/4/2020,1
11/5/2020,2
11/6/2020,1
11/7/2020,1
11/8/2020,3
11/9/2020,4
11/10/2020,2
11/11/2020,1
11/12/2020,2
11/13/2020,1
11/16/2020,1
11/17/2020,2
11/18/2020,1
11/22/2020,4
11/23/2020,4
11/24/2020,4
11/25/2020,2
11/26/2020,2
12/2/2020,1
12/7/2020,2
12/8/2020,1
12/9/2020,1
12/14/2020,1
12/15/2020,1
12/17/2020,2
12/21/2020,1
12/22/2020,2
12/23/2020,4
12/24/2020,2
12/28/2020,2
12/29/2020,1
12/31/2020,1
1/4/2021,1
1/5/2021,1
1/7/2021,1
1/12/2021,4
1/13/2021,2
1/15/2021,2
1/18/2021,2
1/19/2021,3
1/20/2021,3
1/28/2021,4
1/29/2021,1
1/30/2021,1
2/3/2021,1
2/16/2021,1
2/17/2021,4
2/18/2021,4
2/19/2021,4
3/2/2021,1
3/3/2021,4
3/4/2021,1
3/8/2021,1
3/10/2021,1
3/19/2021,1
3/20/2021,1
3/22/2021,1
3/26/2021,4
4/4/2021,1
4/5/2021,1
4/13/2021,3
4/15/2021,3
4/20/2021,3
4/21/2021,1
5/6/2021,4
5/10/2021,2
5/11/2021,1
5/13/2021,4
5/14/2021,1
