caso,parola,frequenza,index,x,y,vy,vx
0,glutine,4930,0,913.417770627071,544.9437813897197,-0.09222406033075228,0.004890508101433922
0,prodotti,4425,1,836.4933740842906,666.5994238493431,-0.09259470561642966,0.003913903162372393
0,senza,3683,2,356.504690669481,619.7227003408556,-0.09095370328007078,-0.001053705527273523
0,celiachia,3615,3,396.36931626376696,467.15912536077803,-0.09588764712133398,-0.0022094448897045614
0,alimenti,3364,4,353.24521506179536,724.258425411447,-0.08749638859230949,0.002129968876656133
0,grano,2293,5,668.8072712019328,619.9784927204945,-0.09525062520874024,0.0033355286247781814
0,pasta,2037,6,135.6542545741661,523.7703195866945,-0.0928444731616193,-0.0064621839085039585
0,salute,1950,7,571.1720121519569,607.1934493230054,-0.09297185918245848,0.0007772003981705004
0,italia,1869,8,438.02106365478534,591.6903569586638,-0.09176573428588437,-0.00033128181759347757
0,molto,1858,9,214.0374268854723,573.3549188690639,-0.0939913523270539,-0.002827169475757756
0,caso,1712,10,69.05851832331155,587.132325603274,-0.09202239958815091,-0.007132006950172166
0,nuova,1712,11,454.9705591960447,543.3168503842112,-0.09427743269791884,-0.003684698963798881
0,consumo,1651,12,389.7428887853479,668.6861292943626,-0.09041717550339508,-0.0018256842264707993
0,farina,1626,13,532.6011294434078,534.0472207292681,-0.09598375015437045,-0.00129977403733263
0,pane,1571,14,600.572828182696,684.8535227259081,-0.09211841047893256,0.00019607302758646814
0,italiana,1563,15,255.67224158772223,545.1399141833202,-0.09659816893640945,-0.004545977734187182
0,sempre,1554,16,430.61436976001755,641.5418314436594,-0.08761645103047633,0.00019737118971426131
0,essere,1536,17,375.0541975194751,524.4916954318927,-0.09560322684026797,-0.003262984488959952
0,bambini,1536,18,526.8083193805014,582.592202101551,-0.09797289593368229,-0.0011487153301169319
0,qualita,1525,19,208.12882417334728,654.1632104393364,-0.09325697983915164,-0.007502113434524456
0,ingredienti,1450,20,342.5469682535263,559.4598231883884,-0.09509370244836743,-0.002717634356853434
0,giorno,1418,21,527.215518613983,630.7913648215764,-0.09075809401013492,0.0016207512285039364
0,grande,1403,22,474.9406911716536,624.444125016013,-0.09150255241594901,-0.00008437690264646974
0,euro,1392,23,299.63818389889326,628.6720110928068,-0.0925842677197513,-0.0021192832607326876
