id,text,parent,data-xx,value
flare,flare,,,
analytics,analytics,flare,xx-analytics,
cluster,cluster,analytics,xx-cluster,
agglomerativecluster,AgglomerativeCluster,cluster,,3938.0
communitystructure,CommunityStructure,cluster,,3812.0
hierarchicalcluster,HierarchicalCluster,cluster,,6714.0
mergeedge,MergeEdge,cluster,,743.0
graph,graph,analytics,,
betweennesscentrality,BetweennessCentrality,graph,,3534.0
linkdistance,LinkDistance,graph,,5731.0
maxflowmincut,MaxFlowMinCut,graph,,7840.0
shortestpaths,ShortestPaths,graph,,5914.0
spanningtree,SpanningTree,graph,,3416.0
optimization,optimization,analytics,,
aspectratiobanker,AspectRatioBanker,optimization,,7074.0
animate,animate,flare,,
easing,Easing,animate,,17010.0
functionsequence,FunctionSequence,animate,,5842.0
interpolate,interpolate,animate,,
arrayinterpolator,ArrayInterpolator,interpolate,,1983.0
colorinterpolator,ColorInterpolator,interpolate,,2047.0
dateinterpolator,DateInterpolator,interpolate,,1375.0
interpolator,Interpolator,interpolate,,8746.0
matrixinterpolator,MatrixInterpolator,interpolate,,2202.0
numberinterpolator,NumberInterpolator,interpolate,,1382.0
objectinterpolator,ObjectInterpolator,interpolate,,1629.0
pointinterpolator,PointInterpolator,interpolate,,1675.0
rectangleinterpolator,RectangleInterpolator,interpolate,,2042.0
ischedulable,ISchedulable,animate,,1041.0
parallel,Parallel,animate,,5176.0
pause,Pause,animate,,449.0
scheduler,Scheduler,animate,,5593.0
sequence,Sequence,animate,,5534.0
transition,Transition,animate,,9201.0
transitioner,Transitioner,animate,,19975.0
transitionevent,TransitionEvent,animate,,1116.0
tween,Tween,animate,,6006.0
data,data,flare,,
converters,converters,data,,
converters1,Converters,converters,,721.0
delimitedtextconverter,DelimitedTextConverter,converters,,4294.0
graphmlconverter,GraphMLConverter,converters,,9800.0
idataconverter,IDataConverter,converters,,1314.0
jsonconverter,JSONConverter,converters,,2220.0
datafield,DataField,data,,1759.0
dataschema,DataSchema,data,,2165.0
dataset,DataSet,data,,586.0
datasource,DataSource,data,,3331.0
datatable,DataTable,data,,772.0
datautil,DataUtil,data,,3322.0
display,display,flare,,
dirtysprite,DirtySprite,display,,8833.0
linesprite,LineSprite,display,,1732.0
rectsprite,RectSprite,display,,3623.0
textsprite,TextSprite,display,,10066.0
flex,flex,flare,,
flarevis,FlareVis,flex,,4116.0
physics,physics,flare,,
dragforce,DragForce,physics,,1082.0
gravityforce,GravityForce,physics,,1336.0
iforce,IForce,physics,,319.0
nbodyforce,NBodyForce,physics,,10498.0
particle,Particle,physics,,2822.0
simulation,Simulation,physics,,9983.0
spring,Spring,physics,,2213.0
springforce,SpringForce,physics,,1681.0
query,query,flare,,
aggregateexpression,AggregateExpression,query,,1616.0
and,And,query,,1027.0
arithmetic,Arithmetic,query,,3891.0
average,Average,query,,891.0
binaryexpression,BinaryExpression,query,,2893.0
comparison,Comparison,query,,5103.0
compositeexpression,CompositeExpression,query,,3677.0
count,Count,query,,781.0
dateutil,DateUtil,query,,4141.0
distinct,Distinct,query,,933.0
expression,Expression,query,,5130.0
expressioniterator,ExpressionIterator,query,,3617.0
fn,Fn,query,,3240.0
if,If,query,,2732.0
isa,IsA,query,,2039.0
literal,Literal,query,,1214.0
match,Match,query,,3748.0
maximum,Maximum,query,,843.0
methods,methods,query,,
add,add,methods,,593.0
and1,and,methods,,330.0
average1,average,methods,,287.0
count1,count,methods,,277.0
distinct1,distinct,methods,,292.0
div,div,methods,,595.0
eq,eq,methods,,594.0
fn1,fn,methods,,460.0
gt,gt,methods,,603.0
gte,gte,methods,,625.0
iff,iff,methods,,748.0
isa1,isa,methods,,461.0
lt,lt,methods,,597.0
lte,lte,methods,,619.0
max,max,methods,,283.0
min,min,methods,,283.0
mod,mod,methods,,591.0
mul,mul,methods,,603.0
neq,neq,methods,,599.0
not,not,methods,,386.0
or,or,methods,,323.0
orderby,orderby,methods,,307.0
range,range,methods,,772.0
select,select,methods,,296.0
stddev,stddev,methods,,363.0
sub,sub,methods,,600.0
sum,sum,methods,,280.0
update,update,methods,,307.0
variance,variance,methods,,335.0
where,where,methods,,299.0
xor,xor,methods,,354.0
_,_,methods,,264.0
minimum,Minimum,query,,843.0
not1,Not,query,,1554.0
or1,Or,query,,970.0
query1,Query,query,,13896.0
range1,Range,query,,1594.0
stringutil,StringUtil,query,,4130.0
sum1,Sum,query,,791.0
variable,Variable,query,,1124.0
variance1,Variance,query,,1876.0
xor1,Xor,query,,1101.0
scale,scale,flare,,
iscalemap,IScaleMap,scale,,2105.0
linearscale,LinearScale,scale,,1316.0
logscale,LogScale,scale,,3151.0
ordinalscale,OrdinalScale,scale,,3770.0
quantilescale,QuantileScale,scale,,2435.0
quantitativescale,QuantitativeScale,scale,,4839.0
rootscale,RootScale,scale,,1756.0
scale1,Scale,scale,,4268.0
scaletype,ScaleType,scale,,1821.0
timescale,TimeScale,scale,,5833.0
util,util,flare,,
arrays,Arrays,util,,8258.0
colors,Colors,util,,10001.0
dates,Dates,util,,8217.0
displays,Displays,util,,12555.0
filter,Filter,util,,2324.0
geometry,Geometry,util,,10993.0
heap,heap,util,,
fibonacciheap,FibonacciHeap,heap,,9354.0
heapnode,HeapNode,heap,,1233.0
ievaluable,IEvaluable,util,,335.0
ipredicate,IPredicate,util,,383.0
ivalueproxy,IValueProxy,util,,874.0
math,math,util,,
densematrix,DenseMatrix,math,,3165.0
imatrix,IMatrix,math,,2815.0
sparsematrix,SparseMatrix,math,,3366.0
maths,Maths,util,,17705.0
orientation,Orientation,util,,1486.0
palette,palette,util,,
colorpalette,ColorPalette,palette,,6367.0
palette1,Palette,palette,,1229.0
shapepalette,ShapePalette,palette,,2059.0
sizepalette,SizePalette,palette,,2291.0
property,Property,util,,5559.0
shapes,Shapes,util,,19118.0
sort,Sort,util,,6887.0
stats,Stats,util,,6557.0
strings,Strings,util,,22026.0
vis,vis,flare,,
axis,axis,vis,,
axes,Axes,axis,,1302.0
axis1,Axis,axis,,24593.0
axisgridline,AxisGridLine,axis,,652.0
axislabel,AxisLabel,axis,,636.0
cartesianaxes,CartesianAxes,axis,,6703.0
controls,controls,vis,,
anchorcontrol,AnchorControl,controls,,2138.0
clickcontrol,ClickControl,controls,,3824.0
control,Control,controls,,1353.0
controllist,ControlList,controls,,4665.0
dragcontrol,DragControl,controls,,2649.0
expandcontrol,ExpandControl,controls,,2832.0
hovercontrol,HoverControl,controls,,4896.0
icontrol,IControl,controls,,763.0
panzoomcontrol,PanZoomControl,controls,,5222.0
selectioncontrol,SelectionControl,controls,,7862.0
tooltipcontrol,TooltipControl,controls,,8435.0
data1,data,vis,,
data2,Data,data1,,20544.0
datalist,DataList,data1,,19788.0
datasprite,DataSprite,data1,,10349.0
edgesprite,EdgeSprite,data1,,3301.0
nodesprite,NodeSprite,data1,,19382.0
render,render,data1,,
arrowtype,ArrowType,render,,698.0
edgerenderer,EdgeRenderer,render,,5569.0
irenderer,IRenderer,render,,353.0
shaperenderer,ShapeRenderer,render,,2247.0
scalebinding,ScaleBinding,data1,,11275.0
tree,Tree,data1,,7147.0
treebuilder,TreeBuilder,data1,,9930.0
events,events,vis,,
dataevent,DataEvent,events,,2313.0
selectionevent,SelectionEvent,events,,1880.0
tooltipevent,TooltipEvent,events,,1701.0
visualizationevent,VisualizationEvent,events,,1117.0
legend,legend,vis,,
legend1,Legend,legend,,20859.0
legenditem,LegendItem,legend,,4614.0
legendrange,LegendRange,legend,,10530.0
operator,operator,vis,,
distortion,distortion,operator,,
bifocaldistortion,BifocalDistortion,distortion,,4461.0
distortion1,Distortion,distortion,,6314.0
fisheyedistortion,FisheyeDistortion,distortion,,3444.0
encoder,encoder,operator,,
colorencoder,ColorEncoder,encoder,,3179.0
encoder1,Encoder,encoder,,4060.0
propertyencoder,PropertyEncoder,encoder,,4138.0
shapeencoder,ShapeEncoder,encoder,,1690.0
sizeencoder,SizeEncoder,encoder,,1830.0
filter1,filter,operator,,
fisheyetreefilter,FisheyeTreeFilter,filter1,,5219.0
graphdistancefilter,GraphDistanceFilter,filter1,,3165.0
visibilityfilter,VisibilityFilter,filter1,,3509.0
ioperator,IOperator,operator,,1286.0
label,label,operator,,
labeler,Labeler,label,,9956.0
radiallabeler,RadialLabeler,label,,3899.0
stackedarealabeler,StackedAreaLabeler,label,,3202.0
layout,layout,operator,,
axislayout,AxisLayout,layout,,6725.0
bundlededgerouter,BundledEdgeRouter,layout,,3727.0
circlelayout,CircleLayout,layout,,9317.0
circlepackinglayout,CirclePackingLayout,layout,,12003.0
dendrogramlayout,DendrogramLayout,layout,,4853.0
forcedirectedlayout,ForceDirectedLayout,layout,,8411.0
icicletreelayout,IcicleTreeLayout,layout,,4864.0
indentedtreelayout,IndentedTreeLayout,layout,,3174.0
layout1,Layout,layout,,7881.0
nodelinktreelayout,NodeLinkTreeLayout,layout,,12870.0
pielayout,PieLayout,layout,,2728.0
radialtreelayout,RadialTreeLayout,layout,,12348.0
randomlayout,RandomLayout,layout,,870.0
stackedarealayout,StackedAreaLayout,layout,,9121.0
treemaplayout,TreeMapLayout,layout,,9191.0
operator1,Operator,operator,,2490.0
operatorlist,OperatorList,operator,,5248.0
operatorsequence,OperatorSequence,operator,,4190.0
operatorswitch,OperatorSwitch,operator,,2581.0
sortoperator,SortOperator,operator,,2023.0
visualization,Visualization,vis,,16540.0
