Name,Skill,Value
Clefairy,Attack,45
Clefairy,Defense,48
Clefairy,Speed,35
Clefable,Attack,70
Clefable,Defense,73
Clefable,Speed,60
Cleffa,Attack,25
Cleffa,Defense,28
Cleffa,Speed,15
Togepi,Attack,20
Togepi,Defense,65
Togepi,Speed,20
Togetic,Attack,40
Togetic,Defense,85
Togetic,Speed,40
Snubbull,Attack,80
Snubbull,Defense,50
Snubbull,Speed,30
Granbull,Attack,120
Granbull,Defense,75
Granbull,Speed,45
Togekiss,Attack,50
Togekiss,Defense,95
Togekiss,Speed,80
Flabébé,Attack,38
Flabébé,Defense,39
Flabébé,Speed,42
Floette,Attack,45
Floette,Defense,47
Floette,Speed,52
Florges,Attack,65
Florges,Defense,68
Florges,Speed,75
Spritzee,Attack,52
Spritzee,Defense,60
Spritzee,Speed,23
Aromatisse,Attack,72
Aromatisse,Defense,72
Aromatisse,Speed,29
Swirlix,Attack,48
Swirlix,Defense,66
Swirlix,Speed,49
Slurpuff,Attack,80
Slurpuff,Defense,86
Slurpuff,Speed,72
Sylveon,Attack,65
Sylveon,Defense,65
Sylveon,Speed,60
Xerneas,Attack,131
Xerneas,Defense,95
Xerneas,Speed,99
