Name,Attribute,Value
James,Last Year,1.871959739
James,This Year,2.411021006
Joe,Last Year,2.077499513
Joe,This Year,1.871942949
Amelie,Last Year,2.477903939
Amelie,This Year,1.716645301
Yale,Last Year,2.16034911
Yale,This Year,1.996832143
Doraemon,Last Year,1.656698875
Doraemon,This Year,2.307067382
Cindy,Last Year,2.151148936
Cindy,This Year,2.295217682
David,Last Year,1.33930097
David,This Year,2.471529721
Frank,Last Year,1.992703676
Frank,This Year,2.095357617
Kim,Last Year,1.013914867
Kim,This Year,2.423075026
Ken,Last Year,2.470875915
Ken,This Year,2.409548237
Leland,Last Year,1.738920604
Leland,This Year,1.732381254
Mike,Last Year,1.486476154
Mike,This Year,1.556390866
Nick,Last Year,1.142638124
Nick,This Year,2.358515135
Oliver,Last Year,1.501901946
Oliver,This Year,2.048138303
Randy,Last Year,1.430462006
Randy,This Year,1.564438853
Andy,Last Year,2.003478357
Andy,This Year,1.760563716
Angelica,Last Year,2.442024245
Angelica,This Year,2.098024463
Zack,Last Year,2.290236325
Zack,This Year,1.828258462
Alfred,Last Year,2.305577568
Alfred,This Year,1.55842218
Edward,Last Year,1.273995371
Edward,This Year,2.223910676
