school,Attribute,Value
STANFORD,H-Index NON-PEER-PUBS,3
STANFORD,H-Index POLS16,20
HARVARD,H-Index NON-PEER-PUBS,17
HARVARD,H-Index POLS16,31
MICHIAN AA,H-Index NON-PEER-PUBS,26
MICHIAN AA,H-Index POLS16,6
COLUMBIA,H-Index NON-PEER-PUBS,4
COLUMBIA,H-Index POLS16,21
MIT,H-Index NON-PEER-PUBS,11
MIT,H-Index POLS16,49
PRINCETON,H-Index NON-PEER-PUBS,2
PRINCETON,H-Index POLS16,28
UC SAN DIEGO,H-Index NON-PEER-PUBS,10
UC SAN DIEGO,H-Index POLS16,12
YALE,H-Index NON-PEER-PUBS,18
YALE,H-Index POLS16,16
NYU,H-Index NON-PEER-PUBS,25
NYU,H-Index POLS16,9
BERKLEY,H-Index NON-PEER-PUBS,5
BERKLEY,H-Index POLS16,26
CHICAGO,H-Index NON-PEER-PUBS,8
CHICAGO,H-Index POLS16,42
WASHINGTON ST L,H-Index NON-PEER-PUBS,27
WASHINGTON ST L,H-Index POLS16,5
DUKE,H-Index NON-PEER-PUBS,28
DUKE,H-Index POLS16,4
NORTH CAROLINA CH,H-Index NON-PEER-PUBS,29
NORTH CAROLINA CH,H-Index POLS16,10
UC DAVIS,H-Index NON-PEER-PUBS,30
UC DAVIS,H-Index POLS16,3
ROCHESTER,H-Index NON-PEER-PUBS,31
ROCHESTER,H-Index POLS16,30
PENN STATE,H-Index NON-PEER-PUBS,32
PENN STATE,H-Index POLS16,8
RICE,H-Index NON-PEER-PUBS,33
RICE,H-Index POLS16,14
WISCONSIN MAD,H-Index NON-PEER-PUBS,34
WISCONSIN MAD,H-Index POLS16,33
TEXAS A&M,H-Index NON-PEER-PUBS,35
TEXAS A&M,H-Index POLS16,19
WASHINGTON,H-Index NON-PEER-PUBS,36
WASHINGTON,H-Index POLS16,23
UCLA,H-Index NON-PEER-PUBS,12
UCLA,H-Index POLS16,38
ILLINOIS,H-Index NON-PEER-PUBS,37
ILLINOIS,H-Index POLS16,13
NORTHWESTERN,H-Index NON-PEER-PUBS,38
NORTHWESTERN,H-Index POLS16,29
GEORGE WASHINGTON,H-Index NON-PEER-PUBS,6
GEORGE WASHINGTON,H-Index POLS16,41
EMORY,H-Index NON-PEER-PUBS,39
EMORY,H-Index POLS16,7
OHIO STATE,H-Index NON-PEER-PUBS,40
OHIO STATE,H-Index POLS16,17
FLORIDA STATE,H-Index NON-PEER-PUBS,41
FLORIDA STATE,H-Index POLS16,47
INDIANA,H-Index NON-PEER-PUBS,16
INDIANA,H-Index POLS16,11
MINNESOTA,H-Index NON-PEER-PUBS,23
MINNESOTA,H-Index POLS16,27
MARYLAND,H-Index NON-PEER-PUBS,19
MARYLAND,H-Index POLS16,18
BINGHAMTON,H-Index NON-PEER-PUBS,9
BINGHAMTON,H-Index POLS16,25
MICHIGAN STATE,H-Index NON-PEER-PUBS,20
MICHIGAN STATE,H-Index POLS16,40
STONY BROOK,H-Index NON-PEER-PUBS,42
STONY BROOK,H-Index POLS16,1
CORNELL,H-Index NON-PEER-PUBS,21
CORNELL,H-Index POLS16,46
PENN,H-Index NON-PEER-PUBS,15
PENN,H-Index POLS16,15
PITTSBURGH,H-Index NON-PEER-PUBS,43
PITTSBURGH,H-Index POLS16,45
VANDERBILT,H-Index NON-PEER-PUBS,44
VANDERBILT,H-Index POLS16,36
UC RIVERSIDE,H-Index NON-PEER-PUBS,45
UC RIVERSIDE,H-Index POLS16,51
TEXAS AUSTIN,H-Index NON-PEER-PUBS,22
TEXAS AUSTIN,H-Index POLS16,34
COLORADO,H-Index NON-PEER-PUBS,46
COLORADO,H-Index POLS16,2
IOWA,H-Index NON-PEER-PUBS,47
IOWA,H-Index POLS16,22
ARIZONA,H-Index NON-PEER-PUBS,48
ARIZONA,H-Index POLS16,35
BROWN,H-Index NON-PEER-PUBS,7
BROWN,H-Index POLS16,24
UC IRVINE,H-Index NON-PEER-PUBS,49
UC IRVINE,H-Index POLS16,50
NOTRE DAME,H-Index NON-PEER-PUBS,50
NOTRE DAME,H-Index POLS16,39
VIRGINIA,H-Index NON-PEER-PUBS,51
VIRGINIA,H-Index POLS16,44
UC SANTA BARBARA,H-Index NON-PEER-PUBS,14
UC SANTA BARBARA,H-Index POLS16,37
GEORGETOWN,H-Index NON-PEER-PUBS,1
GEORGETOWN,H-Index POLS16,32
OREGON,H-Index NON-PEER-PUBS,52
OREGON,H-Index POLS16,52
JOHNS HOPKINS,H-Index NON-PEER-PUBS,13
JOHNS HOPKINS,H-Index POLS16,48
SYRACUSE,H-Index NON-PEER-PUBS,24
SYRACUSE,H-Index POLS16,43
