Topic,Comparison,Attribute,Value
Thoughts & Prayers,Mentioned more by Republicans,Republican,199
Thoughts & Prayers,Mentioned more by Republicans,Democrat,114
Condemned terrorism,Mentioned more by Republicans,Republican,146
Condemned terrorism,Mentioned more by Republicans,Democrat,89
Used phrases similar to radical Islam,Mentioned more by Republicans,Republican,80
Used phrases similar to radical Islam,Mentioned more by Republicans,Democrat,3
Praised first responders,Mentioned more by Republicans,Republican,68
Praised first responders,Mentioned more by Republicans,Democrat,46
Criticized Obama administration,Mentioned more by Republicans,Republican,12
Criticized Obama administration,Mentioned more by Republicans,Democrat,0
Stated support for gun rights,Mentioned more by Republicans,Republican,9
Stated support for gun rights,Mentioned more by Republicans,Democrat,0
Addressed LGBT community,Mentioned more by Democrats,Republican,19
Addressed LGBT community,Mentioned more by Democrats,Democrat,123
Mentioned hate,Mentioned more by Democrats,Republican,24
Mentioned hate,Mentioned more by Democrats,Democrat,94
Advanced gun control,Mentioned more by Democrats,Republican,0
Advanced gun control,Mentioned more by Democrats,Democrat,79
