Product,Attribute,Value
Nail polish,Women Revenue,5376
Nail polish,Men Revenue,229
Eyebrow pencil,Women Revenue,10987
Eyebrow pencil,Men Revenue,932
Rouge,Women Revenue,7624
Rouge,Men Revenue,5221
Lipstick,Women Revenue,8814
Lipstick,Men Revenue,256
Eyeshadows,Women Revenue,8998
Eyeshadows,Men Revenue,308
Eyeliner,Women Revenue,9321
Eyeliner,Men Revenue,432
Foundation,Women Revenue,8342
Foundation,Men Revenue,701
Lip gloss,Women Revenue,6998
Lip gloss,Men Revenue,908
Mascara,Women Revenue,9261
Mascara,Men Revenue,712
Shampoo,Women Revenue,5376
Shampoo,Men Revenue,9229
Hair conditioner,Women Revenue,10987
Hair conditioner,Men Revenue,13932
Body lotion,Women Revenue,7624
Body lotion,Men Revenue,10221
Shower gel,Women Revenue,8814
Shower gel,Men Revenue,12256
Soap,Women Revenue,8998
Soap,Men Revenue,5308
Eye fresher,Women Revenue,9321
Eye fresher,Men Revenue,432
Deodorant,Women Revenue,8342
Deodorant,Men Revenue,11701
Hand cream,Women Revenue,7598
Hand cream,Men Revenue,5808
Foot cream,Women Revenue,6098
Foot cream,Men Revenue,3987
Night cream,Women Revenue,6998
Night cream,Men Revenue,847
Day cream,Women Revenue,5304
Day cream,Men Revenue,4008
Vanila cream,Women Revenue,9261
Vanila cream,Men Revenue,712
