School,Attribute,Value
Brown,Women Salary,72
Brown,Men Salary,92
NYU,Women Salary,67
NYU,Men Salary,94
Notre Dame,Women Salary,73
Notre Dame,Men Salary,100
Cornell,Women Salary,80
Cornell,Men Salary,107
Tufts,Women Salary,76
Tufts,Men Salary,112
Yale,Women Salary,79
Yale,Men Salary,114
Dartmouth,Women Salary,84
Dartmouth,Men Salary,114
Chicago,Women Salary,78
Chicago,Men Salary,118
Columbia,Women Salary,86
Columbia,Men Salary,119
Duke,Women Salary,93
Duke,Men Salary,124
Georgetown,Women Salary,94
Georgetown,Men Salary,131
Princeton,Women Salary,90
Princeton,Men Salary,137
U.Penn,Women Salary,92
U.Penn,Men Salary,141
Stanford,Women Salary,96
Stanford,Men Salary,151
MIT,Women Salary,94
MIT,Men Salary,152
Harvard,Women Salary,112
Harvard,Men Salary,165
