age,value
<10,0.123622749
<10,0.144860251
<10,0.132581228
<10,0.132114098
<10,0.130346307
<10,0.128903149
<10,0.111289176
<10,0.12001455
<10,0.112861888
<10,0.110914115
<10,0.135022061
<10,0.124840752
<10,0.144702207
<10,0.126028776
<10,0.130968781
<10,0.129309671
<10,0.138616468
<10,0.125932998
<10,0.133901246
<10,0.103730817
<10,0.124490638
<10,0.109423369
<10,0.11922015
<10,0.130548749
<10,0.133911773
<10,0.126071287
<10,0.123139641
<10,0.140075343
<10,0.130094971
<10,0.104528577
<10,0.121041033
<10,0.13274697
<10,0.117778909
<10,0.12577403
<10,0.135129224
<10,0.12279669
<10,0.137909618
<10,0.119142187
<10,0.114121842
<10,0.105621575
<10,0.12402068
<10,0.141431019
<10,0.124985167
<10,0.147760303
<10,0.17416575
<10,0.101825312
<10,0.124379249
<10,0.126646615
<10,0.112137965
<10,0.122619074
<10,0.134156277
<10,0.11033877
19-Oct,0.131949465
19-Oct,0.135611484
19-Oct,0.135650525
19-Oct,0.133801161
19-Oct,0.13375882
19-Oct,0.130137826
19-Oct,0.134054791
19-Oct,0.126088189
19-Oct,0.095268805
19-Oct,0.11693836
19-Oct,0.140757695
19-Oct,0.115697902
19-Oct,0.146445423
19-Oct,0.133522113
19-Oct,0.137428224
19-Oct,0.134767425
19-Oct,0.138734123
19-Oct,0.130522991
19-Oct,0.132087083
19-Oct,0.117130089
19-Oct,0.128312513
19-Oct,0.127907551
19-Oct,0.133614979
19-Oct,0.131061512
19-Oct,0.140950799
19-Oct,0.130854896
19-Oct,0.123407378
19-Oct,0.136934893
19-Oct,0.126890164
19-Oct,0.126172973
19-Oct,0.129396074
19-Oct,0.135721039
19-Oct,0.124157702
19-Oct,0.131819804
19-Oct,0.123707825
19-Oct,0.132067989
19-Oct,0.134761968
19-Oct,0.121876559
19-Oct,0.125783862
19-Oct,0.129811445
19-Oct,0.128065064
19-Oct,0.133225938
19-Oct,0.128722028
19-Oct,0.145068441
19-Oct,0.162502243
19-Oct,0.126708386
19-Oct,0.128209676
19-Oct,0.124811788
19-Oct,0.118383591
19-Oct,0.131233798
19-Oct,0.129556163
19-Oct,0.135929914
20-29,0.136674981
20-29,0.163768991
20-29,0.139673515
20-29,0.134647724
20-29,0.150292959
20-29,0.14563632
20-29,0.128832097
20-29,0.136465906
20-29,0.207851486
20-29,0.130318613
20-29,0.140474408
20-29,0.144542621
20-29,0.133712182
20-29,0.139261049
20-29,0.137427617
20-29,0.135021401
20-29,0.140412353
20-29,0.134592131
20-29,0.147149066
20-29,0.117569965
20-29,0.13680527
20-29,0.14406992
20-29,0.135038649
20-29,0.133597438
20-29,0.138564201
20-29,0.137256255
20-29,0.133229626
20-29,0.138548706
20-29,0.13836217
20-29,0.126217417
20-29,0.127859641
20-29,0.139148852
20-29,0.146936023
20-29,0.135827921
20-29,0.169132609
20-29,0.132523157
20-29,0.142566201
20-29,0.135248591
20-29,0.133952682
20-29,0.14573287
20-29,0.13807188
20-29,0.13717984
20-29,0.136734235
