id,x,y
Japan,Train,39400
Japan,Subway,24710
Japan,Bus,-43511
Japan,Car,96662
Japan,Boat,-14304
Japan,Moto,5636
Japan,Moped,83025
Japan,Bicycle,65088
Japan,Others,5105
France,Train,-97048
France,Subway,-78474
France,Bus,-21964
France,Car,-6382
France,Boat,4031
France,Moto,40688
France,Moped,-39459
France,Bicycle,45492
France,Others,26218
US,Train,-90004
US,Subway,75685
US,Bus,57772
US,Car,-8368
US,Boat,-61573
US,Moto,-79036
US,Moped,-56066
US,Bicycle,65313
US,Others,17891
Germany,Train,4490
Germany,Subway,27282
Germany,Bus,-37564
Germany,Car,-35331
Germany,Boat,49870
Germany,Moto,78304
Germany,Moped,83495
Germany,Bicycle,-51794
Germany,Others,-31292
Norway,Train,-67563
Norway,Subway,-16614
Norway,Bus,83843
Norway,Car,-35177
Norway,Boat,84759
Norway,Moto,-58185
Norway,Moped,36244
Norway,Bicycle,-64727
Norway,Others,-38247
Iceland,Train,-85250
Iceland,Subway,40839
Iceland,Bus,15566
Iceland,Car,-84339
Iceland,Boat,-85006
Iceland,Moto,60694
Iceland,Moped,51255
Iceland,Bicycle,32426
Iceland,Others,-16390
UK,Train,-57458
UK,Subway,-47626
UK,Bus,-156
UK,Car,61650
UK,Boat,41432
UK,Moto,-14269
UK,Moped,64421
UK,Bicycle,-57621
UK,Others,32404
Vietnam,Train,-35301
Vietnam,Subway,19795
Vietnam,Bus,-36733
Vietnam,Car,-89775
Vietnam,Boat,-35766
Vietnam,Moto,84971
Vietnam,Moped,21676
Vietnam,Bicycle,2812
Vietnam,Others,-7011
