t,n,value
A,0,16.805694090143497
B,0,87.9695932212178
C,0,39.54439978364468
D,0,68.12880236552112
E,0,68.18377253943754
F,0,92.06075571871754
G,0,19.101792097839155
H,0,99.07865705576941
I,0,11.621520692027044
J,0,88.91807812130838
A,1,93.79063912124414
B,1,16.15032231852036
C,1,2.317474627545457
D,1,20.157732030933783
E,1,11.173595997198671
F,1,30.422036483899117
G,1,34.07551079295259
H,1,82.6448057444936
I,1,16.639491086467206
J,1,5.32038158644188
A,2,63.75556607687416
B,2,55.49029263899274
C,2,10.283174711366595
D,2,64.55832948441325
E,2,49.32557052552664
F,2,6.814262757568135
G,2,80.21040718909715
H,2,23.70133253497442
I,2,70.83216033329262
J,2,54.12069575190343
A,3,67.62735335947126
B,3,25.37934069191583
C,3,8.847808628127662
D,3,54.550300444108515
E,3,92.15597468054426
F,3,19.732491057688083
G,3,42.75891427508014
H,3,25.038148459263752
I,3,9.973361571480833
J,3,53.296790359602554
A,4,61.33877099455491
B,4,95.74650378963901
C,4,57.35340094138059
D,4,83.12937854805864
E,4,49.664488119112946
F,4,37.395476750793264
G,4,3.780700694694561
H,4,69.88927000134983
I,4,28.244125239386577
J,4,89.33265349292108
A,5,40.57746879399391
B,5,87.47421934941615
C,5,15.050359002083358
D,5,43.73296008504046
E,5,10.205535000541532
F,5,89.37452515108237
G,5,6.896924194683907
H,5,62.808577233553024
I,5,44.69697191399178
J,5,28.86852748953239
A,6,51.92023214798389
B,6,94.39980074030996
C,6,11.515753354142987
D,6,83.78949045646922
E,6,63.42877225154153
F,6,67.36312921053269
G,6,85.51000156228746
H,6,56.26637817445943
I,6,47.96824679382561
J,6,91.34627595158578
A,7,31.70675943835328
B,7,56.104614926699625
C,7,41.21647733411598
D,7,65.9412182366101
E,7,99.1412310165849
F,7,75.23773413157176
G,7,10.977627397492661
H,7,22.582112499826845
I,7,14.47969678635943
J,7,1.701832959473104
A,8,50.27640620229463
B,8,87.4725861009662
C,8,19.233947172718537
D,8,56.96166153087741
E,8,31.33252788557681
F,8,39.57838587048648
G,8,62.81293135417425
H,8,68.09106375135934
I,8,29.205492341343174
J,8,97.5359572631392
A,9,35.1212372356506
B,9,36.943709794123095
C,9,23.09049649174282
D,9,75.82611625888234
E,9,28.062984293290306
F,9,89.77945298531864
G,9,88.81869620580432
H,9,1.6783000432064377
I,9,75.06939354476951
J,9,40.69914428226515
