Players,Skills / Tasks,Icon,Label,Color
Liam,Tackling,Triangle_solid,,Medium
Liam,Marking,Triangle_solid,,Medium
Liam,Passing,Triangle_solid,,Medium
Liam,Heading,Circle_solid,,High
Liam,Dribling,Square_solid,,Low
Liam,Ball Shooting,Circle_solid,,High
Liam,Decisions,Triangle_solid,,Medium
Liam,Positioning,Square_solid,,Low
Liam,Pace,Triangle_solid,,Medium
Liam,Stamina,Square_solid,,Low
Liam,Strength,Triangle_solid,,Medium
Liam,Player,,Liam (LB),
Liam,Pressing,,,Do
Liam,Hold the ball,,,Don't
Liam,Long passes,,,Don't
Liam,Short passes,,,Do
Liam,Make long shots,,,Do
Liam,Run with ball,,,Don't
Liam,Corner taker,,,Don't
Liam,Penalty taker,,,Don't
Liam,Free kicks taker,,,Don't
Noah,Tackling,Square_solid,,Low
Noah,Marking,Square_solid,,Low
Noah,Passing,Triangle_solid,,Medium
Noah,Heading,Circle_solid,,High
Noah,Dribling,Circle_solid,,High
Noah,Ball Shooting,Square_solid,,Low
Noah,Decisions,Circle_solid,,High
Noah,Positioning,Circle_solid,,High
Noah,Pace,Circle_solid,,High
Noah,Stamina,Circle_solid,,High
Noah,Strength,Triangle_solid,,Medium
Noah,Player,,Noah (RB),
Noah,Pressing,,,Don't
Noah,Hold the ball,,,Don't
Noah,Long passes,,,Do
Noah,Short passes,,,Don't
Noah,Make long shots,,,Don't
Noah,Run with ball,,,Do
Noah,Corner taker,,,Don't
Noah,Penalty taker,,,Don't
Noah,Free kicks taker,,,Don't
Oliver,Tackling,Circle_solid,,High
Oliver,Marking,Triangle_solid,,Medium
Oliver,Passing,Triangle_solid,,Medium
Oliver,Heading,Circle_solid,,High
Oliver,Dribling,Square_solid,,Low
Oliver,Ball Shooting,Square_solid,,Low
Oliver,Decisions,Triangle_solid,,Medium
Oliver,Positioning,Square_solid,,Low
Oliver,Pace,Triangle_solid,,Medium
Oliver,Stamina,Square_solid,,Low
Oliver,Strength,Triangle_solid,,Medium
Oliver,Player,,Oliver (CD),
Oliver,Pressing,,,Do
Oliver,Hold the ball,,,Don't
Oliver,Long passes,,,Don't
Oliver,Short passes,,,Do
Oliver,Make long shots,,,Don't
Oliver,Run with ball,,,Don't
Oliver,Corner taker,,,Don't
Oliver,Penalty taker,,,Don't
Oliver,Free kicks taker,,,Don't
Elijah,Tackling,Circle_solid,,High
Elijah,Marking,Circle_solid,,High
Elijah,Passing,Circle_solid,,High
Elijah,Heading,Triangle_solid,,Medium
Elijah,Dribling,Triangle_solid,,Medium
Elijah,Ball Shooting,Square_solid,,Low
Elijah,Decisions,Circle_solid,,High
Elijah,Positioning,Circle_solid,,High
Elijah,Pace,Triangle_solid,,Medium
Elijah,Stamina,Circle_solid,,High
Elijah,Strength,Square_solid,,Low
Elijah,Player,,Elijah (CD),
Elijah,Pressing,,,Do
Elijah,Hold the ball,,,Don't
Elijah,Long passes,,,Do
Elijah,Short passes,,,Do
Elijah,Make long shots,,,Don't
Elijah,Run with ball,,,Don't
Elijah,Corner taker,,,Don't
Elijah,Penalty taker,,,Don't
Elijah,Free kicks taker,,,Don't
James,Tackling,Circle_solid,,High
James,Marking,Circle_solid,,High
James,Passing,Triangle_solid,,Medium
James,Heading,Triangle_solid,,Medium
James,Dribling,Square_solid,,Low
James,Ball Shooting,Square_solid,,Low
James,Decisions,Square_solid,,Low
James,Positioning,Circle_solid,,High
James,Pace,Square_solid,,Low
James,Stamina,Circle_solid,,High
