name,Attribute,Value
AMC Ambassador Brougham,economy(mpg),13
AMC Ambassador Brougham,cylinders,8
AMC Ambassador Brougham,displacement(cc),360
AMC Ambassador Brougham,power(hp),175
AMC Ambassador DPL,economy(mpg),15
AMC Ambassador DPL,cylinders,8
AMC Ambassador DPL,displacement(cc),390
AMC Ambassador DPL,power(hp),190
AMC Ambassador SST,economy(mpg),17
AMC Ambassador SST,cylinders,8
AMC Ambassador SST,displacement(cc),304
AMC Ambassador SST,power(hp),150
AMC Concord DL 6,economy(mpg),20.2
AMC Concord DL 6,cylinders,6
AMC Concord DL 6,displacement(cc),232
AMC Concord DL 6,power(hp),90
AMC Concord DL,economy(mpg),18.1
AMC Concord DL,cylinders,6
AMC Concord DL,displacement(cc),258
AMC Concord DL,power(hp),120
AMC Concord DL,economy(mpg),23
AMC Concord DL,cylinders,4
AMC Concord DL,displacement(cc),151
AMC Concord DL,power(hp),-1
AMC Concord,economy(mpg),19.4
AMC Concord,cylinders,6
AMC Concord,displacement(cc),232
AMC Concord,power(hp),90
AMC Concord,economy(mpg),24.3
AMC Concord,cylinders,4
AMC Concord,displacement(cc),151
AMC Concord,power(hp),90
AMC Gremlin,economy(mpg),18
AMC Gremlin,cylinders,6
AMC Gremlin,displacement(cc),232
AMC Gremlin,power(hp),100
AMC Gremlin,economy(mpg),19
AMC Gremlin,cylinders,6
AMC Gremlin,displacement(cc),232
AMC Gremlin,power(hp),100
AMC Gremlin,economy(mpg),20
AMC Gremlin,cylinders,6
AMC Gremlin,displacement(cc),232
AMC Gremlin,power(hp),100
AMC Gremlin,economy(mpg),21
AMC Gremlin,cylinders,6
AMC Gremlin,displacement(cc),199
AMC Gremlin,power(hp),90
AMC Hornet Sportabout (Wagon),economy(mpg),18
AMC Hornet Sportabout (Wagon),cylinders,6
AMC Hornet Sportabout (Wagon),displacement(cc),258
AMC Hornet Sportabout (Wagon),power(hp),110
AMC Hornet,economy(mpg),18
AMC Hornet,cylinders,6
AMC Hornet,displacement(cc),199
AMC Hornet,power(hp),97
AMC Hornet,economy(mpg),18
AMC Hornet,cylinders,6
AMC Hornet,displacement(cc),232
AMC Hornet,power(hp),100
AMC Hornet,economy(mpg),19
AMC Hornet,cylinders,6
AMC Hornet,displacement(cc),232
AMC Hornet,power(hp),100
AMC Hornet,economy(mpg),22.5
AMC Hornet,cylinders,6
AMC Hornet,displacement(cc),232
AMC Hornet,power(hp),90
AMC Matador (Wagon),economy(mpg),14
AMC Matador (Wagon),cylinders,8
AMC Matador (Wagon),displacement(cc),304
AMC Matador (Wagon),power(hp),150
AMC Matador (Wagon),economy(mpg),15
AMC Matador (Wagon),cylinders,8
AMC Matador (Wagon),displacement(cc),304
AMC Matador (Wagon),power(hp),150
AMC Matador,economy(mpg),14
AMC Matador,cylinders,8
AMC Matador,displacement(cc),304
AMC Matador,power(hp),150
AMC Matador,economy(mpg),15
AMC Matador,cylinders,6
AMC Matador,displacement(cc),258
AMC Matador,power(hp),110
AMC Matador,economy(mpg),15.5
AMC Matador,cylinders,8
AMC Matador,displacement(cc),304
AMC Matador,power(hp),120
AMC Matador,economy(mpg),16
AMC Matador,cylinders,6
AMC Matador,displacement(cc),258
AMC Matador,power(hp),110
AMC Matador,economy(mpg),18
AMC Matador,cylinders,6
AMC Matador,displacement(cc),232
AMC Matador,power(hp),100
AMC Pacer D/L,economy(mpg),17.5
AMC Pacer D/L,cylinders,6
AMC Pacer D/L,displacement(cc),258
AMC Pacer D/L,power(hp),95
AMC Pacer,economy(mpg),19
AMC Pacer,cylinders,6
AMC Pacer,displacement(cc),232
AMC Pacer,power(hp),90
AMC Rebel SST (Wagon),economy(mpg),-1
AMC Rebel SST (Wagon),cylinders,8
