Movie,Attribute,Value
Avengers: Age of Ultron (2015),Fandango,4.5
Avengers: Age of Ultron (2015),IMDB,3.9
Avengers: Age of Ultron (2015),Metacritic (u),3.55
Avengers: Age of Ultron (2015),Metacritic,3.3
Avengers: Age of Ultron (2015),Rotten Tomatoes (u),4.3
Avengers: Age of Ultron (2015),Rotten Tomatoes,3.7
Cinderella (2015),Fandango,4.5
Cinderella (2015),IMDB,3.55
Cinderella (2015),Metacritic (u),3.75
Cinderella (2015),Metacritic,3.35
Cinderella (2015),Rotten Tomatoes (u),4
Cinderella (2015),Rotten Tomatoes,4.25
Ant-Man (2015),Fandango,4.5
Ant-Man (2015),IMDB,3.9
Ant-Man (2015),Metacritic (u),4.05
Ant-Man (2015),Metacritic,3.2
Ant-Man (2015),Rotten Tomatoes (u),4.5
Ant-Man (2015),Rotten Tomatoes,4
Do You Believe? (2015),Fandango,4.5
Do You Believe? (2015),IMDB,2.7
Do You Believe? (2015),Metacritic (u),2.35
Do You Believe? (2015),Metacritic,1.1
Do You Believe? (2015),Rotten Tomatoes (u),4.2
Do You Believe? (2015),Rotten Tomatoes,0.9
Hot Tub Time Machine 2 (2015),Fandango,3
Hot Tub Time Machine 2 (2015),IMDB,2.55
Hot Tub Time Machine 2 (2015),Metacritic (u),1.7
Hot Tub Time Machine 2 (2015),Metacritic,1.45
Hot Tub Time Machine 2 (2015),Rotten Tomatoes (u),1.4
Hot Tub Time Machine 2 (2015),Rotten Tomatoes,0.7
The Water Diviner (2015),Fandango,4
The Water Diviner (2015),IMDB,3.6
The Water Diviner (2015),Metacritic (u),3.4
The Water Diviner (2015),Metacritic,2.5
The Water Diviner (2015),Rotten Tomatoes (u),3.1
The Water Diviner (2015),Rotten Tomatoes,3.15
Irrational Man (2015),Fandango,3.5
Irrational Man (2015),IMDB,3.45
Irrational Man (2015),Metacritic (u),3.8
Irrational Man (2015),Metacritic,2.65
Irrational Man (2015),Rotten Tomatoes (u),2.65
Irrational Man (2015),Rotten Tomatoes,2.1
Shaun the Sheep Movie (2015),Fandango,4
Shaun the Sheep Movie (2015),IMDB,3.7
Shaun the Sheep Movie (2015),Metacritic (u),4.4
Shaun the Sheep Movie (2015),Metacritic,4.05
Shaun the Sheep Movie (2015),Rotten Tomatoes (u),4.1
Shaun the Sheep Movie (2015),Rotten Tomatoes,4.95
Love & Mercy (2015),Fandango,4
Love & Mercy (2015),IMDB,3.9
Love & Mercy (2015),Metacritic (u),4.25
Love & Mercy (2015),Metacritic,4
Love & Mercy (2015),Rotten Tomatoes (u),4.35
Love & Mercy (2015),Rotten Tomatoes,4.45
Far From The Madding Crowd (2015),Fandango,4
Far From The Madding Crowd (2015),IMDB,3.6
Far From The Madding Crowd (2015),Metacritic (u),3.75
Far From The Madding Crowd (2015),Metacritic,3.55
Far From The Madding Crowd (2015),Rotten Tomatoes (u),3.85
Far From The Madding Crowd (2015),Rotten Tomatoes,4.2
Black Sea (2015),Fandango,3.5
Black Sea (2015),IMDB,3.2
Black Sea (2015),Metacritic (u),3.3
Black Sea (2015),Metacritic,3.1
Black Sea (2015),Rotten Tomatoes (u),3
Black Sea (2015),Rotten Tomatoes,4.1
Taken 3 (2015),Fandango,4.1
Taken 3 (2015),IMDB,3.05
Taken 3 (2015),Metacritic (u),2.3
Taken 3 (2015),Metacritic,1.3
Taken 3 (2015),Rotten Tomatoes (u),2.3
Taken 3 (2015),Rotten Tomatoes,0.45
Ted 2 (2015),Fandango,4.1
Ted 2 (2015),IMDB,3.3
Ted 2 (2015),Metacritic (u),3.25
Ted 2 (2015),Metacritic,2.4
