Line,Attribute,Value
1,Training date,1.01252E+12
1, Miles for training run,5
1, Training time,2311020
1, Shoe brand,0
1, Running pace per mile,462180
1, Short or long,1
1, After 2004,0
2,Training date,1.01269E+12
2, Miles for training run,5
2, Training time,2464980
2, Shoe brand,0
2, Running pace per mile,493020
2, Short or long,1
2, After 2004,0
3,Training date,1.01286E+12
3, Miles for training run,4
3, Training time,1881000
3, Shoe brand,0
3, Running pace per mile,470280
3, Short or long,1
3, After 2004,0
4,Training date,1.01295E+12
4, Miles for training run,6
4, Training time,3232020
4, Shoe brand,0
4, Running pace per mile,538680
4, Short or long,0
4, After 2004,0
5,Training date,1.01312E+12
5, Miles for training run,4.5
5, Training time,2419020
5, Shoe brand,0
5, Running pace per mile,537540
5, Short or long,1
5, After 2004,0
6,Training date,1.01321E+12
6, Miles for training run,5
6, Training time,2391000
6, Shoe brand,0
6, Running pace per mile,478200
6, Short or long,1
6, After 2004,0
7,Training date,1.0133E+12
7, Miles for training run,4
7, Training time,2202000
7, Shoe brand,0
7, Running pace per mile,550500
7, Short or long,1
7, After 2004,0
8,Training date,1.01347E+12
8, Miles for training run,5
8, Training time,2304000
8, Shoe brand,0
8, Running pace per mile,460800
8, Short or long,1
8, After 2004,0
9,Training date,1.01355E+12
9, Miles for training run,6
9, Training time,2806020
9, Shoe brand,0
9, Running pace per mile,467640
9, Short or long,0
9, After 2004,0
10,Training date,1.01373E+12
10, Miles for training run,5
10, Training time,2401020
10, Shoe brand,0
10, Running pace per mile,480180
10, Short or long,1
10, After 2004,0
11,Training date,1.0139E+12
11, Miles for training run,5
11, Training time,2385000
11, Shoe brand,0
11, Running pace per mile,477000
11, Short or long,1
11, After 2004,0
12,Training date,1.01399E+12
12, Miles for training run,5
12, Training time,2386020
12, Shoe brand,0
12, Running pace per mile,477180
12, Short or long,1
12, After 2004,0
13,Training date,1.01407E+12
13, Miles for training run,4
13, Training time,2026020
13, Shoe brand,0
13, Running pace per mile,506520
13, Short or long,1
13, After 2004,0
14,Training date,1.01416E+12
14, Miles for training run,6
14, Training time,2851020
14, Shoe brand,0
14, Running pace per mile,475140
14, Short or long,0
14, After 2004,0
15,Training date,1.01433E+12
15, Miles for training run,5
15, Training time,2320020
15, Shoe brand,0
15, Running pace per mile,463980
15, Short or long,1
15, After 2004,0
16,Training date,1.01442E+12
16, Miles for training run,5
16, Training time,2337000
16, Shoe brand,0
16, Running pace per mile,467400
16, Short or long,1
16, After 2004,0
17,Training date,1.01451E+12
17, Miles for training run,4
17, Training time,1863000
17, Shoe brand,0
17, Running pace per mile,465780
17, Short or long,1
17, After 2004,0
18,Training date,1.01468E+12
18, Miles for training run,6
18, Training time,2758020
18, Shoe brand,0
18, Running pace per mile,459660
18, Short or long,0
18, After 2004,0
19,Training date,1.01476E+12
19, Miles for training run,6
19, Training time,2808000
19, Shoe brand,0
19, Running pace per mile,468000
19, Short or long,0
19, After 2004,0
20,Training date,1.01502E+12
20, Miles for training run,5
20, Training time,2638020
20, Shoe brand,0
20, Running pace per mile,527580
20, Short or long,1
20, After 2004,0
21,Training date,1.01511E+12
21, Miles for training run,4.5
21, Training time,2130000
21, Shoe brand,0
21, Running pace per mile,473340
21, Short or long,1
21, After 2004,0
22,Training date,1.01494E+12
22, Miles for training run,5
22, Training time,2499000
22, Shoe brand,0
22, Running pace per mile,499800
22, Short or long,1
22, After 2004,0
23,Training date,1.01502E+12
23, Miles for training run,5
23, Training time,2337000
23, Shoe brand,0
23, Running pace per mile,467400
23, Short or long,1
23, After 2004,0
24,Training date,1.01511E+12
24, Miles for training run,8
24, Training time,3853020
24, Shoe brand,0
24, Running pace per mile,481620
24, Short or long,0
24, After 2004,0
25,Training date,1.01537E+12
25, Miles for training run,5
25, Training time,2482980
25, Shoe brand,0
25, Running pace per mile,496620
25, Short or long,1
25, After 2004,0
26,Training date,1.01546E+12
26, Miles for training run,5
26, Training time,2406000
26, Shoe brand,0
26, Running pace per mile,481200
26, Short or long,1
26, After 2004,0
27,Training date,1.01563E+12
27, Miles for training run,6
27, Training time,2817000
27, Shoe brand,0
27, Running pace per mile,469500
27, Short or long,0
27, After 2004,0
28,Training date,1.01571E+12
28, Miles for training run,8
28, Training time,3777000
28, Shoe brand,0
28, Running pace per mile,472140
28, Short or long,0
28, After 2004,0
29,Training date,1.01589E+12
29, Miles for training run,4
29, Training time,1882020
29, Shoe brand,0
29, Running pace per mile,470520
29, Short or long,1
29, After 2004,0
30,Training date,1.01597E+12
30, Miles for training run,5
30, Training time,2397000
30, Shoe brand,0
30, Running pace per mile,479400
30, Short or long,1
30, After 2004,0
31,Training date,1.01606E+12
31, Miles for training run,4
31, Training time,1876980
31, Shoe brand,0
31, Running pace per mile,469260
31, Short or long,1
31, After 2004,0
32,Training date,1.01615E+12
32, Miles for training run,5
32, Training time,2472000
32, Shoe brand,0
32, Running pace per mile,494400
32, Short or long,1
32, After 2004,0
33,Training date,1.01623E+12
33, Miles for training run,5
33, Training time,2380980
33, Shoe brand,0
33, Running pace per mile,476220
33, Short or long,1
33, After 2004,0
34,Training date,1.01632E+12
34, Miles for training run,4
34, Training time,1849980
34, Shoe brand,0
34, Running pace per mile,462480
34, Short or long,1
34, After 2004,0
35,Training date,1.01649E+12
35, Miles for training run,5
35, Training time,2211000
35, Shoe brand,0
35, Running pace per mile,442200
35, Short or long,1
35, After 2004,0
36,Training date,1.01658E+12
36, Miles for training run,4
36, Training time,1864980
36, Shoe brand,0
36, Running pace per mile,466260
36, Short or long,1
36, After 2004,0
37,Training date,1.01667E+12
37, Miles for training run,5
37, Training time,2305980
37, Shoe brand,0
37, Running pace per mile,461220
37, Short or long,1
37, After 2004,0
38,Training date,1.01675E+12
38, Miles for training run,5
38, Training time,2347020
38, Shoe brand,0
38, Running pace per mile,469380
38, Short or long,1
38, After 2004,0
39,Training date,1.01684E+12
39, Miles for training run,4
39, Training time,1840020
39, Shoe brand,0
39, Running pace per mile,460020
39, Short or long,1
