Direction,Attribute,Value
N,< 0.5 m/2,7
N,0.5 - 2 m/2,8
N,2 - 4 m/2,14
N,4 - 6 m/2,6
N,6 - 8 m/2,14
N,8 - 10 m/2,6
N,>= 10 m/2,7
NNE,< 0.5 m/2,8
NNE,0.5 - 2 m/2,9
NNE,2 - 4 m/2,16
NNE,4 - 6 m/2,7
NNE,6 - 8 m/2,15
NNE,8 - 10 m/2,7
NNE,>= 10 m/2,8
NE,< 0.5 m/2,7
NE,0.5 - 2 m/2,13
NE,2 - 4 m/2,14
NE,4 - 6 m/2,6
NE,6 - 8 m/2,16
NE,8 - 10 m/2,7
NE,>= 10 m/2,6
ENE,< 0.5 m/2,12
ENE,0.5 - 2 m/2,18
ENE,2 - 4 m/2,24
ENE,4 - 6 m/2,11
ENE,6 - 8 m/2,23
ENE,8 - 10 m/2,12
ENE,>= 10 m/2,14
E,< 0.5 m/2,15
E,0.5 - 2 m/2,28
E,2 - 4 m/2,28
E,4 - 6 m/2,13
E,6 - 8 m/2,26
E,8 - 10 m/2,11
E,>= 10 m/2,13
ESE,< 0.5 m/2,26
ESE,0.5 - 2 m/2,35
ESE,2 - 4 m/2,34
ESE,4 - 6 m/2,25
ESE,6 - 8 m/2,33
ESE,8 - 10 m/2,23
ESE,>= 10 m/2,24
SE,< 0.5 m/2,25
SE,0.5 - 2 m/2,32
SE,2 - 4 m/2,33
SE,4 - 6 m/2,24
SE,6 - 8 m/2,33
SE,8 - 10 m/2,22
SE,>= 10 m/2,27
SSE,< 0.5 m/2,22
SSE,0.5 - 2 m/2,33
SSE,2 - 4 m/2,32
SSE,4 - 6 m/2,21
SSE,6 - 8 m/2,22
SSE,8 - 10 m/2,23
SSE,>= 10 m/2,21
S,< 0.5 m/2,18
S,0.5 - 2 m/2,28
S,2 - 4 m/2,28
S,4 - 6 m/2,17
S,6 - 8 m/2,27
S,8 - 10 m/2,18
S,>= 10 m/2,17
SSW,< 0.5 m/2,16
SSW,0.5 - 2 m/2,26
SSW,2 - 4 m/2,24
SSW,4 - 6 m/2,15
SSW,6 - 8 m/2,22
SSW,8 - 10 m/2,14
SSW,>= 10 m/2,13
SW,< 0.5 m/2,13
SW,0.5 - 2 m/2,22
SW,2 - 4 m/2,22
SW,4 - 6 m/2,12
SW,6 - 8 m/2,18
SW,8 - 10 m/2,11
SW,>= 10 m/2,15
WSW,< 0.5 m/2,12
WSW,0.5 - 2 m/2,20
WSW,2 - 4 m/2,19
WSW,4 - 6 m/2,11
WSW,6 - 8 m/2,16
WSW,8 - 10 m/2,12
WSW,>= 10 m/2,14
W,< 0.5 m/2,10
W,0.5 - 2 m/2,16
W,2 - 4 m/2,14
W,4 - 6 m/2,9
W,6 - 8 m/2,13
W,8 - 10 m/2,10
W,>= 10 m/2,11
WNW,< 0.5 m/2,8
WNW,0.5 - 2 m/2,13
WNW,2 - 4 m/2,12
WNW,4 - 6 m/2,7
WNW,6 - 8 m/2,13
WNW,8 - 10 m/2,8
WNW,>= 10 m/2,9
NW,< 0.5 m/2,9
NW,0.5 - 2 m/2,14
NW,2 - 4 m/2,13
NW,4 - 6 m/2,8
NW,6 - 8 m/2,11
NW,8 - 10 m/2,7
NW,>= 10 m/2,10
NNW,< 0.5 m/2,7
NNW,0.5 - 2 m/2,12
NNW,2 - 4 m/2,11
NNW,4 - 6 m/2,6
NNW,6 - 8 m/2,9
NNW,8 - 10 m/2,8
NNW,>= 10 m/2,8
