Category,Attribute,Value
"Norway <span class=f16""><span id=""flag"" class=""flag no""></span></span>""",Gold medals,148
"Norway <span class=f16""><span id=""flag"" class=""flag no""></span></span>""",Silver medals,113
"Norway <span class=f16""><span id=""flag"" class=""flag no""></span></span>""",Bronze medals,124
"United States <span class=f16""><span id=""flag"" class=""flag us""></span></span>""",Gold medals,113
"United States <span class=f16""><span id=""flag"" class=""flag us""></span></span>""",Silver medals,122
"United States <span class=f16""><span id=""flag"" class=""flag us""></span></span>""",Bronze medals,95
"Germany <span class=f16""><span id=""flag"" class=""flag de""></span></span>""",Gold medals,104
"Germany <span class=f16""><span id=""flag"" class=""flag de""></span></span>""",Silver medals,98
"Germany <span class=f16""><span id=""flag"" class=""flag de""></span></span>""",Bronze medals,65
"Austria <span class=f16""><span id=""flag"" class=""flag at""></span></span>""",Gold medals,71
"Austria <span class=f16""><span id=""flag"" class=""flag at""></span></span>""",Silver medals,88
"Austria <span class=f16""><span id=""flag"" class=""flag at""></span></span>""",Bronze medals,91
"Canada <span class=f16""><span id=""flag"" class=""flag ca""></span></span>""",Gold medals,77
"Canada <span class=f16""><span id=""flag"" class=""flag ca""></span></span>""",Silver medals,72
"Canada <span class=f16""><span id=""flag"" class=""flag ca""></span></span>""",Bronze medals,76
