date,Attribute,Value
1/1/2015 0:00,meanTemp,28
1/1/2015 0:00,maxTemp,33
1/1/2015 0:00,minTemp,22
1/2/2015 0:00,meanTemp,36
1/2/2015 0:00,maxTemp,41
1/2/2015 0:00,minTemp,31
1/3/2015 0:00,meanTemp,30
1/3/2015 0:00,maxTemp,37
1/3/2015 0:00,minTemp,22
1/4/2015 0:00,meanTemp,44
1/4/2015 0:00,maxTemp,52
1/4/2015 0:00,minTemp,35
1/5/2015 0:00,meanTemp,34
1/5/2015 0:00,maxTemp,50
1/5/2015 0:00,minTemp,17
1/6/2015 0:00,meanTemp,17
1/6/2015 0:00,maxTemp,18
1/6/2015 0:00,minTemp,15
1/7/2015 0:00,meanTemp,15
1/7/2015 0:00,maxTemp,26
1/7/2015 0:00,minTemp,4
1/8/2015 0:00,meanTemp,9
1/8/2015 0:00,maxTemp,19
1/8/2015 0:00,minTemp,-1
1/9/2015 0:00,meanTemp,25
1/9/2015 0:00,maxTemp,30
1/9/2015 0:00,minTemp,19
1/10/2015 0:00,meanTemp,21
1/10/2015 0:00,maxTemp,24
1/10/2015 0:00,minTemp,17
1/11/2015 0:00,meanTemp,24
1/11/2015 0:00,maxTemp,33
1/11/2015 0:00,minTemp,15
1/12/2015 0:00,meanTemp,36
1/12/2015 0:00,maxTemp,38
1/12/2015 0:00,minTemp,33
1/13/2015 0:00,meanTemp,25
1/13/2015 0:00,maxTemp,35
1/13/2015 0:00,minTemp,15
1/14/2015 0:00,meanTemp,20
1/14/2015 0:00,maxTemp,25
1/14/2015 0:00,minTemp,14
1/15/2015 0:00,meanTemp,28
1/15/2015 0:00,maxTemp,31
1/15/2015 0:00,minTemp,25
1/16/2015 0:00,meanTemp,27
1/16/2015 0:00,maxTemp,38
1/16/2015 0:00,minTemp,15
1/17/2015 0:00,meanTemp,16
1/17/2015 0:00,maxTemp,22
1/17/2015 0:00,minTemp,9
1/18/2015 0:00,meanTemp,36
1/18/2015 0:00,maxTemp,51
1/18/2015 0:00,minTemp,20
1/19/2015 0:00,meanTemp,39
1/19/2015 0:00,maxTemp,46
1/19/2015 0:00,minTemp,32
1/20/2015 0:00,meanTemp,33
1/20/2015 0:00,maxTemp,39
1/20/2015 0:00,minTemp,27
1/21/2015 0:00,meanTemp,28
1/21/2015 0:00,maxTemp,34
1/21/2015 0:00,minTemp,22
1/22/2015 0:00,meanTemp,33
1/22/2015 0:00,maxTemp,37
1/22/2015 0:00,minTemp,29
1/23/2015 0:00,meanTemp,31
