Location,Month,Attribute,Value
London,Jan,Min,5.8
London,Jan,Max,7.9
London,Feb,Min,4.6
London,Feb,Max,6.1
London,Mar,Min,5.9
London,Mar,Max,8.1
London,Apr,Min,7.8
London,Apr,Max,10.7
London,May,Min,10.5
London,May,Max,13.7
London,June,Min,13.8
London,June,Max,17
London,July,Min,16.5
London,July,Max,18.5
London,Aug,Min,17.8
London,Aug,Max,19
London,Sep,Min,15.4
London,Sep,Max,17.8
London,Oct,Min,12.7
London,Oct,Max,15.3
London,Nov,Min,9.8
London,Nov,Max,13
London,Dec,Min,9
London,Dec,Max,10.1
Edinburgh,Jan,Min,6.1
Edinburgh,Jan,Max,8.9
Edinburgh,Feb,Min,5.5
Edinburgh,Feb,Max,8.2
Edinburgh,Mar,Min,5.9
Edinburgh,Mar,Max,8.1
Edinburgh,Apr,Min,7.1
Edinburgh,Apr,Max,9.8
Edinburgh,May,Min,8.3
Edinburgh,May,Max,10.7
Edinburgh,June,Min,10.7
Edinburgh,June,Max,14.5
Edinburgh,July,Min,12.3
Edinburgh,July,Max,16.7
Edinburgh,Aug,Min,14
Edinburgh,Aug,Max,16.3
Edinburgh,Sep,Min,13.7
Edinburgh,Sep,Max,15.3
Edinburgh,Oct,Min,12.3
Edinburgh,Oct,Max,14.4
Edinburgh,Nov,Min,10.7
Edinburgh,Nov,Max,12.9
Edinburgh,Dec,Min,8.2
Edinburgh,Dec,Max,11.1
