Day hours,Attribute,Value
0,Min,232
0,Max,542
1,Min,393
1,Max,522
2,Min,368
2,Max,602
3,Min,429
3,Max,612
4,Min,194
4,Max,1052
5,Min,379
5,Max,639
6,Min,332
6,Max,712
7,Min,457
7,Max,622
8,Min,493
8,Max,692
9,Min,468
9,Max,802
10,Min,419
10,Max,612
11,Min,194
11,Max,1052
12,Min,579
12,Max,839
13,Min,532
13,Max,812
14,Min,579
14,Max,839
15,Min,532
15,Max,812
16,Min,557
16,Max,922
17,Min,593
17,Max,822
18,Min,668
18,Max,902
19,Min,619
19,Max,712
20,Min,694
20,Max,952
21,Min,679
21,Max,1039
22,Min,632
22,Max,912
23,Min,432
23,Max,712
