date,value,,,,,,,,,,,,
2008-01-01T05:00Z,475197,,,,,,,,,,,,
2008-02-01T05:00Z,531397,,,,,,,,,,,,
2008-03-01T05:00Z,492336,,,,,,,,,,,,
2008-04-01T04:00Z,579869,,,,,,,,,,,,
2008-05-01T04:00Z,444537,,,,,,,,,,,,
2008-06-01T04:00Z,516609,,,,,,,,,,,,
2008-07-01T04:00Z,434801,,,,,,,,,,,,
2008-08-01T04:00Z,340288,,,,,,,,,,,,
2008-09-01T04:00Z,535893,,,,,,,,,,,,
2008-10-01T04:00Z,448565,,,,,,,,,,,,
2008-11-01T04:00Z,452590,,,,,,,,,,,,
2008-12-01T05:00Z,279948,,,,,,,,,,,,
2009-01-01T05:00Z,310113,,,,,,,,,,,,
2009-02-01T05:00Z,297921,,,,,,,,,,,,
2009-03-01T05:00Z,435693,,,,,,,,,,,,
2009-04-01T04:00Z,373308,,,,,,,,,,,,
2009-05-01T04:00Z,427239,,,,,,,,,,,,
2009-06-01T04:00Z,478133,,,,,,,,,,,,
2009-07-01T04:00Z,410321,,,,,,,,,,,,
2009-08-01T04:00Z,325060,,,,,,,,,,,,
2009-09-01T04:00Z,553205,,,,,,,,,,,,
2009-10-01T04:00Z,508450,,,,,,,,,,,,
2009-11-01T04:00Z,493851,,,,,,,,,,,,
2009-12-01T05:00Z,351229,,,,,,,,,,,,
2010-01-01T05:00Z,376937,,,,,,,,,,,,
2010-02-01T05:00Z,450355,,,,,,,,,,,,
2010-03-01T05:00Z,560055,,,,,,,,,,,,
2010-04-01T04:00Z,464591,,,,,,,,,,,,
2010-05-01T04:00Z,470130,,,,,,,,,,,,
2010-06-01T04:00Z,528820,,,,,,,,,,,,
2010-07-01T04:00Z,392553,,,,,,,,,,,,
2010-08-01T04:00Z,335748,,,,,,,,,,,,
2010-09-01T04:00Z,536468,,,,,,,,,,,,
2010-10-01T04:00Z,502507,,,,,,,,,,,,
2010-11-01T04:00Z,519765,,,,,,,,,,,,
2010-12-01T05:00Z,414480,,,,,,,,,,,,
2011-01-01T05:00Z,398078,,,,,,,,,,,,
2011-02-01T05:00Z,519342,,,,,,,,,,,,
2011-03-01T05:00Z,583399,,,,,,,,,,,,
2011-04-01T04:00Z,470463,,,,,,,,,,,,
2011-05-01T04:00Z,563015,,,,,,,,,,,,
2011-06-01T04:00Z,456548,,,,,,,,,,,,
2011-07-01T04:00Z,462005,,,,,,,,,,,,
2011-08-01T04:00Z,396706,,,,,,,,,,,,
2011-09-01T04:00Z,562504,,,,,,,,,,,,
2011-10-01T04:00Z,502897,,,,,,,,,,,,
2011-11-01T04:00Z,546272,,,,,,,,,,,,
2011-12-01T05:00Z,410689,,,,,,,,,,,,
2012-01-01T05:00Z,443510,,,,,,,,,,,,
2012-02-01T05:00Z,508798,,,,,,,,,,,,
2012-03-01T05:00Z,546169,,,,,,,,,,,,
