category,Attribute,Value
2/10/2017,South,10
2/10/2017,North,15
2/10/2017,Central,12
2/11/2017,South,36
2/11/2017,North,19
2/11/2017,Central,11
2/12/2017,South,47
2/12/2017,North,18
2/12/2017,Central,12
2/13/2017,South,23
2/13/2017,North,10
2/13/2017,Central,13
2/14/2017,South,29
2/14/2017,North,15
2/14/2017,Central,12
2/15/2017,South,20
2/15/2017,North,11
2/15/2017,Central,10
2/16/2017,South,59
2/16/2017,North,19
2/16/2017,Central,13
2/17/2017,South,36
2/17/2017,North,15
2/17/2017,Central,10
2/18/2017,South,37
2/18/2017,North,15
2/18/2017,Central,12
2/19/2017,South,23
2/19/2017,North,14
2/19/2017,Central,11
2/20/2017,South,15
2/20/2017,North,12
2/20/2017,Central,11
2/21/2017,South,51
2/21/2017,North,10
2/21/2017,Central,10
2/22/2017,South,55
2/22/2017,North,10
2/22/2017,Central,15
2/23/2017,South,33
2/23/2017,North,20
2/23/2017,Central,13
2/24/2017,South,22
2/24/2017,North,20
2/24/2017,Central,10
2/25/2017,South,22
2/25/2017,North,18
2/25/2017,Central,15
2/26/2017,South,19
2/26/2017,North,16
2/26/2017,Central,12
2/27/2017,South,26
2/27/2017,North,18
2/27/2017,Central,14
2/28/2017,South,15
2/28/2017,North,16
2/28/2017,Central,11
3/1/2017,South,51
3/1/2017,North,13
3/1/2017,Central,13
