Year,Attribute,Value
1816,% of the world population living in a Democracy,0.870629887
1816,Colony,38.01701265
1816,Country in Transition or no Data,11.18260433
1816,"Open Anocracy (e.g. Russia, Singapore)",0
1816,"Closed Anocracy (e.g. Egypt, Rwanda)",4.344611858
1816,Dictatorship / Monarchy,45.58514128
1817,% of the world population living in a Democracy,0.883268995
1817,Colony,37.84645348
1817,Country in Transition or no Data,11.23899438
1817,"Open Anocracy (e.g. Russia, Singapore)",0
1817,"Closed Anocracy (e.g. Egypt, Rwanda)",4.354131801
1817,Dictatorship / Monarchy,45.67715134
1818,% of the world population living in a Democracy,0.896059484
1818,Colony,37.9889779
1818,Country in Transition or no Data,10.91154247
1818,"Open Anocracy (e.g. Russia, Singapore)",0
1818,"Closed Anocracy (e.g. Egypt, Rwanda)",4.435613492
1818,Dictatorship / Monarchy,45.76780665
1819,% of the world population living in a Democracy,0.9090041
1819,Colony,37.88759565
1819,Country in Transition or no Data,10.90148311
1819,"Open Anocracy (e.g. Russia, Singapore)",0
1819,"Closed Anocracy (e.g. Egypt, Rwanda)",4.444779707
1819,Dictatorship / Monarchy,45.85713743
1820,% of the world population living in a Democracy,0.922105181
1820,Colony,37.71863254
1820,Country in Transition or no Data,10.58861174
1820,"Open Anocracy (e.g. Russia, Singapore)",0
1820,"Closed Anocracy (e.g. Egypt, Rwanda)",5.952803519
1820,Dictatorship / Monarchy,44.81784702
1821,% of the world population living in a Democracy,0.946882707
1821,Colony,37.16363729
1821,Country in Transition or no Data,10.8907796
1821,"Open Anocracy (e.g. Russia, Singapore)",0
1821,"Closed Anocracy (e.g. Egypt, Rwanda)",6.099444633
1821,Dictatorship / Monarchy,44.89925576
1822,% of the world population living in a Democracy,0.97210594
1822,Colony,36.75961907
1822,Country in Transition or no Data,10.55466304
1822,"Open Anocracy (e.g. Russia, Singapore)",0
1822,"Closed Anocracy (e.g. Egypt, Rwanda)",6.733352399
1822,Dictatorship / Monarchy,44.98025956
1823,% of the world population living in a Democracy,0.996942579
1823,Colony,36.77595866
1823,Country in Transition or no Data,10.40761115
1823,"Open Anocracy (e.g. Russia, Singapore)",0
1823,"Closed Anocracy (e.g. Egypt, Rwanda)",5.624702104
1823,Dictatorship / Monarchy,46.19478551
1824,% of the world population living in a Democracy,1.021486188
1824,Colony,36.68931179
1824,Country in Transition or no Data,9.929111389
1824,"Open Anocracy (e.g. Russia, Singapore)",0
1824,"Closed Anocracy (e.g. Egypt, Rwanda)",5.647591265
1824,Dictatorship / Monarchy,46.71249937
1825,% of the world population living in a Democracy,1.045738243
1825,Colony,36.70438145
1825,Country in Transition or no Data,9.623422055
1825,"Open Anocracy (e.g. Russia, Singapore)",0
1825,"Closed Anocracy (e.g. Egypt, Rwanda)",5.827431408
1825,Dictatorship / Monarchy,46.79902684
1826,% of the world population living in a Democracy,1.069700279
1826,Colony,36.71846975
1826,Country in Transition or no Data,9.479640724
1826,"Open Anocracy (e.g. Russia, Singapore)",0.128413461
1826,"Closed Anocracy (e.g. Egypt, Rwanda)",5.719872061
1826,Dictatorship / Monarchy,46.88390372
1827,% of the world population living in a Democracy,1.093115722
1827,Colony,36.52182351
1827,Country in Transition or no Data,9.331833986
1827,"Open Anocracy (e.g. Russia, Singapore)",0.129560157
1827,"Closed Anocracy (e.g. Egypt, Rwanda)",5.957626462
1827,Dictatorship / Monarchy,46.96604017
1828,% of the world population living in a Democracy,1.116850876
1828,Colony,36.52835662
1828,Country in Transition or no Data,9.200786866
1828,"Open Anocracy (e.g. Russia, Singapore)",0.130714251
1828,"Closed Anocracy (e.g. Egypt, Rwanda)",5.976555688
1828,Dictatorship / Monarchy,47.0467357
1829,% of the world population living in a Democracy,1.139954048
1829,Colony,36.46455351
1829,Country in Transition or no Data,9.142338876
1829,"Open Anocracy (e.g. Russia, Singapore)",0.131876049
1829,"Closed Anocracy (e.g. Egypt, Rwanda)",5.995303475
1829,Dictatorship / Monarchy,47.12597404
1830,% of the world population living in a Democracy,1.163481131
1830,Colony,35.88884875
1830,Country in Transition or no Data,8.925180391
1830,"Open Anocracy (e.g. Russia, Singapore)",0.133045657
1830,"Closed Anocracy (e.g. Egypt, Rwanda)",6.479211331
1830,Dictatorship / Monarchy,47.41023274
1831,% of the world population living in a Democracy,1.194094018
1831,Colony,35.89650624
1831,Country in Transition or no Data,9.018963551
1831,"Open Anocracy (e.g. Russia, Singapore)",0.134223302
1831,"Closed Anocracy (e.g. Egypt, Rwanda)",6.496342657
1831,Dictatorship / Monarchy,47.25987023
1832,% of the world population living in a Democracy,1.224434464
1832,Colony,35.90203287
1832,Country in Transition or no Data,8.986680248
1832,"Open Anocracy (e.g. Russia, Singapore)",0.265478479
1832,"Closed Anocracy (e.g. Egypt, Rwanda)",6.512639679
1832,Dictatorship / Monarchy,47.10873426
1833,% of the world population living in a Democracy,1.254330538
1833,Colony,35.90812507
1833,Country in Transition or no Data,9.084534092
1833,"Open Anocracy (e.g. Russia, Singapore)",0.268344076
1833,"Closed Anocracy (e.g. Egypt, Rwanda)",6.525432976
1833,Dictatorship / Monarchy,46.95923325
1834,% of the world population living in a Democracy,1.283872905
1834,Colony,35.91344059
1834,Country in Transition or no Data,9.188447593
1834,"Open Anocracy (e.g. Russia, Singapore)",0.271238204
1834,"Closed Anocracy (e.g. Egypt, Rwanda)",6.531853781
1834,Dictatorship / Monarchy,46.81114692
1835,% of the world population living in a Democracy,1.313151003
1835,Colony,35.91865125
1835,Country in Transition or no Data,9.275053861
1835,"Open Anocracy (e.g. Russia, Singapore)",0.135142427
