Period,Attribute,Value
Q2 2014,Americas,17.982
Q2 2014,Europe,10.941
Q2 2014,Greater China,9.835
Q2 2014,Japan,4.047
Q2 2014,Rest of Asia Pacific,2.841
Q3 2014,Americas,17.574
Q3 2014,Europe,8.659
Q3 2014,Greater China,6.23
Q3 2014,Japan,2.627
Q3 2014,Rest of Asia Pacific,2.242
Q4 2014,Americas,19.75
Q4 2014,Europe,10.35
Q4 2014,Greater China,6.292
Q4 2014,Japan,3.595
Q4 2014,Rest of Asia Pacific,2.136
Q1 2015,Americas,30.6
Q1 2015,Europe,17.2
Q1 2015,Greater China,16.1
Q1 2015,Japan,5.4
Q1 2015,Rest of Asia Pacific,5.2
Q2 2015,Americas,21.316
Q2 2015,Europe,12.204
Q2 2015,Greater China,16.823
Q2 2015,Japan,3.457
Q2 2015,Rest of Asia Pacific,4.21
Q3 2015,Americas,20.209
Q3 2015,Europe,10.342
Q3 2015,Greater China,13.23
Q3 2015,Japan,2.872
Q3 2015,Rest of Asia Pacific,2.959
Q4 2015,Americas,21.773
Q4 2015,Europe,10.577
Q4 2015,Greater China,12.518
Q4 2015,Japan,3.929
Q4 2015,Rest of Asia Pacific,2.704
Q1 2016,Americas,29.3
Q1 2016,Europe,17.9
Q1 2016,Greater China,18.4
Q1 2016,Japan,4.8
Q1 2016,Rest of Asia Pacific,5.4
