date,Attribute,Value
1/1/2000 0:00,Wholesale and Retail Trade,1000
1/1/2000 0:00,Manufacturing,734
1/1/2000 0:00,Leisure and hospitality,782
1/1/2000 0:00,Business services,655
1/1/2000 0:00,Construction,745
1/1/2000 0:00,Education and Health,353
1/1/2000 0:00,Government,430
1/1/2000 0:00,Finance,228
1/1/2000 0:00,Self-employed,239
1/1/2000 0:00,Other,274
1/1/2000 0:00,Transportation and Utilities,236
1/1/2000 0:00,Information,125
1/1/2000 0:00,Agriculture,154
1/1/2000 0:00,Mining and Extraction,19
2/1/2000 0:00,Wholesale and Retail Trade,1023
2/1/2000 0:00,Manufacturing,694
2/1/2000 0:00,Leisure and hospitality,779
2/1/2000 0:00,Business services,587
2/1/2000 0:00,Construction,812
2/1/2000 0:00,Education and Health,349
2/1/2000 0:00,Government,409
2/1/2000 0:00,Finance,240
2/1/2000 0:00,Self-employed,262
2/1/2000 0:00,Other,232
2/1/2000 0:00,Transportation and Utilities,223
2/1/2000 0:00,Information,112
2/1/2000 0:00,Agriculture,173
2/1/2000 0:00,Mining and Extraction,25
3/1/2000 0:00,Wholesale and Retail Trade,983
3/1/2000 0:00,Manufacturing,739
3/1/2000 0:00,Leisure and hospitality,789
3/1/2000 0:00,Business services,623
3/1/2000 0:00,Construction,669
3/1/2000 0:00,Education and Health,381
3/1/2000 0:00,Government,311
3/1/2000 0:00,Finance,226
3/1/2000 0:00,Self-employed,213
3/1/2000 0:00,Other,247
3/1/2000 0:00,Transportation and Utilities,192
3/1/2000 0:00,Information,140
3/1/2000 0:00,Agriculture,152
3/1/2000 0:00,Mining and Extraction,17
4/1/2000 0:00,Wholesale and Retail Trade,793
4/1/2000 0:00,Manufacturing,736
4/1/2000 0:00,Leisure and hospitality,658
4/1/2000 0:00,Business services,517
4/1/2000 0:00,Construction,447
4/1/2000 0:00,Education and Health,329
4/1/2000 0:00,Government,269
4/1/2000 0:00,Finance,197
4/1/2000 0:00,Self-employed,218
4/1/2000 0:00,Other,240
4/1/2000 0:00,Transportation and Utilities,191
4/1/2000 0:00,Information,95
4/1/2000 0:00,Agriculture,135
4/1/2000 0:00,Mining and Extraction,20
5/1/2000 0:00,Wholesale and Retail Trade,821
5/1/2000 0:00,Manufacturing,685
5/1/2000 0:00,Leisure and hospitality,675
5/1/2000 0:00,Business services,561
5/1/2000 0:00,Construction,397
5/1/2000 0:00,Education and Health,423
5/1/2000 0:00,Government,370
5/1/2000 0:00,Finance,195
5/1/2000 0:00,Self-employed,206
5/1/2000 0:00,Other,254
5/1/2000 0:00,Transportation and Utilities,190
5/1/2000 0:00,Information,131
5/1/2000 0:00,Agriculture,73
5/1/2000 0:00,Mining and Extraction,27
6/1/2000 0:00,Wholesale and Retail Trade,837
6/1/2000 0:00,Manufacturing,621
6/1/2000 0:00,Leisure and hospitality,833
6/1/2000 0:00,Business services,545
6/1/2000 0:00,Construction,389
6/1/2000 0:00,Education and Health,452
6/1/2000 0:00,Government,603
6/1/2000 0:00,Finance,216
6/1/2000 0:00,Self-employed,188
6/1/2000 0:00,Other,225
6/1/2000 0:00,Transportation and Utilities,183
6/1/2000 0:00,Information,102
6/1/2000 0:00,Agriculture,109
6/1/2000 0:00,Mining and Extraction,13
7/1/2000 0:00,Wholesale and Retail Trade,792
7/1/2000 0:00,Manufacturing,708
7/1/2000 0:00,Leisure and hospitality,786
7/1/2000 0:00,Business services,636
7/1/2000 0:00,Construction,384
7/1/2000 0:00,Education and Health,478
7/1/2000 0:00,Government,545
7/1/2000 0:00,Finance,190
7/1/2000 0:00,Self-employed,222
7/1/2000 0:00,Other,202
7/1/2000 0:00,Transportation and Utilities,228
7/1/2000 0:00,Information,144
7/1/2000 0:00,Agriculture,77
7/1/2000 0:00,Mining and Extraction,16
8/1/2000 0:00,Wholesale and Retail Trade,853
8/1/2000 0:00,Manufacturing,685
8/1/2000 0:00,Leisure and hospitality,675
8/1/2000 0:00,Business services,584
8/1/2000 0:00,Construction,446
8/1/2000 0:00,Education and Health,450
8/1/2000 0:00,Government,583
8/1/2000 0:00,Finance,213
8/1/2000 0:00,Self-employed,186
8/1/2000 0:00,Other,187
8/1/2000 0:00,Transportation and Utilities,198
8/1/2000 0:00,Information,143
8/1/2000 0:00,Agriculture,110
8/1/2000 0:00,Mining and Extraction,23
9/1/2000 0:00,Wholesale and Retail Trade,791
9/1/2000 0:00,Manufacturing,667
9/1/2000 0:00,Leisure and hospitality,636
9/1/2000 0:00,Business services,559
9/1/2000 0:00,Construction,386
9/1/2000 0:00,Education and Health,398
9/1/2000 0:00,Government,408
9/1/2000 0:00,Finance,187
9/1/2000 0:00,Self-employed,213
9/1/2000 0:00,Other,220
9/1/2000 0:00,Transportation and Utilities,231
9/1/2000 0:00,Information,130
9/1/2000 0:00,Agriculture,124
9/1/2000 0:00,Mining and Extraction,25
10/1/2000 0:00,Wholesale and Retail Trade,739
10/1/2000 0:00,Manufacturing,693
10/1/2000 0:00,Leisure and hospitality,691
10/1/2000 0:00,Business services,504
10/1/2000 0:00,Construction,417
10/1/2000 0:00,Education and Health,339
10/1/2000 0:00,Government,391
10/1/2000 0:00,Finance,224
10/1/2000 0:00,Self-employed,226
10/1/2000 0:00,Other,161
10/1/2000 0:00,Transportation and Utilities,153
10/1/2000 0:00,Information,96
10/1/2000 0:00,Agriculture,113
10/1/2000 0:00,Mining and Extraction,39
11/1/2000 0:00,Wholesale and Retail Trade,701
11/1/2000 0:00,Manufacturing,672
11/1/2000 0:00,Leisure and hospitality,694
11/1/2000 0:00,Business services,547
11/1/2000 0:00,Construction,482
11/1/2000 0:00,Education and Health,351
11/1/2000 0:00,Government,384
11/1/2000 0:00,Finance,184
11/1/2000 0:00,Self-employed,273
11/1/2000 0:00,Other,217
11/1/2000 0:00,Transportation and Utilities,129
11/1/2000 0:00,Information,117
11/1/2000 0:00,Agriculture,192
11/1/2000 0:00,Mining and Extraction,11
12/1/2000 0:00,Wholesale and Retail Trade,715
12/1/2000 0:00,Manufacturing,653
12/1/2000 0:00,Leisure and hospitality,639
12/1/2000 0:00,Business services,564
12/1/2000 0:00,Construction,580
12/1/2000 0:00,Education and Health,293
12/1/2000 0:00,Government,365
12/1/2000 0:00,Finance,200
12/1/2000 0:00,Self-employed,178
12/1/2000 0:00,Other,167
12/1/2000 0:00,Transportation and Utilities,168
12/1/2000 0:00,Information,151
12/1/2000 0:00,Agriculture,196
12/1/2000 0:00,Mining and Extraction,20
1/1/2001 0:00,Wholesale and Retail Trade,908
1/1/2001 0:00,Manufacturing,911
1/1/2001 0:00,Leisure and hospitality,806
1/1/2001 0:00,Business services,734
1/1/2001 0:00,Construction,836
1/1/2001 0:00,Education and Health,428
1/1/2001 0:00,Government,463
1/1/2001 0:00,Finance,232
1/1/2001 0:00,Self-employed,194
1/1/2001 0:00,Other,197
1/1/2001 0:00,Transportation and Utilities,194
1/1/2001 0:00,Information,161
1/1/2001 0:00,Agriculture,188
1/1/2001 0:00,Mining and Extraction,11
2/1/2001 0:00,Wholesale and Retail Trade,990
2/1/2001 0:00,Manufacturing,902
2/1/2001 0:00,Leisure and hospitality,821
2/1/2001 0:00,Business services,724
2/1/2001 0:00,Construction,826
2/1/2001 0:00,Education and Health,423
2/1/2001 0:00,Government,298
2/1/2001 0:00,Finance,235
2/1/2001 0:00,Self-employed,209
2/1/2001 0:00,Other,243
2/1/2001 0:00,Transportation and Utilities,189
2/1/2001 0:00,Information,109
2/1/2001 0:00,Agriculture,193
2/1/2001 0:00,Mining and Extraction,27
3/1/2001 0:00,Wholesale and Retail Trade,1037
3/1/2001 0:00,Manufacturing,954
3/1/2001 0:00,Leisure and hospitality,817
3/1/2001 0:00,Business services,652
3/1/2001 0:00,Construction,683
3/1/2001 0:00,Education and Health,456
3/1/2001 0:00,Government,355
3/1/2001 0:00,Finance,211
3/1/2001 0:00,Self-employed,181
3/1/2001 0:00,Other,200
3/1/2001 0:00,Transportation and Utilities,193
3/1/2001 0:00,Information,148
3/1/2001 0:00,Agriculture,267
3/1/2001 0:00,Mining and Extraction,14
4/1/2001 0:00,Wholesale and Retail Trade,820
4/1/2001 0:00,Manufacturing,855
4/1/2001 0:00,Leisure and hospitality,744
4/1/2001 0:00,Business services,655
4/1/2001 0:00,Construction,596
4/1/2001 0:00,Education and Health,341
4/1/2001 0:00,Government,369
4/1/2001 0:00,Finance,232
4/1/2001 0:00,Self-employed,216
4/1/2001 0:00,Other,220
4/1/2001 0:00,Transportation and Utilities,232
4/1/2001 0:00,Information,148
4/1/2001 0:00,Agriculture,140
4/1/2001 0:00,Mining and Extraction,24
5/1/2001 0:00,Wholesale and Retail Trade,875
5/1/2001 0:00,Manufacturing,903
5/1/2001 0:00,Leisure and hospitality,731
5/1/2001 0:00,Business services,652
5/1/2001 0:00,Construction,478
5/1/2001 0:00,Education and Health,390
5/1/2001 0:00,Government,361
5/1/2001 0:00,Finance,191
5/1/2001 0:00,Self-employed,206
5/1/2001 0:00,Other,172
5/1/2001 0:00,Transportation and Utilities,178
5/1/2001 0:00,Information,164
5/1/2001 0:00,Agriculture,109
5/1/2001 0:00,Mining and Extraction,34
6/1/2001 0:00,Wholesale and Retail Trade,955
6/1/2001 0:00,Manufacturing,956
6/1/2001 0:00,Leisure and hospitality,821
6/1/2001 0:00,Business services,694
6/1/2001 0:00,Construction,443
6/1/2001 0:00,Education and Health,476
6/1/2001 0:00,Government,525
6/1/2001 0:00,Finance,249
6/1/2001 0:00,Self-employed,187
6/1/2001 0:00,Other,246
6/1/2001 0:00,Transportation and Utilities,242
6/1/2001 0:00,Information,163
6/1/2001 0:00,Agriculture,130
6/1/2001 0:00,Mining and Extraction,26
7/1/2001 0:00,Wholesale and Retail Trade,833
7/1/2001 0:00,Manufacturing,1054
7/1/2001 0:00,Leisure and hospitality,813
7/1/2001 0:00,Business services,731
7/1/2001 0:00,Construction,447
7/1/2001 0:00,Education and Health,513
7/1/2001 0:00,Government,548
7/1/2001 0:00,Finance,289
7/1/2001 0:00,Self-employed,191
7/1/2001 0:00,Other,228
7/1/2001 0:00,Transportation and Utilities,236
7/1/2001 0:00,Information,206
7/1/2001 0:00,Agriculture,113
7/1/2001 0:00,Mining and Extraction,17
8/1/2001 0:00,Wholesale and Retail Trade,928
8/1/2001 0:00,Manufacturing,1023
8/1/2001 0:00,Leisure and hospitality,767
8/1/2001 0:00,Business services,790
8/1/2001 0:00,Construction,522
8/1/2001 0:00,Education and Health,595
8/1/2001 0:00,Government,540
8/1/2001 0:00,Finance,256
8/1/2001 0:00,Self-employed,243
8/1/2001 0:00,Other,241
8/1/2001 0:00,Transportation and Utilities,226
8/1/2001 0:00,Information,210
8/1/2001 0:00,Agriculture,141
8/1/2001 0:00,Mining and Extraction,18
9/1/2001 0:00,Wholesale and Retail Trade,936
9/1/2001 0:00,Manufacturing,996
9/1/2001 0:00,Leisure and hospitality,900
9/1/2001 0:00,Business services,810
9/1/2001 0:00,Construction,489
9/1/2001 0:00,Education and Health,455
9/1/2001 0:00,Government,438
9/1/2001 0:00,Finance,268
9/1/2001 0:00,Self-employed,256
9/1/2001 0:00,Other,225
9/1/2001 0:00,Transportation and Utilities,214
9/1/2001 0:00,Information,219
9/1/2001 0:00,Agriculture,101
9/1/2001 0:00,Mining and Extraction,23
10/1/2001 0:00,Wholesale and Retail Trade,941
10/1/2001 0:00,Manufacturing,1065
10/1/2001 0:00,Leisure and hospitality,903
10/1/2001 0:00,Business services,910
10/1/2001 0:00,Construction,535
10/1/2001 0:00,Education and Health,486
10/1/2001 0:00,Government,429
10/1/2001 0:00,Finance,281
10/1/2001 0:00,Self-employed,247
10/1/2001 0:00,Other,239
10/1/2001 0:00,Transportation and Utilities,321
10/1/2001 0:00,Information,233
10/1/2001 0:00,Agriculture,118
10/1/2001 0:00,Mining and Extraction,32
11/1/2001 0:00,Wholesale and Retail Trade,1046
11/1/2001 0:00,Manufacturing,1108
11/1/2001 0:00,Leisure and hospitality,935
11/1/2001 0:00,Business services,946
11/1/2001 0:00,Construction,670
11/1/2001 0:00,Education and Health,516
11/1/2001 0:00,Government,420
11/1/2001 0:00,Finance,320
11/1/2001 0:00,Self-employed,234
11/1/2001 0:00,Other,256
11/1/2001 0:00,Transportation and Utilities,302
11/1/2001 0:00,Information,241
11/1/2001 0:00,Agriculture,145
11/1/2001 0:00,Mining and Extraction,20
12/1/2001 0:00,Wholesale and Retail Trade,1074
12/1/2001 0:00,Manufacturing,1172
12/1/2001 0:00,Leisure and hospitality,938
12/1/2001 0:00,Business services,921
12/1/2001 0:00,Construction,785
12/1/2001 0:00,Education and Health,483
12/1/2001 0:00,Government,419
12/1/2001 0:00,Finance,258
12/1/2001 0:00,Self-employed,249
12/1/2001 0:00,Other,277
12/1/2001 0:00,Transportation and Utilities,310
12/1/2001 0:00,Information,275
12/1/2001 0:00,Agriculture,192
12/1/2001 0:00,Mining and Extraction,27
1/1/2002 0:00,Wholesale and Retail Trade,1212
1/1/2002 0:00,Manufacturing,1377
1/1/2002 0:00,Leisure and hospitality,947
1/1/2002 0:00,Business services,1120
1/1/2002 0:00,Construction,1211
1/1/2002 0:00,Education and Health,586
1/1/2002 0:00,Government,486
1/1/2002 0:00,Finance,267
1/1/2002 0:00,Self-employed,263
