age,gender,sum_people,sum_people_start,sum_people_end
0,"""Male""",9735380,0,0.5111483750946519
0,"""Female""",9310714,0.5111483750946519,1
5,"""Male""",10552146,0,0.5117008240344764
5,"""Female""",10069564,0.5117008240344764,1
10,"""Male""",10563233,0,0.513133085171461
10,"""Female""",10022524,0.513133085171461,0.9999999999999999
15,"""Male""",10237419,0,0.5136665226967387
15,"""Female""",9692669,0.5136665226967387,1
20,"""Male""",9731315,0,0.5106811613346006
20,"""Female""",9324244,0.5106811613346006,1
25,"""Male""",9659493,0,0.5036757221816665
25,"""Female""",9518507,0.5036757221816665,0.9999999999999999
30,"""Male""",10205879,0,0.5021299447606232
30,"""Female""",10119296,0.5021299447606232,1
35,"""Male""",11475182,0,0.4965283590649215
35,"""Female""",11635647,0.4965283590649215,1
40,"""Male""",11320252,0,0.49631006938979333
40,"""Female""",11488578,0.49631006938979333,1
45,"""Male""",9925006,0,0.49167138893838624
45,"""Female""",10261253,0.49167138893838624,1
50,"""Male""",8507934,0,0.4884265041290673
50,"""Female""",8911133,0.4884265041290673,1
55,"""Male""",6459082,0,0.4827289271207405
55,"""Female""",6921268,0.4827289271207405,1
60,"""Male""",5123399,0,0.4747246200089693
60,"""Female""",5668961,0.4747246200089693,1
65,"""Male""",4453623,0,0.48103556043712487
65,"""Female""",4804784,0.48103556043712487,1
70,"""Male""",3792145,0,0.42242898518436
70,"""Female""",5184855,0.42242898518436,1
75,"""Male""",2912655,0,0.4007340644626755
75,"""Female""",4355644,0.4007340644626755,0.9999999999999999
80,"""Male""",1902638,0,0.3712800534526443
80,"""Female""",3221898,0.3712800534526443,1
85,"""Male""",970357,0,0.32876595834068834
85,"""Female""",1981156,0.32876595834068834,1
90,"""Male""",336303,0,0.24006484476944556
90,"""Female""",1064581,0.24006484476944556,0.9999999999999999
