variety,site,sum_yield,sum_yield_start,sum_yield_end
"""Manchuria""","""University Farm""",53.9,241.33334,295.23334
"""Manchuria""","""Waseca""",82.33334,295.23334,377.56668
"""Manchuria""","""Morris""",61.8,179.53334,241.33334
"""Manchuria""","""Crookston""",72.9,0,72.9
"""Manchuria""","""Grand Rapids""",55.1,124.43334,179.53334
"""Manchuria""","""Duluth""",51.53334,72.9,124.43334
"""Glabron""","""University Farm""",79.86666,227.3,307.16666
"""Glabron""","""Waseca""",92.93333,307.16666,400.09999
"""Glabron""","""Morris""",63.9,163.4,227.3
"""Glabron""","""Crookston""",64.3,0,64.3
"""Glabron""","""Grand Rapids""",43.56666,119.83334,163.4
"""Glabron""","""Duluth""",55.53334,64.3,119.83334
"""Svansota""","""University Farm""",62.56667,216.13333,278.7
"""Svansota""","""Waseca""",85.83333,278.7,364.53333
"""Svansota""","""Morris""",60.8,155.33333,216.13333
"""Svansota""","""Crookston""",61.1,0,61.1
"""Svansota""","""Grand Rapids""",46.3,109.03333,155.33333
"""Svansota""","""Duluth""",47.93333,61.1,109.03333
"""Velvet""","""University Farm""",66.7,242.39998,309.09998
"""Velvet""","""Waseca""",87.63333,309.09998,396.73331
"""Velvet""","""Morris""",64.96666,177.43332,242.39998
"""Velvet""","""Crookston""",73.39999,0,73.39999
"""Velvet""","""Grand Rapids""",55.26666,122.16666,177.43332
"""Velvet""","""Duluth""",48.76667,73.39999,122.16666
"""Trebi""","""University Farm""",65.63333,294.09999,359.73332
"""Trebi""","""Waseca""",113.0666,359.73332,472.79992
"""Trebi""","""Morris""",90.4,203.69999,294.09999
"""Trebi""","""Crookston""",88.76666,0,88.76666
"""Trebi""","""Grand Rapids""",50.4,153.29999,203.69999
"""Trebi""","""Duluth""",64.53333,88.76666,153.29999
"""No. 457""","""University Farm""",69.70001,260.16668,329.86669
"""No. 457""","""Waseca""",100.3,329.86669,430.16669
"""No. 457""","""Morris""",72.23334,187.93334,260.16668
"""No. 457""","""Crookston""",80,0,80
"""No. 457""","""Grand Rapids""",51.63334,136.3,187.93334
"""No. 457""","""Duluth""",56.3,80,136.3
"""No. 462""","""University Farm""",62.16667,251.9,314.06667
"""No. 462""","""Waseca""",110.4667,314.06667,424.53337
"""No. 462""","""Morris""",77.36667,174.53333,251.9
"""No. 462""","""Crookston""",79.09999,0,79.09999
"""No. 462""","""Grand Rapids""",44.83334,129.69999,174.53333
"""No. 462""","""Duluth""",50.6,79.09999,129.69999
"""Peatland""","""University Farm""",60.83334,264.73334,325.56668
"""Peatland""","""Waseca""",84.59999,325.56668,410.16667
"""Peatland""","""Morris""",73.06667,191.66667,264.73334
"""Peatland""","""Crookston""",66.83333,0,66.83333
"""Peatland""","""Grand Rapids""",61.46667,130.2,191.66667
"""Peatland""","""Duluth""",63.36667,66.83333,130.2
"""No. 475""","""University Farm""",54.66667,238.43332,293.09999
"""No. 475""","""Waseca""",88.03334,293.09999,381.13333
