month_date,weather,__count,__count_start,__count_end
"Sat, 01 Dec 2012 05:00:00 GMT","""drizzle""",3,121,124
"Sun, 01 Jan 2012 05:00:00 GMT","""rain""",65,33,98
"Sun, 01 Jan 2012 05:00:00 GMT","""sun""",25,0,25
"Sun, 01 Jan 2012 05:00:00 GMT","""snow""",8,25,33
"Sun, 01 Jan 2012 05:00:00 GMT","""drizzle""",9,115,124
"Wed, 01 Feb 2012 05:00:00 GMT","""sun""",29,0,29
"Wed, 01 Feb 2012 05:00:00 GMT","""rain""",73,33,106
"Wed, 01 Feb 2012 05:00:00 GMT","""drizzle""",4,109,113
"Wed, 01 Feb 2012 05:00:00 GMT","""snow""",4,29,33
"Thu, 01 Mar 2012 05:00:00 GMT","""rain""",73,42,115
"Thu, 01 Mar 2012 05:00:00 GMT","""sun""",36,0,36
"Thu, 01 Mar 2012 05:00:00 GMT","""snow""",6,36,42
"Thu, 01 Mar 2012 05:00:00 GMT","""drizzle""",3,121,124
"Sun, 01 Apr 2012 04:00:00 GMT","""sun""",53,0,53
"Sun, 01 Apr 2012 04:00:00 GMT","""rain""",60,54,114
"Sun, 01 Apr 2012 04:00:00 GMT","""snow""",1,53,54
"Sun, 01 Apr 2012 04:00:00 GMT","""drizzle""",3,117,120
"Tue, 01 May 2012 04:00:00 GMT","""rain""",41,77,118
"Tue, 01 May 2012 04:00:00 GMT","""sun""",77,0,77
"Tue, 01 May 2012 04:00:00 GMT","""drizzle""",1,123,124
"Fri, 01 Jun 2012 04:00:00 GMT","""rain""",41,76,117
"Fri, 01 Jun 2012 04:00:00 GMT","""sun""",76,0,76
"Fri, 01 Jun 2012 04:00:00 GMT","""drizzle""",2,118,120
"Sun, 01 Jul 2012 04:00:00 GMT","""rain""",15,90,105
"Sun, 01 Jul 2012 04:00:00 GMT","""sun""",90,0,90
"Sun, 01 Jul 2012 04:00:00 GMT","""drizzle""",9,115,124
"Sun, 01 Jul 2012 04:00:00 GMT","""fog""",10,105,115
"Wed, 01 Aug 2012 04:00:00 GMT","""sun""",86,0,86
"Wed, 01 Aug 2012 04:00:00 GMT","""rain""",25,86,111
"Wed, 01 Aug 2012 04:00:00 GMT","""drizzle""",7,117,124
"Sat, 01 Sep 2012 04:00:00 GMT","""sun""",64,0,64
"Sat, 01 Sep 2012 04:00:00 GMT","""rain""",36,64,100
"Sat, 01 Sep 2012 04:00:00 GMT","""fog""",15,100,115
"Sat, 01 Sep 2012 04:00:00 GMT","""drizzle""",5,115,120
"Mon, 01 Oct 2012 04:00:00 GMT","""sun""",37,0,37
"Mon, 01 Oct 2012 04:00:00 GMT","""drizzle""",4,120,124
"Mon, 01 Oct 2012 04:00:00 GMT","""rain""",64,37,101
"Thu, 01 Nov 2012 04:00:00 GMT","""rain""",75,34,109
"Thu, 01 Nov 2012 04:00:00 GMT","""sun""",33,0,33
"Thu, 01 Nov 2012 04:00:00 GMT","""drizzle""",3,117,120
"Thu, 01 Nov 2012 04:00:00 GMT","""fog""",8,109,117
"Sat, 01 Dec 2012 05:00:00 GMT","""rain""",73,40,113
"Sat, 01 Dec 2012 05:00:00 GMT","""sun""",34,0,34
"Sat, 01 Dec 2012 05:00:00 GMT","""snow""",6,34,40
"Thu, 01 Mar 2012 05:00:00 GMT","""fog""",6,115,121
"Sun, 01 Apr 2012 04:00:00 GMT","""fog""",3,114,117
"Tue, 01 May 2012 04:00:00 GMT","""fog""",5,118,123
"Wed, 01 Aug 2012 04:00:00 GMT","""fog""",6,111,117
"Mon, 01 Oct 2012 04:00:00 GMT","""fog""",19,101,120
"Sun, 01 Jan 2012 05:00:00 GMT","""fog""",17,98,115
