DateTime,Attribute,Value
9/30/2009 20:00,reactJS,0
9/30/2009 20:00,AngularJS,0
9/30/2009 20:00,VuejS,0
9/30/2009 20:00,NodeJS,0
10/31/2009 20:00,reactJS,0
10/31/2009 20:00,AngularJS,0
10/31/2009 20:00,VuejS,0
10/31/2009 20:00,NodeJS,0
11/30/2009 19:00,reactJS,0
11/30/2009 19:00,AngularJS,0
11/30/2009 19:00,VuejS,0
11/30/2009 19:00,NodeJS,0
12/31/2009 19:00,reactJS,0
12/31/2009 19:00,AngularJS,0
12/31/2009 19:00,VuejS,0
12/31/2009 19:00,NodeJS,0
1/31/2010 19:00,reactJS,0
1/31/2010 19:00,AngularJS,0
1/31/2010 19:00,VuejS,0
1/31/2010 19:00,NodeJS,0
2/28/2010 19:00,reactJS,0
2/28/2010 19:00,AngularJS,0
2/28/2010 19:00,VuejS,0
2/28/2010 19:00,NodeJS,1
3/31/2010 20:00,reactJS,0
3/31/2010 20:00,AngularJS,0
3/31/2010 20:00,VuejS,0
3/31/2010 20:00,NodeJS,1
4/30/2010 20:00,reactJS,0
4/30/2010 20:00,AngularJS,0
4/30/2010 20:00,VuejS,0
4/30/2010 20:00,NodeJS,1
5/31/2010 20:00,reactJS,0
5/31/2010 20:00,AngularJS,0
5/31/2010 20:00,VuejS,0
5/31/2010 20:00,NodeJS,1
6/30/2010 20:00,reactJS,0
6/30/2010 20:00,AngularJS,0
6/30/2010 20:00,VuejS,0
6/30/2010 20:00,NodeJS,1
7/31/2010 20:00,reactJS,0
7/31/2010 20:00,AngularJS,1
7/31/2010 20:00,VuejS,0
7/31/2010 20:00,NodeJS,2
8/31/2010 20:00,reactJS,0
8/31/2010 20:00,AngularJS,0
8/31/2010 20:00,VuejS,0
8/31/2010 20:00,NodeJS,2
9/30/2010 20:00,reactJS,0
9/30/2010 20:00,AngularJS,0
9/30/2010 20:00,VuejS,0
9/30/2010 20:00,NodeJS,2
10/31/2010 20:00,reactJS,0
10/31/2010 20:00,AngularJS,0
10/31/2010 20:00,VuejS,0
10/31/2010 20:00,NodeJS,2
11/30/2010 19:00,reactJS,0
11/30/2010 19:00,AngularJS,0
11/30/2010 19:00,VuejS,0
11/30/2010 19:00,NodeJS,2
12/31/2010 19:00,reactJS,0
12/31/2010 19:00,AngularJS,1
12/31/2010 19:00,VuejS,0
12/31/2010 19:00,NodeJS,3
1/31/2011 19:00,reactJS,0
1/31/2011 19:00,AngularJS,0
1/31/2011 19:00,VuejS,0
1/31/2011 19:00,NodeJS,3
2/28/2011 19:00,reactJS,0
2/28/2011 19:00,AngularJS,1
2/28/2011 19:00,VuejS,0
2/28/2011 19:00,NodeJS,4
3/31/2011 20:00,reactJS,0
3/31/2011 20:00,AngularJS,1
3/31/2011 20:00,VuejS,0
3/31/2011 20:00,NodeJS,5
4/30/2011 20:00,reactJS,0
4/30/2011 20:00,AngularJS,1
4/30/2011 20:00,VuejS,0
4/30/2011 20:00,NodeJS,5
5/31/2011 20:00,reactJS,0
5/31/2011 20:00,AngularJS,1
5/31/2011 20:00,VuejS,0
5/31/2011 20:00,NodeJS,5
6/30/2011 20:00,reactJS,1
6/30/2011 20:00,AngularJS,1
6/30/2011 20:00,VuejS,0
6/30/2011 20:00,NodeJS,6
7/31/2011 20:00,reactJS,0
7/31/2011 20:00,AngularJS,1
7/31/2011 20:00,VuejS,0
7/31/2011 20:00,NodeJS,6
8/31/2011 20:00,reactJS,0
8/31/2011 20:00,AngularJS,1
8/31/2011 20:00,VuejS,0
8/31/2011 20:00,NodeJS,7
9/30/2011 20:00,reactJS,0
9/30/2011 20:00,AngularJS,1
9/30/2011 20:00,VuejS,0
9/30/2011 20:00,NodeJS,6
10/31/2011 20:00,reactJS,0
10/31/2011 20:00,AngularJS,1
10/31/2011 20:00,VuejS,0
10/31/2011 20:00,NodeJS,7
11/30/2011 19:00,reactJS,0
11/30/2011 19:00,AngularJS,1
11/30/2011 19:00,VuejS,0
11/30/2011 19:00,NodeJS,8
12/31/2011 19:00,reactJS,0
12/31/2011 19:00,AngularJS,1
12/31/2011 19:00,VuejS,0
12/31/2011 19:00,NodeJS,9
1/31/2012 19:00,reactJS,0
1/31/2012 19:00,AngularJS,1
1/31/2012 19:00,VuejS,0
1/31/2012 19:00,NodeJS,10
2/29/2012 19:00,reactJS,0
2/29/2012 19:00,AngularJS,1
2/29/2012 19:00,VuejS,0
2/29/2012 19:00,NodeJS,9
3/31/2012 20:00,reactJS,0
3/31/2012 20:00,AngularJS,1
3/31/2012 20:00,VuejS,0
3/31/2012 20:00,NodeJS,9
4/30/2012 20:00,reactJS,0
4/30/2012 20:00,AngularJS,1
4/30/2012 20:00,VuejS,0
4/30/2012 20:00,NodeJS,10
5/31/2012 20:00,reactJS,0
5/31/2012 20:00,AngularJS,2
5/31/2012 20:00,VuejS,0
5/31/2012 20:00,NodeJS,9
6/30/2012 20:00,reactJS,0
6/30/2012 20:00,AngularJS,2
6/30/2012 20:00,VuejS,0
6/30/2012 20:00,NodeJS,10
7/31/2012 20:00,reactJS,0
7/31/2012 20:00,AngularJS,3
7/31/2012 20:00,VuejS,0
7/31/2012 20:00,NodeJS,11
8/31/2012 20:00,reactJS,0
8/31/2012 20:00,AngularJS,4
8/31/2012 20:00,VuejS,0
8/31/2012 20:00,NodeJS,11
9/30/2012 20:00,reactJS,0
9/30/2012 20:00,AngularJS,4
9/30/2012 20:00,VuejS,0
9/30/2012 20:00,NodeJS,11
10/31/2012 20:00,reactJS,1
10/31/2012 20:00,AngularJS,4
10/31/2012 20:00,VuejS,0
10/31/2012 20:00,NodeJS,11
11/30/2012 19:00,reactJS,0
11/30/2012 19:00,AngularJS,5
11/30/2012 19:00,VuejS,0
11/30/2012 19:00,NodeJS,10
12/31/2012 19:00,reactJS,0
12/31/2012 19:00,AngularJS,7
12/31/2012 19:00,VuejS,0
12/31/2012 19:00,NodeJS,11
1/31/2013 19:00,reactJS,0
1/31/2013 19:00,AngularJS,9
1/31/2013 19:00,VuejS,0
1/31/2013 19:00,NodeJS,12
2/28/2013 19:00,reactJS,0
2/28/2013 19:00,AngularJS,12
2/28/2013 19:00,VuejS,0
2/28/2013 19:00,NodeJS,13
3/31/2013 20:00,reactJS,0
3/31/2013 20:00,AngularJS,14
3/31/2013 20:00,VuejS,0
3/31/2013 20:00,NodeJS,13
4/30/2013 20:00,reactJS,1
4/30/2013 20:00,AngularJS,16
4/30/2013 20:00,VuejS,0
4/30/2013 20:00,NodeJS,14
5/31/2013 20:00,reactJS,1
5/31/2013 20:00,AngularJS,19
5/31/2013 20:00,VuejS,0
5/31/2013 20:00,NodeJS,13
6/30/2013 20:00,reactJS,1
6/30/2013 20:00,AngularJS,21
6/30/2013 20:00,VuejS,0
6/30/2013 20:00,NodeJS,15
7/31/2013 20:00,reactJS,1
7/31/2013 20:00,AngularJS,23
7/31/2013 20:00,VuejS,0
7/31/2013 20:00,NodeJS,15
8/31/2013 20:00,reactJS,1
8/31/2013 20:00,AngularJS,26
8/31/2013 20:00,VuejS,0
8/31/2013 20:00,NodeJS,15
9/30/2013 20:00,reactJS,1
9/30/2013 20:00,AngularJS,32
9/30/2013 20:00,VuejS,0
9/30/2013 20:00,NodeJS,17
10/31/2013 20:00,reactJS,1
10/31/2013 20:00,AngularJS,32
10/31/2013 20:00,VuejS,0
10/31/2013 20:00,NodeJS,17
11/30/2013 19:00,reactJS,1
11/30/2013 19:00,AngularJS,33
11/30/2013 19:00,VuejS,0
11/30/2013 19:00,NodeJS,18
12/31/2013 19:00,reactJS,1
12/31/2013 19:00,AngularJS,41
12/31/2013 19:00,VuejS,0
12/31/2013 19:00,NodeJS,18
1/31/2014 19:00,reactJS,1
1/31/2014 19:00,AngularJS,46
1/31/2014 19:00,VuejS,1
1/31/2014 19:00,NodeJS,19
2/28/2014 19:00,reactJS,1
2/28/2014 19:00,AngularJS,50
2/28/2014 19:00,VuejS,1
2/28/2014 19:00,NodeJS,21
3/31/2014 20:00,reactJS,1
3/31/2014 20:00,AngularJS,55
3/31/2014 20:00,VuejS,1
3/31/2014 20:00,NodeJS,21
4/30/2014 20:00,reactJS,1
4/30/2014 20:00,AngularJS,58
4/30/2014 20:00,VuejS,1
4/30/2014 20:00,NodeJS,20
5/31/2014 20:00,reactJS,1
5/31/2014 20:00,AngularJS,61
5/31/2014 20:00,VuejS,1
5/31/2014 20:00,NodeJS,19
6/30/2014 20:00,reactJS,1
6/30/2014 20:00,AngularJS,68
6/30/2014 20:00,VuejS,1
6/30/2014 20:00,NodeJS,20
7/31/2014 20:00,reactJS,1
7/31/2014 20:00,AngularJS,68
7/31/2014 20:00,VuejS,1
7/31/2014 20:00,NodeJS,19
