Continent,Country,CO2 emissions in tons per capita
Asia,Qatar,37.29
Asia,United Arab Emirates,23.37
Asia,Kuwait,25.65
Asia,Oman,19.61
Asia,Turkmenistan,14
Asia,Brunei,18.28
Asia,Bahrain,17.15
Asia,Saudi Arabia,15.94
Asia,Kazakhstan,13.01
Asia,South Korea,11.85
Europe,Montenegro,15.9
Europe,Luxembourg,17.51
Europe,Estonia,17.02
Europe,Gibraltar,16.98
Europe,Iceland,11.81
North America,Trinidad and Tobago,25.39
North America,Canada,18.58
North America,United States,15.52
Oceania,Australia,17.1
South America,Falkland Islands,16.59
