birth_month,percent_above_avg
December,-1.13
November,-4.6
October,3.82
September,3.93
August,9.09
July,6.43
June,-2.89
May,0.74
April,-4.89
March,-3.21
February,-11.21
January,-1.51
December,-1.65
November,-2.44
October,3.1
September,1.75
August,8.26
July,3.1
June,-1.51
May,0.09
April,-6.91
March,-1.44
February,-11.44
January,-2.03
December,-1.65
November,-1.71
October,2.39
September,4.6
August,9.01
July,3.51
June,-0.11
May,-0.78
April,-7.77
March,-2.12
February,-11.68
January,-4.51
December,-1.25
November,-3.13
October,0.42
September,4.63
August,8.26
July,3.86
June,0.42
May,-0.96
April,-5.23
March,-0.88
February,-7.68
January,-4.27
December,1.26
November,-3.97
October,2.15
September,4.62
August,5.88
July,6.3
June,-0.65
May,-1.34
April,-3.63
March,-1.16
February,-10.3
January,-1.92
December,2.49
November,-4.19
October,3.45
September,5.07
August,7.1
July,7.5
June,-1.3
May,1.49
April,-3.12
March,-1.56
February,-9.15
January,-0.45
December,2.41
November,-2.51
October,4.07
September,3.18
August,7.83
July,6.29
June,-2.61
May,0.16
April,-5.29
March,-2.47
February,-11.3
January,-1.92
December,-1.55
November,-1.36
October,4.92
September,3.75
August,9.99
July,5.86
June,-0.28
May,0.37
April,-6.68
March,-1.48
February,-7.64
January,-3.88
December,-0.64
November,-2.7
October,-0.69
September,4.24
August,8.26
July,4.34
June,1.85
May,-1.3
April,-5.37
March,-0.57
February,-10.45
January,-3.77
December,1.72
November,-2.16
October,1.17
September,5.07
August,4.49
July,2.87
June,-0.88
May,-3.02
April,-4.41
March,-0.7
February,-11.63
January,-5.76
December,-0.93
November,-7.26
October,0.59
September,4.48
August,3.65
July,5.85
June,-0.5
May,-1.03
April,-3.54
March,-0.75
February,-9.7
January,-4.1
December,-0.04
November,-8.53
October,0.39
September,2.94
August,4.47
July,4.63
June,-2.94
May,-1.44
April,-3.95
March,-2.61
February,-6.18
January,-0.95
December,-1.42
November,-1.7
October,2.71
September,2.08
August,8.41
July,5.49
June,-0.1
May,0.93
April,-5.63
March,0.87
February,-8.54
January,-0.49
December,0.17
November,-0.83
October,3.94
September,6.58
August,10.6
July,5.41
June,2.89
May,2.26
April,-4.9
March,2.8
February,-7.83
January,-1.53
December,0.98
November,-2.6
October,0
September,5.36
August,7.26
July,4.04
June,2.16
May,0.97
April,-2.85
March,2.05
February,-9.49
January,-3.23
December,1
November,-1.96
October,2.16
September,4.25
August,3.97
July,5.02
June,0.63
May,-1.3
April,-2.77
March,1.09
February,-7.6
January,-2.4
December,0.8
November,-5.86
October,4.16
September,6.02
