pol,char
0,Aang
0.3182,Aang
0,Aang
0,Aang
-0.2411,Aang
0,Aang
0.7418,Aang
0,Aang
0.3412,Aang
0,Aang
0,Aang
0.3802,Aang
0.0258,Aang
0.3578,Aang
0,Aang
-0.3832,Aang
0.4588,Aang
0,Aang
-0.0688,Aang
0,Aang
0.4329,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.3164,Aang
0.6467,Aang
-0.644,Aang
0,Aang
-0.296,Aang
-0.4017,Aang
0,Aang
-0.3903,Aang
0.1406,Aang
0.7772,Aang
0,Aang
0,Aang
-0.4404,Aang
0.6952,Aang
0,Aang
0.5337,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.25,Aang
-0.169,Aang
0,Aang
0.6588,Aang
-0.0572,Aang
0.4404,Aang
0.765,Aang
0,Aang
-0.1531,Aang
0.6476,Aang
0,Aang
0,Aang
0.2732,Aang
0.0258,Aang
0.7584,Aang
0.2411,Aang
0,Aang
0.4926,Aang
-0.1511,Aang
0,Aang
0,Aang
0.4404,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.1154,Aang
0.6233,Aang
0.6982,Aang
0.528,Aang
0,Aang
0,Aang
-0.4359,Aang
0.7163,Aang
-0.0772,Aang
0,Aang
0,Aang
-0.7146,Aang
-0.636,Aang
0,Aang
0,Aang
0,Aang
0.6705,Aang
0,Aang
0,Aang
0.2942,Aang
0,Aang
0.3578,Aang
0.2225,Aang
0.6696,Aang
0,Aang
-0.34,Aang
0.5588,Aang
0,Aang
0,Aang
0.296,Aang
0.3612,Aang
-0.4023,Aang
0.4574,Aang
0,Aang
0,Aang
0.4698,Aang
0,Aang
0.658,Aang
0,Aang
0,Aang
-0.2411,Aang
0,Aang
0,Aang
0,Aang
0.4427,Aang
0,Aang
0,Aang
-0.0772,Aang
0,Aang
0.4019,Aang
0.7177,Aang
0,Aang
0,Aang
0,Aang
0.2732,Aang
0.3382,Aang
0,Aang
0,Aang
0.4404,Aang
-0.5927,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.8172,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.4588,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.6476,Aang
0,Aang
-0.4574,Aang
0,Aang
0.3717,Aang
0.8832,Aang
0.4404,Aang
0,Aang
0.0772,Aang
0,Aang
0.7263,Aang
0.2732,Aang
0.5651,Aang
0,Aang
-0.4976,Aang
0.1477,Aang
-0.154,Aang
0.5242,Aang
0,Aang
-0.25,Aang
0.2235,Aang
0,Aang
0.6249,Aang
0.7184,Aang
0.2714,Aang
0.3802,Aang
0.1129,Aang
0,Aang
-0.033,Aang
-0.34,Aang
0,Aang
-0.4023,Aang
0,Aang
0,Aang
0.2732,Aang
0,Aang
0,Aang
-0.7579,Aang
0.5411,Aang
0.3382,Aang
0,Aang
-0.6748,Aang
0.1511,Aang
0.8316,Aang
0.5093,Aang
0,Aang
0,Aang
0.4926,Aang
0,Aang
0,Aang
0.8462,Aang
0,Aang
0,Aang
-0.5411,Aang
0.4939,Aang
0,Aang
0.7163,Aang
-0.1511,Aang
0.3182,Aang
0.2382,Aang
0,Aang
0.9284,Aang
0,Aang
0.0772,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.5632,Aang
-0.5423,Aang
0.2023,Aang
0,Aang
0.3769,Aang
0.0772,Aang
0.8164,Aang
0.3578,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.2263,Aang
0.4753,Aang
-0.3818,Aang
0,Aang
-0.4588,Aang
0.3464,Aang
0,Aang
0.296,Aang
0.6124,Aang
0.2732,Aang
0.3036,Aang
0.0772,Aang
0.4767,Aang
0.6588,Aang
0,Aang
0,Aang
0,Aang
0.4753,Aang
0,Aang
0.4753,Aang
-0.296,Aang
0.6369,Aang
0.5413,Aang
0,Aang
0,Aang
0.5574,Aang
0.8625,Aang
0.5972,Aang
-0.4767,Aang
0,Aang
-0.1779,Aang
0.4574,Aang
-0.5411,Aang
0,Aang
-0.3595,Aang
0,Aang
0.4184,Aang
0,Aang
0,Aang
0.3919,Aang
0.3291,Aang
0,Aang
0.3382,Aang
0.4404,Aang
0.6996,Aang
0.0772,Aang
0,Aang
0.2691,Aang
0,Aang
0.5803,Aang
0.886,Aang
0.1779,Aang
0.6988,Aang
-0.2833,Aang
0,Aang
0.2411,Aang
0,Aang
-0.5562,Aang
-0.3182,Aang
-0.2695,Aang
-0.674,Aang
0.9374,Aang
0.8012,Aang
0,Aang
-0.2411,Aang
0.6114,Aang
0.3415,Aang
0.1779,Aang
0,Aang
-0.4927,Aang
-0.8989,Aang
-0.2924,Aang
0.3612,Aang
0,Aang
0,Aang
-0.3634,Aang
-0.5983,Aang
-0.6002,Aang
0,Aang
0.2263,Aang
0,Aang
0,Aang
0,Aang
0.4215,Aang
0.4457,Aang
0.6892,Aang
0,Aang
0,Aang
0.4833,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.4767,Aang
0,Aang
0.5719,Aang
-0.4767,Aang
0.4019,Aang
0,Aang
0,Aang
-0.0772,Aang
0,Aang
0,Aang
0,Aang
0.4898,Aang
0.3313,Aang
0,Aang
0.3818,Aang
-0.7469,Aang
-0.5696,Aang
-0.594,Aang
0,Aang
0.3612,Aang
0.4404,Aang
0,Aang
0,Aang
0,Aang
0.4184,Aang
0,Aang
0.4019,Aang
0,Aang
0.3612,Aang
0,Aang
0.8402,Aang
0,Aang
0.506,Aang
0.4201,Aang
0.4199,Aang
0.25,Aang
0.2914,Aang
0.3802,Aang
0,Aang
0,Aang
0,Aang
0.6696,Aang
0.2942,Aang
0,Aang
0,Aang
0.4215,Aang
0.2481,Aang
0,Aang
-0.631,Aang
-0.3595,Aang
0.4404,Aang
0.4939,Aang
0,Aang
0.2263,Aang
-0.4767,Aang
-0.296,Aang
0.296,Aang
0,Aang
0.471,Aang
0,Aang
0,Aang
0,Aang
-0.296,Aang
0.4926,Aang
0.2263,Aang
0.4404,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.4588,Aang
0,Aang
0.4501,Aang
-0.4404,Aang
0.6249,Aang
0,Aang
0.4753,Aang
0,Aang
0.7717,Aang
0.4574,Aang
0,Aang
0,Aang
0.4753,Aang
0.4404,Aang
0,Aang
0,Aang
0.6837,Aang
0,Aang
-0.0772,Aang
0.4476,Aang
0,Aang
0,Aang
-0.3612,Aang
0.2732,Aang
-0.34,Aang
0,Aang
-0.296,Aang
0,Aang
0.2924,Aang
0.25,Aang
0,Aang
0,Aang
0.3094,Aang
-0.0859,Aang
0.5267,Aang
0.6249,Aang
-0.423,Aang
0.296,Aang
-0.3164,Aang
-0.0772,Aang
0.0436,Aang
0.7707,Aang
0.4753,Aang
0,Aang
0,Aang
-0.5267,Aang
0,Aang
0,Aang
-0.6696,Aang
0.6696,Aang
-0.2144,Aang
0,Aang
0,Aang
0.5707,Aang
-0.4249,Aang
0.2443,Aang
-0.8639,Aang
0,Aang
0,Aang
-0.7998,Aang
0,Aang
0.9026,Aang
0.3182,Aang
0.2732,Aang
-0.1027,Aang
0,Aang
-0.4753,Aang
0,Aang
0.2244,Aang
0,Aang
0,Aang
0.5927,Aang
0.2263,Aang
0,Aang
0.4389,Aang
0.4215,Aang
0,Aang
-0.3412,Aang
-0.0772,Aang
0,Aang
-0.0572,Aang
0.2732,Aang
0.354,Aang
0,Aang
0.5106,Aang
0,Aang
0,Aang
0.5093,Aang
0.5106,Aang
0.2732,Aang
0.5321,Aang
0.6588,Aang
-0.5985,Aang
0.2263,Aang
0,Aang
0,Aang
0.0772,Aang
0.636,Aang
-0.5849,Aang
-0.0516,Aang
0,Aang
-0.7689,Aang
-0.3089,Aang
0,Aang
0,Aang
0,Aang
0.3182,Aang
0,Aang
0,Aang
-0.0762,Aang
0,Aang
0.0258,Aang
0,Aang
0,Aang
0,Aang
0.296,Aang
0,Aang
0,Aang
0.1007,Aang
0.6956,Aang
0.4215,Aang
0.4215,Aang
0.7339,Aang
0,Aang
0.4767,Aang
0.4767,Aang
0,Aang
-0.4404,Aang
-0.4019,Aang
0,Aang
-0.4912,Aang
0.2996,Aang
0.5913,Aang
-0.4885,Aang
0,Aang
0,Aang
0,Aang
0.679,Aang
0,Aang
-0.296,Aang
0,Aang
-0.3802,Aang
0,Aang
0.6588,Aang
0.2732,Aang
0.4404,Aang
-0.5093,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.4404,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.7345,Aang
0.4404,Aang
0.3612,Aang
0.296,Aang
0.5859,Aang
0.296,Aang
0.4574,Aang
0.474,Aang
0.3182,Aang
0,Aang
0.3612,Aang
0.6322,Aang
0.2263,Aang
0,Aang
0.5719,Aang
0,Aang
0.2732,Aang
0.3094,Aang
0,Aang
0.2732,Aang
0.4215,Aang
0.4588,Aang
0,Aang
0,Aang
0.2263,Aang
0,Aang
-0.43,Aang
0,Aang
0,Aang
0.0772,Aang
0,Aang
0.899,Aang
0.8999,Aang
-0.6486,Aang
-0.4184,Aang
0,Aang
0,Aang
-0.5053,Aang
0,Aang
0.5267,Aang
-0.1316,Aang
0,Aang
0.3612,Aang
0,Aang
0,Aang
0,Aang
0.7584,Aang
0,Aang
0.4404,Aang
0.0772,Aang
0.4939,Aang
0,Aang
0.5399,Aang
0,Aang
0,Aang
-0.5535,Aang
0,Aang
-0.3595,Aang
0,Aang
0,Aang
0,Aang
0.8225,Aang
-0.4767,Aang
0,Aang
0,Aang
-0.0516,Aang
0,Aang
0,Aang
-0.1511,Aang
0.8516,Aang
0.4404,Aang
-0.1027,Aang
0.5106,Aang
0,Aang
0,Aang
-0.5996,Aang
0,Aang
0.2263,Aang
0,Aang
-0.5106,Aang
0.128,Aang
0.2263,Aang
0,Aang
0,Aang
0,Aang
0.0772,Aang
0,Aang
-0.0572,Aang
0.4019,Aang
0.3612,Aang
0.3182,Aang
0.3182,Aang
0.5423,Aang
0,Aang
0.25,Aang
0.6114,Aang
0,Aang
0,Aang
0,Aang
0.5927,Aang
-0.126,Aang
0,Aang
0.0772,Aang
0,Aang
0.4574,Aang
0,Aang
0,Aang
0.4215,Aang
0.3859,Aang
0.25,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.1154,Aang
0.5106,Aang
0.6879,Aang
0,Aang
0,Aang
-0.34,Aang
-0.34,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.851,Aang
0.3182,Aang
0.3595,Aang
0,Aang
-0.7081,Aang
0.5023,Aang
-0.4559,Aang
0,Aang
0,Aang
-0.3237,Aang
