x,value,category
China,1383220000,asia
India,1316000000,asia
United States,324982000,america
Indonesia,263510000,asia
Brazil,207505000,america
Pakistan,196459000,asia
Nigeria,191836000,africa
Bangladesh,162459000,asia
Russia,146804372,europe
Japan,126790000,asia
Mexico,123518000,america
Ethiopia,104345000,africa
Philippines,104037000,asia
Egypt,93013300,africa
Vietnam,92700000,asia
Germany,82800000,europe
Democratic Republic of the Congo,82243000,africa
Iran,80135400,asia
Turkey,79814871,asia
Thailand,68298000,asia
France,67013000,europe
United Kingdom,65110000,europe
Italy,60599936,europe
Tanzania,56878000,africa
South Africa,55908000,africa
Myanmar,54836000,asia
South Korea,51446201,asia
Colombia,49224700,america
Kenya,48467000,africa
Spain,46812000,europe
Argentina,43850000,america
Ukraine,42541633,europe
Sudan,42176000,africa
Uganda,41653000,africa
Algeria,41064000,africa
Poland,38424000,europe
Iraq,37883543,asia
Canada,36541000,america
Morocco,34317500,africa
Saudi Arabia,33710021,asia
Uzbekistan,32121000,asia
Malaysia,32063200,asia
Peru,31826018,america
Venezuela,31431164,america
Nepal,28825709,asia
Angola,28359634,africa
Ghana,28308301,africa
Yemen,28120000,asia
Afghanistan,27657145,asia
Mozambique,27128530,africa
Australia,24460900,australia
North Korea,24213510,asia
Taiwan,23545680,asia
Cameroon,23248044,africa
Ivory Coast,22671331,africa
Madagascar,22434363,africa
Niger,21564000,africa
Sri Lanka,21203000,asia
Romania,19760000,europe
Burkina Faso,19632147,africa
Syria,18907000,asia
Mali,18875000,africa
Malawi,18299000,africa
Chile,18191900,america
Kazakhstan,17975800,asia
Netherlands,17121900,europe
Ecuador,16737700,america
Guatemala,16176133,america
Zambia,15933883,africa
Cambodia,15626444,asia
Senegal,15256346,africa
Chad,14965000,africa
Zimbabwe,14542235,africa
Guinea,13291000,africa
South Sudan,12131000,africa
Rwanda,11553188,africa
Belgium,11356191,europe
Tunisia,11299400,africa
Cuba,11239004,america
Bolivia,11145770,america
Somalia,11079000,africa
Haiti,11078033,america
Greece,10783748,europe
Benin,10653654,africa
Czech Republic,10578820,europe
Portugal,10341330,europe
Burundi,10114505,africa
Dominican Republic,10075045,america
Sweden,10054100,europe
United Arab Emirates,10003223,asia
Jordan,9889270,asia
Azerbaijan,9823667,asia
Hungary,9799000,europe
Belarus,9498600,europe
Honduras,8866351,america
Austria,8773686,europe
Tajikistan,8742000,asia
Israel,8690220,asia
Switzerland,8417700,europe
Papua New Guinea,8151300,australia
