letter,frequency,points,count,type,codeword
A,0.08167,1,9,vowel,alpha
B,0.01492,3,2,consonant,bravo
C,0.02782,3,2,consonant,charlie
D,0.04253,2,4,consonant,delta
E,0.12702,1,12,vowel,echo
F,0.02288,4,2,consonant,foxtrot
G,0.02015,2,3,consonant,golf
H,0.06094,4,2,consonant,hotel
I,0.06966,1,9,vowel,india
J,0.00153,8,1,consonant,juliett
K,0.00772,5,1,consonant,kilo
L,0.04025,1,4,consonant,lima
M,0.02406,3,2,consonant,mike
N,0.06749,1,6,consonant,november
O,0.07507,1,8,vowel,oscar
P,0.01929,3,2,consonant,papa
Q,0.00095,10,1,consonant,quebec
R,0.05987,1,6,consonant,romeo
S,0.06327,1,4,consonant,sierra
T,0.09056,1,6,consonant,tango
U,0.02758,1,4,vowel,uniform
V,0.00978,4,2,consonant,victor
W,0.0236,4,2,semivowel,whiskey
X,0.0015,8,1,consonant,xray
Y,0.01974,4,2,semivowel,yankee
Z,0.00074,10,1,consonant,zulu
