State,WIM: Weight-influencing microbes,AIMB: Anti-inflammatory microbes-Butyrate,AIMPo: Anti-inflammatory microbes-Polyamine,AIMPr: Anti-inflammatory microbes-Propionate,PL: Probiotics-Lactobacillus,PA: Probiotics-Akkermansia,PB: Probiotics-Bifidobacterium,PFY: Probiotic Food-Yogurt,PFP: Probiotic Food-Pickles,PFS: Probiotic Food-Sauerkraut,AR: Alcohol-reduced,AI: Alcohol-increased,AAA: Alcohol-acetaldehyde accumulator,AAD: Alcohol-acetaldehyde decomposer,SGBP: Sleep-GABA producing,SSP: Sleep-Serotonin producing,VK2P: Vitamin K2 producing,VB2P: Vitamin B9 producing,CM: Carbohydrate-metabolizing,LM: Lipid-metabolizing,ACM: Amino acid-metabolizing,total
WIM,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17
AIMB,0,0.108464173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108464173
AIMPo,0,0,2.162423058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.162423058
AIMPr,0,0,0,0.338648839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338648839
PL,0,0,0,0,0.001590911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001590911
PA,0,0,0,0,0,0.3502329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3502329
PB,0,0,0,0,0,0,0.929841915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929841915
PFY,0,0,0,0,0,0,0,0.078538648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078538648
PFP,0,0,0,0,0,0,0,0,0.001590911,0,0,0,0,0,0,0,0,0,0,0,0,0.001590911
PFS,0,0,0,0,0,0,0,0,0,0.001590911,0,0,0,0,0,0,0,0,0,0,0,0.001590911
AR,0,0,0,0,0,0,0,0,0,0,0.089260057,0,0,0,0,0,0,0,0,0,0,0.089260057
AI,0,0,0,0,0,0,0,0,0,0,0,0.105449026,0,0,0,0,0,0,0,0,0,0.105449026
AAA,0,0,0,0,0,0,0,0,0,0,0,0,1.177683615,0,0,0,0,0,0,0,0,1.177683615
AAD,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,2.49
SGBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692299641,0,0,0,0,0,0,0.692299641
SSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240155153,0,0,0,0,0,0.240155153
VK2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09545466,0,0,0,0,0.09545466
VB2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079854761,0,0,0,2.079854761
CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267832227,0,0,0.267832227
LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554981283,0,0.554981283
ACM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297470197,0.297470197
