"Adjusted net national income per capita (current US$)","Series 0","Series 1","Series 2","Series 3","Series 4","Series 5","Series 6"
173.5682741,5.237,,,,,,
241.9262683,5.885,,,,,,
318.4904599,4.183,,,,,,
330.0556379,4.713,,,,,,
389.1817944,3.976,,,,,,
392.1578369,4.289,,,,,,
400.9033156,4.568,,,,,,
432.0262494,5.718,,,,,,
434.8387022,4.077,,,,,,
457.0569641,5.553,,,,,,
475.6203623,4.176,,,,,,
520.699307,6.735,,,,,,
561.4055937,4.055,,,,,,
596.5364418,5.087,,,,,,
628.984664,4.331,,,,,,
647.4149432,3.926,,,,,,
698.4076931,4.703,,,,,,
701.5005132,5.029,,,,,,
711.9865792,4.321,,,,,,
718.8032415,5.693,,,,,,
754.9908106,4.496,,,,,,
807.3743756,3.07,,,,,,
807.7146169,4.049,,,,,,
824.2715739,4.199,,,,,,
865.4846751,3.52,,,,,,
872.8168873,3,,,,,,
920.0344564,4.552,,,,,,
947.7207642,4.773,,,,,,
985.1014232,3.46,,,,,,
1085.531748,1.845,,,,,,
1100.042658,3.394,,,,,,
1122.792517,5.371,,,,,,
1133.399847,4.7,,,,,,
1194.944351,2.842,,,,,,
1269.223056,4.443,,,,,,
1275.06064,4.491,,,,,,
1275.733083,4.073,,,,,,
1301.500422,2.121,,,,,,
1319.769443,2.453,,,,,,
1375.453045,2.9,,,,,,
1517.223104,4.449,,,,,,
1541.388902,3.365,,,,,,
1627.436371,3.853,,,,,,
1630.076785,4.214,,,,,,
1667.641261,2.349,,,,,,
1682.68367,2.184,,,,,,
1730.279218,5.248,,,,,,
1830.079257,2.142,,,,,,
1876.584221,3.765,,,,,,
1973.062223,2.583,,,,,,
2032.593996,1.987,,,,,,
2067.604547,4.309,,,,,,
2130.720141,2.394,,,,,,
2170.850674,4.536,,,,,,
2235.898181,2.046,,,,,,
2290.622142,3.477,,,,,,
2482.574598,1.931,,,,,,
2530.518134,2.919,,,,,,
2587.934983,2.213,,,,,,
2668.451416,2.353,,,,,,
2676.576656,2.651,,,,,,
2735.094455,2.942,,,,,,
2797.628382,3.493,,,,,,
2873.563748,3.707,,,,,,
2957.257815,2.627,,,,,,
3032.152474,2.834,,,,,,
3034.921785,2.002,,,,,,
3091.998317,2.266,,,,,,
3105.784101,2.371,,,,,,
3173.682227,3.236,,,,,,
3185.02221,4.346,,,,,,
3202.050931,2.49,,,,,,
3219.721218,2.246,,,,,,
3222.351366,3.537,,,,,,
3314.912279,2.174,,,,,,
3328.540527,1.217,,,,,,
3357.81169,2.151,,,,,,
3416.983685,2.046,,,,,,
3489.805088,1.7,,,,,,
3495.533512,3.785,,,,,,
3524.473906,2.175,,,,,,
3548.882881,3.293,,,,,,
3586.598928,2.06,,,,,,
3608.499121,1.76,,,,,,
3689.816676,2.968,,,,,,
3953.162317,2.777,,,,,,
4053.887124,2.729,,,,,,
4063.743736,2.639,,,,,,
4110.006777,1.278,,,,,,
4184.174237,2.38,,,,,,
4194.961947,1.95,,,,,,
4208.456611,1.58,,,,,,
4337.423844,3.869,,,,,,
4446.469864,2.383,,,,,,
4469.15592,1.771,,,,,,
4514.232084,2.418,,,,,,
4585.6856,3.481,,,,,,
4603.515007,2.358,,,,,,
4853.917729,1.3,,,,,,
5015.650535,2.796,,,,,,
5059.276725,1.243,,,,,,
5148.322913,1.382,,,,,,
5299.881469,2.212,,,,,,
5700.810512,1.815,,,,,,
5715.849662,1.501,,,,,,
5801.144834,1.706,,,,,,
6023.194164,1.854,,,,,,
6302.124081,2.079,,,,,,
6310.02024,1.48,,,,,,
6398.807397,2.299,,,,,,
6705.432527,3.13,,,,,,
6806.852756,1.411,,,,,,
6966.316982,1.75,,,,,,
7146.657226,2.039,,,,,,
7211.955933,2.233,,,,,,
7464.718149,1.965,,,,,,
7572.281831,1.7,,,,,,
8118.725586,1.505,,,,,,
8333.510002,1.44,,,,,,
8440.099649,1.56,,,,,,
8556.457626,2.29,,,,,,
10351.71475,1.611,,,,,,
10700.43143,1.721,,,,,,
10734.51672,1.6,,,,,,
10878.63012,2.415,,,,,,
12132.9221,1.48,,,,,,
12228.79507,1.952,,,,,,
12755.79958,1.56,,,,,,
13003.36627,1.628,,,,,,
13035.71954,1.699,,,,,,
13314.93332,1.38,,,,,,
13734.54262,1.55,,,,,,
14751.70973,1.34,,,,,,
15423.92373,1.942,,,,,,
15629.18783,1.57,,,,,,
17026.26452,1.48,,,,,,
17172.9272,1.71,,,,,,
17428.07185,2.238,,,,,,
17468.25136,1.4,,,,,,
19404.06841,1.58,,,,,,
20263.14226,1.6,,,,,,
22332.3775,1.796,,,,,,
22404.77685,1.733,,,,,,
22545.95845,1.23,,,,,,
22557.1543,1.313,,,,,,
25281.88674,0.837,,,,,,
25981.68567,1.24,,,,,,
31210.21432,1.34,,,,,,
31771.78597,1.83,,,,,,
33374.81172,1.369,,,,,,
33723.57193,1.61,,,,,,
35025.2728,1.4,,,,,,
36490.73779,1.55,,,,,,
37545.23875,2.9,,,,,,
37829.1279,1.827,,,,,,
38425.66614,1.53,,,,,,
38848.20149,1.44,,,,,,
39966.40683,1.37,,,,,,
40141.15748,1.581,,,,,,
41464.38941,1.63,,,,,,
42048.82136,1.1,,,,,,
42296.02243,1.55,,,,,,
44552.07955,1.66,,,,,,
48047.37832,1.72,,,,,,
52666.34897,1.67,,,,,,
53329.0189,1.6375,,,,,,
53514.24749,1.48,,,,,,
63793.59365,1.46,,,,,,
67966.54648,1.37,,,,,,
