count,date,level
1,2019-01-29,1
2,2019-02-25,1
8,2019-02-26,3
1,2019-03-25,1
1,2019-03-26,1
4,2019-03-28,2
1,2019-03-29,1
2,2019-04-17,1
11,2019-04-18,4
1,2019-04-19,1
1,2019-06-20,1
2,2019-08-01,1
6,2019-08-06,3
10,2019-08-07,4
8,2019-08-08,3
2,2019-08-09,1
2,2019-08-29,1
5,2019-09-20,2
1,2019-09-24,1
4,2019-09-25,2
3,2019-09-26,2
2,2019-09-27,1
1,2019-09-29,1
1,2019-10-08,1
1,2019-10-10,1
3,2019-10-11,2
2,2019-10-18,1
5,2019-11-01,2
2,2019-11-02,1
1,2019-11-08,1
1,2019-11-10,1
1,2019-11-12,1
4,2019-11-13,2
1,2019-11-14,1
1,2019-11-15,1
2,2019-11-18,1
2,2019-11-19,1
2,2019-11-20,1
1,2019-11-27,1
1,2019-12-05,1
3,2019-12-11,2
2,2019-12-12,1
8,2019-12-17,3
3,2019-12-18,2
3,2019-12-19,2
2,2019-12-30,1
2,2020-01-14,1
1,2020-01-23,1
1,2020-01-28,1
2,2020-02-04,1
1,2020-02-06,1
16,2020-02-14,4
9,2020-02-16,3
23,2020-02-17,4
1,2020-03-05,1
1,2020-03-10,1
10,2020-03-12,3
3,2020-03-23,1
1,2020-03-24,1
2,2020-03-26,1
1,2020-04-14,1
1,2020-04-21,1
1,2020-04-22,1
7,2020-04-23,2
3,2020-04-24,1
1,2020-04-28,1
4,2020-04-30,1
1,2020-05-06,1
2,2020-05-20,1
9,2020-05-21,3
9,2020-05-22,3
1,2020-05-23,1
6,2020-05-24,2
7,2020-05-25,2
5,2020-05-26,2
1,2020-05-27,1
12,2020-05-28,3
16,2020-05-29,4
4,2020-06-04,1
4,2020-06-05,1
1,2020-06-08,1
2,2020-06-09,1
2,2020-06-10,1
10,2020-06-11,3
3,2020-06-12,1
1,2020-06-19,1
2,2020-06-20,1
2,2020-06-23,1
13,2020-06-24,4
8,2020-06-25,2
1,2020-06-26,1
21,2020-06-28,4
1,2020-07-04,1
6,2020-07-06,2
11,2020-07-07,3
6,2020-07-08,2
12,2020-07-09,3
1,2020-07-13,1
4,2020-07-21,1
2,2020-07-22,1
3,2020-07-23,1
2,2020-07-25,1
1,2020-07-26,1
6,2020-07-27,2
2,2020-07-30,1
2,2020-08-03,1
2,2020-08-05,1
3,2020-08-06,1
3,2020-08-12,1
1,2020-08-20,1
1,2020-08-21,1
1,2020-08-23,1
2,2020-08-24,1
5,2020-08-25,2
4,2020-08-26,1
4,2020-08-27,1
1,2020-08-28,1
3,2020-09-02,1
3,2020-09-04,1
1,2020-09-07,1
3,2020-09-08,1
1,2020-09-09,1
3,2020-09-10,1
2,2020-09-11,1
9,2020-09-16,3
2,2020-09-17,1
5,2020-09-18,2
1,2020-09-21,1
8,2020-09-22,2
2,2020-09-23,1
1,2020-09-24,1
1,2020-09-26,1
6,2020-09-27,2
17,2020-09-29,4
8,2020-09-30,2
4,2020-10-01,1
2,2020-10-02,1
3,2020-10-14,1
8,2020-10-15,2
2,2020-10-19,1
1,2020-10-20,1
5,2020-10-21,2
5,2020-10-27,2
6,2020-10-28,2
11,2020-10-29,3
1,2020-11-01,1
4,2020-11-02,1
6,2020-11-03,2
4,2020-11-04,1
7,2020-11-05,2
3,2020-11-06,1
4,2020-11-07,1
10,2020-11-08,3
21,2020-11-09,4
8,2020-11-10,2
1,2020-11-11,1
6,2020-11-12,2
2,2020-11-13,1
2,2020-11-16,1
6,2020-11-17,2
2,2020-11-18,1
21,2020-11-22,4
15,2020-11-23,4
23,2020-11-24,4
7,2020-11-25,2
5,2020-11-26,2
2,2020-12-02,1
8,2020-12-07,2
1,2020-12-08,1
1,2020-12-09,1
3,2020-12-14,1
3,2020-12-15,1
5,2020-12-17,2
1,2020-12-21,1
7,2020-12-22,2
13,2020-12-23,4
5,2020-12-24,2
6,2020-12-28,2
2,2020-12-29,1
2,2020-12-31,1
1,2021-01-04,1
1,2021-01-05,1
1,2021-01-07,1
4,2021-01-12,4
2,2021-01-13,2
2,2021-01-15,2
2,2021-01-18,2
3,2021-01-19,3
3,2021-01-20,3
4,2021-01-28,4
1,2021-01-29,1
1,2021-01-30,1
1,2021-02-03,1
1,2021-02-16,1
5,2021-02-17,4
17,2021-02-18,4
7,2021-02-19,4
1,2021-03-02,1
4,2021-03-03,4
1,2021-03-04,1
1,2021-03-08,1
1,2021-03-10,1
1,2021-03-19,1
1,2021-03-20,1
1,2021-03-22,1
12,2021-03-26,4
1,2021-04-04,1
1,2021-04-05,1
3,2021-04-13,3
3,2021-04-15,3
3,2021-04-20,3
1,2021-04-21,1
12,2021-05-06,4
2,2021-05-10,2
1,2021-05-11,1
7,2021-05-13,4
1,2021-05-14,1
