date,id,count,streak
2016-01-03,1,1,active
2016-01-04,2,-1,inactive
2016-01-05,3,1,active
2016-01-06,4,-1,inactive
2016-01-07,5,1,active
2016-01-08,6,-1,inactive
2016-01-09,7,1,active
2016-01-10,8,-1,inactive
2016-01-11,8,-2,inactive
2016-01-12,8,-3,inactive
2016-01-13,9,1,active
2016-01-14,9,2,active
2016-01-15,10,-1,inactive
2016-01-16,11,1,active
2016-01-17,12,-1,inactive
2016-01-18,12,-2,inactive
2016-01-19,12,-3,inactive
2016-01-20,13,1,active
2016-01-21,14,-1,inactive
2016-01-22,15,1,active
2016-01-23,15,2,active
2016-01-24,16,-1,inactive
2016-01-25,16,-2,inactive
2016-01-26,17,1,active
2016-01-27,18,-1,inactive
2016-01-28,19,1,active
2016-01-29,19,2,active
2016-01-30,20,-1,inactive
2016-01-31,21,1,active
2016-02-01,22,-1,inactive
2016-02-02,23,1,active
2016-02-03,23,2,active
2016-02-04,24,-1,inactive
2016-02-05,25,1,active
2016-02-06,25,2,active
2016-02-07,26,-1,inactive
2016-02-08,27,1,active
2016-02-09,28,-1,inactive
2016-02-10,29,1,active
2016-02-11,29,2,active
2016-02-12,29,3,active
2016-02-13,29,4,active
2016-02-14,29,5,active
2016-02-15,29,6,active
2016-02-16,29,7,active
2016-02-17,29,8,active
2016-02-18,29,9,active
2016-02-19,29,10,active
2016-02-20,29,11,active
2016-02-21,30,-1,inactive
2016-02-22,31,1,active
2016-02-23,31,2,active
2016-02-24,31,3,active
2016-02-25,31,4,active
2016-02-26,31,5,active
2016-02-27,31,6,active
2016-02-28,31,7,active
2016-02-29,31,8,active
2016-03-01,31,9,active
2016-03-02,31,10,active
2016-03-03,31,11,active
2016-03-04,31,12,active
2016-03-05,31,13,active
2016-03-06,32,-1,inactive
2016-03-07,33,1,active
2016-03-08,33,2,active
2016-03-09,33,3,active
2016-03-10,33,4,active
2016-03-11,33,5,active
2016-03-12,33,6,active
2016-03-13,34,-1,inactive
2016-03-14,35,1,active
2016-03-15,35,2,active
2016-03-16,35,3,active
2016-03-17,35,4,active
2016-03-18,36,-1,inactive
2016-03-19,36,-2,inactive
2016-03-20,37,1,active
2016-03-21,37,2,active
2016-03-22,37,3,active
2016-03-23,38,-1,inactive
2016-03-24,38,-2,inactive
2016-03-25,39,1,active
2016-03-26,40,-1,inactive
2016-03-27,40,-2,inactive
2016-03-28,41,1,active
2016-03-29,41,2,active
2016-03-30,41,3,active
2016-03-31,41,4,active
2016-04-01,41,5,active
2016-04-02,42,-1,inactive
2016-04-03,42,-2,inactive
2016-04-04,43,1,active
2016-04-05,43,2,active
2016-04-06,43,3,active
2016-04-07,43,4,active
2016-04-08,43,5,active
2016-04-09,44,-1,inactive
2016-04-10,44,-2,inactive
2016-04-11,45,1,active
2016-04-12,45,2,active
2016-04-13,45,3,active
2016-04-14,45,4,active
2016-04-15,45,5,active
2016-04-16,46,-1,inactive
2016-04-17,46,-2,inactive
2016-04-18,47,1,active
2016-04-19,47,2,active
2016-04-20,47,3,active
2016-04-21,47,4,active
2016-04-22,47,5,active
2016-04-23,47,6,active
2016-04-24,47,7,active
2016-04-25,47,8,active
2016-04-26,47,9,active
2016-04-27,47,10,active
2016-04-28,47,11,active
2016-04-29,47,12,active
2016-04-30,47,13,active
2016-05-01,48,-1,inactive
2016-05-02,49,1,active
2016-05-03,49,2,active
2016-05-04,49,3,active
2016-05-05,49,4,active
2016-05-06,49,5,active
2016-05-07,49,6,active
2016-05-08,49,7,active
2016-05-09,49,8,active
2016-05-10,49,9,active
2016-05-11,49,10,active
2016-05-12,49,11,active
2016-05-13,49,12,active
2016-05-14,49,13,active
2016-05-15,49,14,active
2016-05-16,49,15,active
2016-05-17,49,16,active
2016-05-18,49,17,active
2016-05-19,49,18,active
2016-05-20,49,19,active
2016-05-21,49,20,active
2016-05-22,49,21,active
2016-05-23,49,22,active
2016-05-24,49,23,active
2016-05-25,49,24,active
2016-05-26,49,25,active
2016-05-27,49,26,active
2016-05-28,49,27,active
2016-05-29,49,28,active
2016-05-30,49,29,active
2016-05-31,49,30,active
2016-06-01,49,31,active
2016-06-02,49,32,active
2016-06-03,49,33,active
2016-06-04,49,34,active
2016-06-05,49,35,active
2016-06-06,49,36,active
2016-06-07,49,37,active
2016-06-08,49,38,active
2016-06-09,49,39,active
2016-06-10,49,40,active
2016-06-11,49,41,active
2016-06-12,49,42,active
2016-06-13,49,43,active
2016-06-14,49,44,active
2016-06-15,49,45,active
2016-06-16,49,46,active
2016-06-17,49,47,active
2016-06-18,49,48,active
2016-06-19,50,-1,inactive
2016-06-20,51,1,active
2016-06-21,51,2,active
2016-06-22,51,3,active
2016-06-23,51,4,active
2016-06-24,51,5,active
2016-06-25,51,6,active
2016-06-26,52,-1,inactive
2016-06-27,53,1,active
2016-06-28,53,2,active
2016-06-29,53,3,active
2016-06-30,53,4,active
2016-07-01,53,5,active
2016-07-02,54,-1,inactive
2016-07-03,54,-2,inactive
2016-07-04,54,-3,inactive
2016-07-05,55,1,active
2016-07-06,55,2,active
2016-07-07,55,3,active
2016-07-08,55,4,active
2016-07-09,56,-1,inactive
2016-07-10,57,1,active
2016-07-11,57,2,active
