open,high,low,close,x,volume
18.74,19.16,18.67 ,18.99,1,4991285
18.74,19.06,18.54,18.82,2,3615889
19.21,19.3,18.59 ,18.65,3,4749586
19.85,19.86,19.12,19.4,4,4366740
20.19,20.21,19.57,19.92,5,3982709
20.47,20.64,20.15,20.16,6,2289403
20.36,20.52,20.29,20.48,7,1950919
20.21,20.25,19.91,20.15,8,2391070
19.46,20.54,19.46,20.22,9,4548422
19.24,19.5,19.13,19.44,10,1889811
19.25,19.41,18.99,19.22,11,2543355
18.85,19.45,18.8,19.24,12,2134393
18.97,19.01,18.68,18.95,13,1740852
18.69,19,18.35,18.97,14,2701392
19.02,19.1,18.68,18.7,15,2198755
19.29,19.38,18.88,19.05,16,2464958
18.64,19.35,18.53,19.33,17,2962994
18.14,18.58,18.08,18.52,18,1964932
18.49,18.92,18.19,18.26,19,3013102
18.71,18.84,18,18.51,20,4435894
19.17,19.35,18.61,18.66,21,3245851
19.12,19.41,18.92,19.2,22,2259792
19.43,19.58,19.16,19.33,23,3531327
19.72,19.81,19.04,19.27,24,5834733
19.7,19.94,19.49,19.77,25,2009987
19.84,19.98,19.39,19.88,26,2767592
20.71,20.73,19.16,19.63,27,673358
21.14,21.14,20.55,20.65,28,3164006
21.5,21.86,21.2,21.33,29,7986466
20.45,21.08,20.1,20.56,30,5813040
20.07,20.69,20.04,20.36,31,3440002
19.88,20.11,19.51,20.03,32,2779171
19.76,20.13,19.65,19.88,33,2918115
19.77,19.97,19.27,19.9,34,3850357
19.43,19.72,18.88,19.5,35,5047378
19.69,19.84,19.17,19.43,36,3479017
19.59,20.02,19.02,19.41,37,5749874
20.95,21.09,19.64,19.83,38,6319111
20.52,21.03,20.45,21,39,4412413
20.36,20.96,20.2,20.44,40,5948318
21.45,21.48,19.63,20.3,41,11935440
23.49,23.57,21.12,21.63,42,10523910
24.04,24.21,23.04,23.28,43,3843797
23.6,24.065,23.51,23.94,44,3691404
22.87,23.49,22.86,23.48,45,3387393
22.35,22.89,22.35,22.74,46,3737330
22.11,22.5,21.9,22.24,47,4630397
22.58,22.80,22.25,22.42,48,3024711
23.54,23.76,22.6,22.68,49,3984508
23.66,24.09,23.09,23.46,50,3420204
24.36,24.42,22.90,23.6,51,5151096
24.34,24.6,23.73,24.15,52,5999654
23.38,24.8,23.36,24.1,53,5382049
23.76,23.84,23.23,23.47,54,3508510
23.64,23.94,23.48,23.76,55,2718428
23.99,24.18,23.59,23.66,56,2859391
23.32,24.26,23.32,23.79,57,4138618
24.08,24.4,23.26,23.39,58,4477478
22.84,23.96,22.83,23.88,59,4822378
23.38,23.78,22.94,23.01,60,4037312
23.97,23.99,23.14,23.32,61,4879546
