Last Year,This Year,Name
1.871959739,2.411021006,James
2.077499513,1.871942949,Joe
2.477903939,1.716645301,Amelie
2.16034911,1.996832143,Yale
1.656698875,2.307067382,Doraemon
2.151148936,2.295217682,Cindy
1.33930097,2.471529721,David
1.992703676,2.095357617,Frank
1.013914867,2.423075026,Kim
2.470875915,2.409548237,Ken
1.738920604,1.732381254,Leland
1.486476154,1.556390866,Mike
1.142638124,2.358515135,Nick
1.501901946,2.048138303,Oliver
1.430462006,1.564438853,Randy
2.003478357,1.760563716,Andy
2.442024245,2.098024463,Angelica
2.290236325,1.828258462,Zack
2.305577568,1.55842218,Alfred
1.273995371,2.223910676,Edward
