school,H-Index NON-PEER-PUBS,H-Index POLS16
STANFORD,3,20
HARVARD,17,31
MICHIAN AA,26,6
COLUMBIA,4,21
MIT,11,49
PRINCETON,2,28
UC SAN DIEGO,10,12
YALE,18,16
NYU,25,9
BERKLEY,5,26
CHICAGO,8,42
WASHINGTON ST L,27,5
DUKE,28,4
NORTH CAROLINA CH,29,10
UC DAVIS,30,3
ROCHESTER,31,30
PENN STATE,32,8
RICE,33,14
WISCONSIN MAD,34,33
TEXAS A&M,35,19
WASHINGTON,36,23
UCLA,12,38
ILLINOIS,37,13
NORTHWESTERN,38,29
GEORGE WASHINGTON,6,41
EMORY,39,7
OHIO STATE,40,17
FLORIDA STATE,41,47
INDIANA,16,11
MINNESOTA,23,27
MARYLAND,19,18
BINGHAMTON,9,25
MICHIGAN STATE,20,40
STONY BROOK,42,1
CORNELL,21,46
PENN,15,15
PITTSBURGH,43,45
VANDERBILT,44,36
UC RIVERSIDE,45,51
TEXAS AUSTIN,22,34
COLORADO,46,2
IOWA,47,22
ARIZONA,48,35
BROWN,7,24
UC IRVINE,49,50
NOTRE DAME,50,39
VIRGINIA,51,44
UC SANTA BARBARA,14,37
GEORGETOWN,1,32
OREGON,52,52
JOHNS HOPKINS,13,48
SYRACUSE,24,43
