Movie,Fandango,IMDB,Metacritic (u),Metacritic,Rotten Tomatoes (u),Rotten Tomatoes
Avengers: Age of Ultron (2015),4.5,3.9,3.55,3.3,4.3,3.7
Cinderella (2015),4.5,3.55,3.75,3.35,4,4.25
Ant-Man (2015),4.5,3.9,4.05,3.2,4.5,4
Do You Believe? (2015),4.5,2.7,2.35,1.1,4.2,0.9
Hot Tub Time Machine 2 (2015),3,2.55,1.7,1.45,1.4,0.7
The Water Diviner (2015),4,3.6,3.4,2.5,3.1,3.15
Irrational Man (2015),3.5,3.45,3.8,2.65,2.65,2.1
Shaun the Sheep Movie (2015),4,3.7,4.4,4.05,4.1,4.95
Love & Mercy (2015),4,3.9,4.25,4,4.35,4.45
Far From The Madding Crowd (2015),4,3.6,3.75,3.55,3.85,4.2
Black Sea (2015),3.5,3.2,3.3,3.1,3,4.1
Taken 3 (2015),4.1,3.05,2.3,1.3,2.3,0.45
Ted 2 (2015),4.1,3.3,3.25,2.4,2.9,2.3
Southpaw (2015),4.6,3.9,4.1,2.85,4,2.95
Pixels (2015),4.1,2.8,2.65,1.35,2.7,0.85
"McFarland, USA (2015)",4.6,3.75,3.6,3,4.45,3.95
Insidious: Chapter 3 (2015),4.1,3.15,3.45,2.6,2.8,2.95
The Man From U.N.C.L.E. (2015),4.1,3.8,3.95,2.75,4,3.4
Run All Night (2015),4.1,3.3,3.65,2.95,2.95,3
Trainwreck (2015),4.1,3.35,3,3.75,3.7,4.25
Ex Machina (2015),4.1,3.85,3.95,3.9,4.3,4.6
Still Alice (2015),4.1,3.75,3.9,3.6,4.25,4.4
The End of the Tour (2015),4.1,3.95,3.75,4.2,4.45,4.6
Red Army (2015),4.1,3.85,3.7,4.1,4.3,4.8
When Marnie Was There (2015),4.1,3.9,3.2,3.55,4.45,4.45
The Hunting Ground (2015),4.1,3.75,3.9,3.85,3.6,4.6
The Boy Next Door (2015),3.6,2.3,2.75,1.5,1.75,0.5
Aloha (2015),3.1,2.75,2,2,1.55,0.95
The Loft (2015),3.6,3.15,1.2,1.2,2,0.55
5 Flights Up (2015),3.6,3.05,3.4,2.75,2.35,2.6
Welcome to Me (2015),3.6,2.95,3.45,3.35,2.35,3.55
Saint Laurent (2015),3.1,3.15,3.4,2.6,2.25,2.55
Maps to the Stars (2015),3.1,3.15,2.9,3.35,2.3,3
I'll See You In My Dreams (2015),3.6,3.45,3.45,3.75,3.5,4.7
Timbuktu (2015),3.6,3.6,3.45,4.55,3.9,4.95
About Elly (2015),3.6,4.1,4.8,4.35,4.3,4.85
The Diary of a Teenage Girl (2015),3.6,3.5,3.15,4.35,4.05,4.75
Kingsman: The Secret Service (2015),4.2,3.9,3.95,2.9,4.2,3.75
Tomorrowland (2015),3.7,3.3,3.2,3,2.65,2.5
The Divergent Series: Insurgent (2015),4.2,3.2,2.7,2.1,3.05,1.5
Fantastic Four (2015),2.7,2,1.25,1.35,1,0.45
Terminator Genisys (2015),4.2,3.45,3.2,1.9,3,1.3
Pitch Perfect 2 (2015),4.2,3.35,2.85,3.15,3.4,3.35
Entourage (2015),4.2,3.55,2.6,1.9,3.4,1.6
The Age of Adaline (2015),4.2,3.65,3.7,2.55,3.4,2.7
Hot Pursuit (2015),3.7,2.45,1.85,1.55,1.85,0.4
The DUFF (2015),4.2,3.3,3.2,2.8,3.4,3.55
Black or White (2015),4.2,3.3,3.95,2.25,3.4,1.95
Project Almanac (2015),3.7,3.2,2.7,2.35,2.3,1.7
Ricki and the Flash (2015),3.7,3.1,3.5,2.7,2.65,3.2
Seventh Son (2015),3.2,2.75,1.95,1.5,1.75,0.6
Mortdecai (2015),3.2,2.75,1.6,1.35,1.5,0.6
Unfinished Business (2015),3.2,2.7,1.9,1.6,1.35,0.55
American Ultra (2015),3.7,3.25,3.4,2.5,2.6,2.3
True Story (2015),3.2,3.15,2.85,2.5,2.05,2.25
Child 44 (2015),3.7,3.2,2.65,2.05,2.2,1.3
Dark Places (2015),3.7,3.15,3.95,1.95,1.65,1.3
The Gift (2015),3.7,3.8,4.15,3.85,3.95,4.65
Unfriended (2015),2.7,2.95,2.9,2.95,1.95,3
