group,name,angle,value
1,Ответственость и нормативность,0,6
1,Надежность в работе,36,7
1,Работа в напряженных условиях,72,8
1,Командность,108,9
1,Открытость новому и инициативность,144,9
1,работа с информацией,180,8
1,коммуникация,216,8
1,мотивация служения,252,8
1,управление исполнением,288,5
1,мотивация развитие,324,8
2,Ответственость и нормативность,0,7
2,Надежность в работе,36,8
2,Работа в напряженных условиях,72,8
2,Командность,108,6
2,Открытость новому и инициативность,144,5
2,работа с информацией,180,7
2,коммуникация,216,5
2,мотивация служения,252,7
2,управление исполнением,288,7
2,мотивация развитие,324,6
3,Ответственость и нормативность,0,5
3,Надежность в работе,36,3
3,Работа в напряженных условиях,72,6
3,Командность,108,5
3,Открытость новому и инициативность,144,7
3,работа с информацией,180,2
3,коммуникация,216,1
3,мотивация служения,252,4
3,управление исполнением,288,9
3,мотивация развитие,324,8
