category,South,North,Central
Fri Feb 10 2017,10,15,12
Sat Feb 11 2017,36,19,11
Sun Feb 12 2017,47,18,12
Mon Feb 13 2017,23,10,13
Tue Feb 14 2017,29,15,12
Wed Feb 15 2017,20,11,10
Thu Feb 16 2017,59,19,13
Fri Feb 17 2017,36,15,10
Sat Feb 18 2017,37,15,12
Sun Feb 19 2017,23,14,11
Mon Feb 20 2017,15,12,11
Tue Feb 21 2017,51,10,10
Wed Feb 22 2017,55,10,15
Thu Feb 23 2017,33,20,13
Fri Feb 24 2017,22,20,10
Sat Feb 25 2017,22,18,15
Sun Feb 26 2017,19,16,12
Mon Feb 27 2017,26,18,14
Tue Feb 28 2017,15,16,11
Wed Mar 01 2017,51,13,13
