Year,% of the world population living in a Democracy,Colony,Country in Transition or no Data,"Open Anocracy (e.g. Russia, Singapore)","Closed Anocracy (e.g. Egypt, Rwanda)",Dictatorship / Monarchy
1816,0.8706298867,38.01701265,11.18260433,0,4.344611858,45.58514128
1817,0.8832689952,37.84645348,11.23899438,0,4.354131801,45.67715134
1818,0.8960594837,37.9889779,10.91154247,0,4.435613492,45.76780665
1819,0.9090040995,37.88759565,10.90148311,0,4.444779707,45.85713743
1820,0.9221051808,37.71863254,10.58861174,0,5.952803519,44.81784702
1821,0.9468827065,37.16363729,10.8907796,0,6.099444633,44.89925576
1822,0.9721059396,36.75961907,10.55466304,0,6.733352399,44.98025956
1823,0.9969425786,36.77595866,10.40761115,0,5.624702104,46.19478551
1824,1.021486188,36.68931179,9.929111389,0,5.647591265,46.71249937
1825,1.045738243,36.70438145,9.623422055,0,5.827431408,46.79902684
1826,1.069700279,36.71846975,9.479640724,0.1284134611,5.719872061,46.88390372
1827,1.093115722,36.52182351,9.331833986,0.1295601566,5.957626462,46.96604017
1828,1.116850876,36.52835662,9.200786866,0.130714251,5.976555688,47.0467357
1829,1.139954048,36.46455351,9.142338876,0.1318760491,5.995303475,47.12597404
1830,1.163481131,35.88884875,8.925180391,0.1330456573,6.479211331,47.41023274
1831,1.194094018,35.89650624,9.018963551,0.1342233021,6.496342657,47.25987023
1832,1.224434464,35.90203287,8.986680248,0.265478479,6.512639679,47.10873426
1833,1.254330538,35.90812507,9.084534092,0.2683440758,6.525432976,46.95923325
1834,1.283872905,35.91344059,9.188447593,0.2712382036,6.531853781,46.81114692
1835,1.313151003,35.91865125,9.275053861,0.1351424274,6.694064776,46.66393668
1836,1.34199629,35.92472845,9.368107262,0.4450156535,7.561304059,45.35884829
1837,1.370498696,35.93080508,9.457303485,2.153590576,5.874469717,45.21333245
1838,1.398746602,35.93792568,9.517361019,2.377250549,5.916127383,44.85258877
1839,1.4265744,35.9451523,9.524913805,2.389878428,6.009928787,44.70355228
1840,1.455411835,35.95279443,9.612550659,2.402445492,6.021415866,44.55538172
1841,1.498652101,35.96254718,9.788508517,2.421068273,5.944224141,44.38499979
1842,1.541320034,35.96980442,9.77688723,2.127639388,6.368378824,44.21597011
1843,1.583505518,35.97630959,9.876110136,2.139381561,6.3777009,44.0469923
1844,1.625214863,35.97408708,9.968917936,2.153179479,6.397865526,43.88073512
1845,1.666535959,35.98191107,10.06222277,2.166374838,6.407396487,43.71555888
1846,1.707311628,35.98881016,10.7669341,2.179029369,6.153783735,43.20413101
1847,1.747630843,35.98046428,10.86510627,2.207912604,6.160754464,43.03813154
1848,4.863176082,35.9577077,10.22035007,2.198922128,4.132469272,42.62737475
1849,4.898450182,35.94774789,10.35045287,2.312350794,4.143237702,42.34776057
1850,4.934632197,35.93845633,10.47465034,2.308438897,4.155894389,42.18792785
1851,2.111853495,35.93810975,10.85626489,2.303261486,7.041422884,41.74908749
1852,2.166240781,35.95238246,11.22772364,2.316544571,4.151125748,44.1859828
1853,2.581343328,35.97055092,11.55416033,2.330480264,3.808571855,43.7548933
1854,2.627777176,35.9912941,11.85835389,2.34514106,3.846750859,43.33068291
1855,2.681436483,36.01566427,11.82827116,2.734202795,3.806090967,42.93433432
1856,2.734572657,36.04107725,12.13548782,2.754595195,3.818081846,42.51618523
1857,2.7960235,36.05834585,12.44159355,2.769900624,3.829418878,42.1047176
1858,2.848041876,36.08542383,12.70886497,2.557671715,3.871064854,41.92893275
1859,2.899555101,35.46684673,13.00302146,2.572757968,3.346893012,42.71092572
1860,2.950564695,35.49089582,13.29049728,2.420485116,3.758532867,42.08902422
1861,3.002692725,33.54473769,13.4668349,2.435304181,6.059831064,41.49059945
1862,3.05427905,33.56148106,13.64018271,2.451408659,8.569112421,38.7235361
1863,3.105403555,33.57713788,14.44842492,2.720633229,7.69194142,38.456459
1864,3.411014334,33.5929617,13.97383741,2.480806363,8.242469142,38.29891105
1865,3.462125165,33.61072543,14.13462856,2.496425093,8.260142873,38.03595288
1866,3.512624935,33.62550985,14.30349317,2.378864736,7.759987326,38.41951998
1867,3.732633814,32.95442249,14.45661864,2.658561383,8.03633433,38.16142935
1868,3.782813018,32.96542943,11.83975125,5.143502943,6.738065434,39.53043792
1869,3.830099701,32.9774888,11.96831354,5.1567073,12.34221084,33.72517982
1870,3.882831655,33.08947508,12.05775957,5.169768377,12.34761908,33.45254624
1871,3.935082857,33.14023326,12.01718174,6.343254444,11.14619042,33.41805729
1872,3.998905979,33.20309808,11.90725397,9.020496588,8.593319001,33.27692638
1873,4.062103997,33.25750461,11.77451541,7.890604434,9.896971686,33.11829987
1874,4.125863789,33.30704437,11.64322328,8.05256779,9.787646713,33.08365406
1875,4.199563675,33.34552587,11.52197351,8.063871556,9.82017768,33.04888771
1876,6.891621541,33.3827219,11.381461,5.46128169,9.921128464,32.96178541
1877,6.981032404,33.43074129,11.23132899,5.461994685,9.11898852,33.77591411
1878,7.039977835,33.48899605,11.08425103,5.491249427,9.150494421,33.74503124
1879,7.096258281,33.32785851,10.94768868,6.740968752,8.172886944,33.71433883
1880,9.249204654,33.38433742,10.80909304,4.956075689,8.336025464,33.26526373
1881,9.333201954,33.42449713,10.86907541,4.976609408,7.947684848,33.44893125
1882,9.412229463,33.45606702,10.74184503,4.995749612,7.964300498,33.42980838
1883,9.489230508,33.57796312,10.31914904,5.018451798,8.392807949,33.20239759
1884,9.567611621,33.82333027,9.966002819,5.007141089,8.455435241,33.18047896
1885,9.641305704,33.88314278,9.812239777,5.02461072,8.480639861,33.15806116
1886,9.506968018,34.19125607,9.417013548,5.244577274,8.505088358,33.13509673
1887,9.569373195,34.24070779,9.281910205,5.260394039,8.536135365,33.11147941
1888,9.943140083,34.28670199,9.140641317,4.972423699,8.569729556,33.08736336
1889,10.00832617,34.32467326,9.001945368,4.99783406,9.504714115,32.16250703
1890,10.0810882,34.58817165,8.648574831,8.064310959,6.492654029,32.12520032
1891,10.14099339,34.61135758,8.49107292,8.095872317,6.522380998,32.1383228
1892,10.20482888,34.65185712,8.312984881,8.125892635,6.553834827,32.15060165
1893,10.26915026,34.65431318,8.173708911,8.155330645,6.585761942,32.16173506
1894,10.33365302,34.69582195,7.987266348,8.221984334,6.359818531,32.40145582
1895,10.39644211,34.73848623,7.79293726,8.267786175,6.38986993,32.41447829
1896,10.46069977,34.7719741,7.608760808,8.235315317,6.503793309,32.41945669
1897,10.5279424,34.81743315,7.399842871,8.2914562,6.538160877,32.4251645
1898,10.72585231,34.86291013,7.191429783,8.434685753,6.355431098,32.42969093
1899,10.78703341,34.90614805,6.993086422,8.493171059,6.387634795,32.43292626
1900,11.97066329,34.94640101,6.807580614,7.33916813,6.417745765,32.51844119
1901,12.26755619,34.7553512,6.590594856,7.403657789,6.451822879,32.53101709
1902,12.34624929,34.67099824,6.370011761,7.579613369,6.490275962,32.54285138
1903,12.41864139,34.67618604,6.156480204,7.914606521,6.230874995,32.60321085
1904,12.49552194,34.69938534,5.940546844,8.106232982,6.141882023,32.61643087
1905,12.57060244,34.73065753,5.722937807,8.166614933,6.178424604,32.63076268
1906,12.65224012,34.75828927,5.503510103,8.224240875,6.830096951,32.03162268
1907,12.73344502,34.78386717,5.302073596,8.287765959,6.501444883,32.39140337
1908,12.82366811,34.81633403,5.015144413,8.725652332,7.382178618,31.2370225
1909,12.91531471,34.85436112,4.746120661,8.800082005,7.224485301,31.4596362
1910,13.01606226,34.56771531,4.460243192,9.583500669,7.569500273,30.80297829
1911,13.59290493,35.18677945,3.46688205,9.175319035,32.77803121,5.800083315
1912,13.65887505,35.2230574,3.121793785,33.65843196,8.511976082,5.825865722
1913,13.75753102,35.49481682,2.995562135,9.325703119,33.12767261,5.2987143
1914,13.73838987,36.01526979,2.258462302,9.105409154,33.29358993,5.588878949
1915,13.85349591,35.73000302,2.279974625,9.175685024,33.34846297,5.61237845
1916,13.84226307,35.74316971,3.099857121,8.885693803,32.79503702,5.633979277
1917,14.40597826,35.53731062,2.016247005,9.162715425,37.39036954,1.48737915
1918,15.65917876,33.99916466,2.806436062,9.626146256,36.25128244,1.657791819
1919,19.19371116,32.45852846,4.586721832,5.59780255,36.49970645,1.663529546
1920,19.61634068,32.21841661,4.275501942,5.625422912,36.77099812,1.493319734
1921,19.58344572,33.68160641,2.621083053,5.755348482,36.94789849,1.410617856
1922,19.60494782,32.91711193,1.946833152,6.217026183,37.8960123,1.418068613
1923,18.50935076,32.86637939,6.227989125,6.256786399,32.844212,3.295282332
1924,18.55083988,32.57405763,6.413623421,6.048365351,32.42163482,3.991478902
1925,18.54744164,32.48850505,6.523136782,6.12622583,29.95811679,6.356573907
1926,17.14477216,32.38770832,6.663086971,6.38720678,31.22466434,6.19256144
1927,17.09972849,32.28468036,6.948077471,6.421430072,31.0582091,6.187874506
1928,17.0415615,32.17634253,7.214666676,6.12546592,31.1480417,6.293921671
1929,16.96549293,32.05673719,7.566305163,5.389493733,31.12862097,6.893350019
1930,16.90491432,32.04857251,7.794498153,5.683128011,29.64302841,7.925858588
1931,17.77954434,32.04710879,7.948009744,4.64161057,29.75572,7.828006557
1932,17.66777663,32.07678753,8.096762655,4.655304845,28.01580638,9.487561961
1933,14.16356889,32.11270353,8.238466363,4.937293458,27.96017757,12.5877902
1934,13.95837372,32.16000286,8.403587373,4.908475212,28.69711735,11.87244348
1935,13.88243217,31.63324635,8.513997513,6.346873805,26.37663561,13.24681455
1936,13.49979491,31.7011242,9.276105355,6.211904797,25.61823337,13.69283737
1937,13.43556589,31.7961153,9.280243773,6.899021944,25.94808056,12.64097253
1938,13.39435842,31.91900799,9.213035075,6.926901424,25.47906009,13.067637
1939,11.89337109,32.07491913,9.400673922,7.229115108,26.56912505,12.8327957
1940,9.369087281,32.26793572,9.933782282,7.223162581,26.47592049,14.73011164
1941,9.380367269,33.36814133,10.35408334,6.389213638,26.99940482,13.5087896
1942,9.41299156,30.66310184,11.53989162,6.45523703,28.35923607,13.56954188
1943,9.474524388,30.83995354,11.19098981,5.938060387,30.56935554,11.98711634
1944,10.34000353,30.26021284,10.91562668,6.74836688,31.48601243,10.24977764
1945,11.07287229,29.73521867,13.54073048,7.395629271,32.57596995,5.679579344
1946,15.86421697,29.88149104,13.28501421,8.419418337,26.5447897,6.005069741
1947,30.23536664,13.24983188,14.0688095,8.568400313,26.54661325,7.330978417
1948,31.30885679,12.95510032,12.54043351,9.428827059,26.12399409,7.642788232
1949,30.94952959,12.92573185,12.44247908,9.684896797,3.9326421,30.06472058
1950,31.41170968,12.84363501,12.06084153,6.972591083,7.236807117,29.47441558
1951,31.28548387,12.85735163,11.88613196,6.881656245,6.932858613,30.15651769
1952,34.54024305,12.88260303,8.534355694,5.834747866,6.271861701,31.93618866
1953,34.46876638,12.67454467,8.529126615,5.884652249,6.472257394,31.9706527
1954,33.66575642,12.71500412,8.392657654,6.687523987,5.40399237,33.13506545
1955,33.59816157,12.76054033,8.320206274,6.852709547,6.193063665,32.27531862
1956,35.32243595,12.00076257,8.734320003,5.735403572,7.073873692,31.13320421
1957,36.09971227,11.57147882,8.520673923,5.722765539,6.915226941,31.17014251
1958,35.14774775,11.49429323,8.604202509,4.95551223,5.848164334,33.95007994
1959,35.22506106,11.53608351,8.316938537,5.295723574,5.797800317,33.828393
1960,38.52001061,8.113059463,8.084758182,4.171766566,5.880746959,35.22965822
1961,35.29882158,7.639641523,7.953986975,6.473694999,6.181350323,36.4525046
1962,34.91439103,6.976250117,7.97218536,7.715802675,6.173969017,36.2474018
1963,34.6613731,6.714448628,8.067057185,9.113384273,6.15901897,35.28471784
1964,34.84170599,6.500239766,8.095468776,6.488114209,8.495672594,35.57879866
1965,35.07223923,6.359360577,8.162164346,6.505126596,5.270914345,38.6301949
1966,33.2222428,6.293631665,8.111027349,6.39032639,1.768740832,44.21403097
1967,33.02594751,6.121234894,8.194855175,6.144354561,1.537000483,44.97660738
1968,32.93618244,6.092570046,8.065829621,5.88462432,2.215059835,44.80573374
1969,33.49818542,6.075886746,7.955436063,6.088437823,1.174022396,45.20803155
1970,33.34858106,6.049969502,7.697962876,4.408306685,3.27378806,45.22139182
1971,32.18593634,4.205183624,9.396933816,3.42863827,3.824272642,46.95903531
1972,33.85921677,4.180972455,7.504022541,2.937388939,2.276620188,49.2417791
1973,36.74243169,4.141470108,7.440183438,1.309839516,2.151846855,48.2142284
1974,34.90848154,4.119190228,7.348595364,2.428425646,6.712581679,44.48272554
1975,35.07456564,3.594360836,7.263589168,2.461645839,4.640064245,46.96577428
1976,34.6158293,3.569213766,7.197700568,2.065973871,3.610436653,48.94084585
