"DateTime","reactJS","AngularJS","VuejS","NodeJS"
"2009-09-30 20:00:00",0,0,0,0
"2009-10-31 20:00:00",0,0,0,0
"2009-11-30 19:00:00",0,0,0,0
"2009-12-31 19:00:00",0,0,0,0
"2010-01-31 19:00:00",0,0,0,0
"2010-02-28 19:00:00",0,0,0,1
"2010-03-31 20:00:00",0,0,0,1
"2010-04-30 20:00:00",0,0,0,1
"2010-05-31 20:00:00",0,0,0,1
"2010-06-30 20:00:00",0,0,0,1
"2010-07-31 20:00:00",0,1,0,2
"2010-08-31 20:00:00",0,0,0,2
"2010-09-30 20:00:00",0,0,0,2
"2010-10-31 20:00:00",0,0,0,2
"2010-11-30 19:00:00",0,0,0,2
"2010-12-31 19:00:00",0,1,0,3
"2011-01-31 19:00:00",0,0,0,3
"2011-02-28 19:00:00",0,1,0,4
"2011-03-31 20:00:00",0,1,0,5
"2011-04-30 20:00:00",0,1,0,5
"2011-05-31 20:00:00",0,1,0,5
"2011-06-30 20:00:00",1,1,0,6
"2011-07-31 20:00:00",0,1,0,6
"2011-08-31 20:00:00",0,1,0,7
"2011-09-30 20:00:00",0,1,0,6
"2011-10-31 20:00:00",0,1,0,7
"2011-11-30 19:00:00",0,1,0,8
"2011-12-31 19:00:00",0,1,0,9
"2012-01-31 19:00:00",0,1,0,10
"2012-02-29 19:00:00",0,1,0,9
"2012-03-31 20:00:00",0,1,0,9
"2012-04-30 20:00:00",0,1,0,10
"2012-05-31 20:00:00",0,2,0,9
"2012-06-30 20:00:00",0,2,0,10
"2012-07-31 20:00:00",0,3,0,11
"2012-08-31 20:00:00",0,4,0,11
"2012-09-30 20:00:00",0,4,0,11
"2012-10-31 20:00:00",1,4,0,11
"2012-11-30 19:00:00",0,5,0,10
"2012-12-31 19:00:00",0,7,0,11
"2013-01-31 19:00:00",0,9,0,12
"2013-02-28 19:00:00",0,12,0,13
"2013-03-31 20:00:00",0,14,0,13
"2013-04-30 20:00:00",1,16,0,14
"2013-05-31 20:00:00",1,19,0,13
"2013-06-30 20:00:00",1,21,0,15
"2013-07-31 20:00:00",1,23,0,15
"2013-08-31 20:00:00",1,26,0,15
"2013-09-30 20:00:00",1,32,0,17
"2013-10-31 20:00:00",1,32,0,17
"2013-11-30 19:00:00",1,33,0,18
"2013-12-31 19:00:00",1,41,0,18
"2014-01-31 19:00:00",1,46,1,19
"2014-02-28 19:00:00",1,50,1,21
"2014-03-31 20:00:00",1,55,1,21
"2014-04-30 20:00:00",1,58,1,20
"2014-05-31 20:00:00",1,61,1,19
"2014-06-30 20:00:00",1,68,1,20
"2014-07-31 20:00:00",1,68,1,19
"2014-08-31 20:00:00",1,75,1,20
"2014-09-30 20:00:00",2,80,1,21
"2014-10-31 20:00:00",2,77,1,20
"2014-11-30 19:00:00",2,77,1,19
"2014-12-31 19:00:00",3,74,1,21
"2015-01-31 19:00:00",4,81,1,23
"2015-02-28 19:00:00",4,85,1,26
"2015-03-31 20:00:00",4,88,1,28
"2015-04-30 20:00:00",4,82,1,25
"2015-05-31 20:00:00",4,90,1,29
"2015-06-30 20:00:00",5,95,1,29
"2015-07-31 20:00:00",4,88,1,27
"2015-08-31 20:00:00",5,93,1,32
"2015-09-30 20:00:00",5,92,1,33
"2015-10-31 20:00:00",5,87,1,33
"2015-11-30 19:00:00",5,88,1,33
"2015-12-31 19:00:00",5,84,1,34
"2016-01-31 19:00:00",6,96,1,37
"2016-02-29 19:00:00",6,95,2,38
"2016-03-31 20:00:00",6,93,2,39
"2016-04-30 20:00:00",6,94,2,39
"2016-05-31 20:00:00",6,100,2,41
"2016-06-30 20:00:00",5,90,2,38
"2016-07-31 20:00:00",6,87,3,37
"2016-08-31 20:00:00",7,85,3,39
"2016-09-30 20:00:00",7,81,4,40
"2016-10-31 20:00:00",7,85,5,45
"2016-11-30 19:00:00",7,77,5,43
"2016-12-31 19:00:00",7,77,6,44
"2017-01-31 19:00:00",8,82,7,52
"2017-02-28 19:00:00",9,85,8,52
"2017-03-31 20:00:00",8,78,8,49
"2017-04-30 20:00:00",9,75,8,49
"2017-05-31 20:00:00",9,72,9,49
"2017-06-30 20:00:00",8,70,9,49
