,pol,char
1,0.0,Sokka
2,0.0,Katara
3,-0.5411,Sokka
4,0.0,Katara
5,0.0,Katara
6,0.34,Sokka
7,0.0,Katara
8,-0.1027,Sokka
9,-0.2481,Katara
10,0.0,Katara
11,0.0,Katara
12,-0.0026,Sokka
13,-0.4522,Katara
14,-0.2924,Sokka
15,-0.4199,Katara
16,-0.4753,Katara
17,0.0,Sokka
18,-0.734,Katara
19,0.0,Sokka
20,0.0,Katara
21,0.2263,Sokka
22,0.0,Katara
23,0.7269,Sokka
24,0.7081,Katara
25,0.0,Sokka
26,0.0,Zuko
27,0.0,Iroh
28,0.0,Zuko
29,0.5686,Zuko
30,0.0742,Iroh
31,-0.4826,Zuko
32,-0.3595,Sokka
33,-0.3595,Katara
34,0.0,Aang
35,0.0,Katara
36,0.3182,Aang
37,0.0,Katara
38,0.0,Aang
39,0.3182,Katara
40,0.0,Aang
41,0.0,Sokka
42,-0.2411,Aang
43,0.0,Aang
44,0.7418,Aang
45,0.0,Sokka
46,0.0,Aang
47,0.0,Sokka
48,0.3412,Aang
49,-0.6884,Sokka
50,-0.6486,Katara
51,0.0,Aang
52,0.0,Sokka
53,0.0,Aang
54,0.0,Katara
55,0.3802,Aang
56,-0.4404,Sokka
57,0.0258,Aang
58,0.8264,Katara
59,-0.4184,Sokka
60,-0.3094,Katara
61,0.3578,Aang
62,0.0,Aang
63,0.8885,Sokka
64,-0.3832,Aang
65,0.6705,Katara
66,0.4588,Aang
67,0.128,Iroh
68,0.25,Zuko
69,0.0,Katara
70,0.0,Aang
71,0.0,Katara
72,-0.0688,Aang
73,0.7269,Katara
74,0.0,Aang
75,0.6103,Katara
76,0.0,Katara
77,0.4329,Aang
78,-0.0258,Kanna
79,0.0,Aang
80,0.0,Katara
81,0.0,Kanna
82,0.2177,Sokka
83,0.0,Aang
84,-0.1984,Village girl
85,0.0,Aang
86,0.0,Sokka
87,0.0,Aang
88,0.0,Village girl
89,0.6239,Village girl
90,0.0,Sokka
91,0.6239,Katara
92,0.3182,Sokka
93,0.0,Aang
94,0.2732,Katara
95,-0.0276,Kanna
96,0.0,Katara
97,0.4215,Kanna
98,0.8669,Katara
99,-0.3164,Aang
100,0.0,Iroh
101,0.1739,Iroh
102,0.5653,Zuko
103,-0.5707,Iroh
104,-0.3786,Zuko
105,0.177,Iroh
106,-0.845,Sokka
107,0.0,Southern Water Tribe boy
108,-0.7707,Sokka
109,0.0,Southern Water Tribe boy
110,0.2263,Sokka
111,-0.2263,Katara
112,0.6467,Aang
113,0.0,Sokka
114,0.0,Village boy
115,-0.8507,Sokka
116,-0.644,Aang
117,0.1027,Sokka
118,0.0,Aang
119,0.1027,Sokka
120,0.0,Katara
121,-0.296,Aang
122,0.4019,Katara
123,-0.4017,Aang
124,-0.296,Katara
125,0.0,Aang
126,0.0,Katara
127,-0.3903,Aang
128,0.0,Katara
129,0.1406,Aang
130,0.2942,Katara
131,0.7772,Aang
132,0.0,Katara
133,0.0,Aang
134,0.0,Aang
135,-0.8507,Katara
136,-0.4404,Aang
137,-0.8126,Katara
138,0.6952,Aang
139,0.0,Katara
140,0.0,Aang
141,0.474,Katara
142,0.5337,Aang
143,-0.636,Katara
144,0.0,Aang
145,0.3818,Katara
146,0.0,Aang
147,0.0,Katara
148,0.0,Katara
149,0.0,Aang
150,0.0,Aang
151,0.0,Aang
152,0.0,Katara
153,-0.1739,Zuko
154,0.6103,Village kids
155,-0.2695,Sokka
156,-0.5255,Katara
157,0.25,Aang
158,-0.6103,Kanna
159,-0.169,Aang
160,-0.6229,Sokka
161,-0.34,Katara
162,-0.126,Sokka
163,0.7537,Katara
164,0.7243,Sokka
165,0.0,Aang
166,0.0,Sokka
167,0.3802,Katara
168,0.34,Kanna
169,0.3365,Katara
170,0.0,Sokka
171,0.0,Katara
172,0.6588,Aang
173,0.0,Sokka
174,-0.0572,Aang
175,0.0,Katara
176,0.4404,Aang
177,0.0,Katara
178,0.765,Aang
179,0.0,Sokka
180,0.0,Aang
181,0.3595,Sokka
182,0.3226,Southern Water Tribe girl
183,-0.1531,Aang
184,0.4404,Kanna
185,0.7177,Katara
186,0.3365,Sokka
187,0.0,Southern Water Tribe boy
188,-0.3595,Sokka
189,0.6476,Aang
190,0.0,Sokka
191,0.0,Sokka
192,0.0,Katara
193,-0.296,Zuko
194,0.0,Zuko
195,-0.3595,Zuko
196,-0.69,Village boy
197,0.0,Aang
198,0.4404,Sokka
199,0.0,Aang
200,0.0,Zuko
201,0.0,Katara
202,-0.3595,Sokka
203,0.0,Zuko
204,0.2732,Aang
205,0.0258,Aang
206,-0.4184,Katara
207,0.7584,Aang
208,-0.34,Zuko
209,0.7184,Katara
210,0.0,Sokka
211,-0.1877,Katara
212,0.0,Sokka
213,0.0,Katara
214,0.4939,Sokka
215,0.0,Katara
216,0.0,Sokka
