"$i","start","duration","color","task","category"
"0","13","2","#727d6f","Task #2","Ruth"
"1","","1","#8dc49f","Task #3","Ruth"
"2","","4","#46615e","Task #1","Ruth"
"0","12","2","#727d6f","Task #2","Anita"
"1","16","2","#FFCF96","Task #4","Anita"
"0","7","2","#46615e","Task #1","John"
"1","","2","#727d6f","Task #2","John"
"2","","2","#8dc49f","Task #3","John"
"0","17","2","#46615e","Task #1","Alan"
"1","","2","#727d6f","Task #2","Alan"
"2","","2","#8dc49f","Task #3","Alan"
"0","12","2","#727d6f","Task #2","Kim"
"1","","3","#8dc49f","Task #3","Kim"
"0","8","10","#46615e","Task #1","Jack"
"1","","2","#727d6f","Task #2","Jack"
"0","9","6","#46615e","Task #1","Mike"
"1","","4","#727d6f","Task #2","Mike"
"0","9","4","#46615e","Task #1","Tom"
"1","","3","#727d6f","Task #2","Tom"
"2","","5","#8dc49f","Task #3","Tom"
"0","9","2","#46615e","Task #1","Julia"
"1","","1","#727d6f","Task #2","Julia"
"2","","8","#8dc49f","Task #3","Julia"
"0","12","2","#727d6f","Task #2","Ben"
"1","16","2","#FFCF96","Task #4","Ben"
"0","9","8","#727d6f","Task #2","Bob"
"1","","7","#8dc49f","Task #3","Bob"
"0","15","3","#727d6f","Task #2","Scott"
"0","11","8","#727d6f","Task#2","Kendra"
"1","19","2","#FFCF96","Task #4","Kendra"
"0","6","3","#727d6f","Task #2","Kyle"
"0","8","1","#8dc49f","Task #3","Lenny"
"1","","4","#46615e","Task #1","Lenny"
"0","10","3","#727d6f","Task #2","Simon"
"1","17","4","#FFCF96","Task #4","Simon"
"0","10","2","#727d6f","Task #2","Smith"
"1","","1","#8dc49f","Task #3","Smith"
"2","","4","#46615e","Task #1","Smith"
"0","18","2","#727d6f","Task #2","Aaron"
"1","","2","#FFCF96","Task #4","Aaron"
